stock_1,name_1,industry_1,stock_2,name_2,industry_2,pearson,partial,abs_pearson,abs_partial,signed_change,attenuation,retention_ratio,sign_flip,meaningful_sign_flip,relation_type
600519,贵州茅台,食品饮料,002475,立讯精密,电子,0.1541323578302806,0.0095572800237094,0.1541323578302806,0.0095572800237094,-0.1445750778065712,0.1445750778065712,0.062006966987640494,False,False,其他
601398,工商银行,银行,600519,贵州茅台,食品饮料,0.1937619412726684,0.0506124954911195,0.1937619412726684,0.0506124954911195,-0.14314944578154892,0.14314944578154892,0.26120968420674456,False,False,其他
600887,伊利股份,食品饮料,000725,京东方A,电子,0.1576643245752107,-0.015007643782915,0.1576643245752107,0.015007643782915,-0.1726719683581257,0.1426566807922957,0.0951873153508224,True,False,其他
601288,农业银行,银行,600519,贵州茅台,食品饮料,0.1397576088468557,-0.0047150973799805,0.1397576088468557,0.0047150973799805,-0.1444727062268362,0.1350425114668752,0.033737679249701766,True,False,其他
600036,招商银行,银行,002460,赣锋锂业,新能源,0.1539813074113711,-0.0269027299371955,0.1539813074113711,0.0269027299371955,-0.1808840373485666,0.12707857747417559,0.1747142584347794,True,False,其他
601398,工商银行,银行,000858,五粮液,食品饮料,0.1275449335196037,-0.0005041059144529,0.1275449335196037,0.0005041059144529,-0.1280490394340566,0.12704082760515079,0.003952378981603521,True,False,其他
600036,招商银行,银行,000725,京东方A,电子,0.1330210548362754,-0.0071376858854925,0.1330210548362754,0.0071376858854925,-0.1401587407217679,0.12588336895078292,0.05365831667984956,True,False,其他
000001,平安银行,银行,002475,立讯精密,电子,0.1419350743285524,-0.0163006346998772,0.1419350743285524,0.0163006346998772,-0.1582357090284296,0.1256344396286752,0.11484571221729425,True,False,其他
601288,农业银行,银行,002460,赣锋锂业,新能源,-0.1547147616713999,-0.0303195785401181,0.1547147616713999,0.0303195785401181,0.12439518313128178,0.12439518313128178,0.19597081889648083,False,False,其他
600519,贵州茅台,食品饮料,603501,韦尔股份,电子,0.1690883193368519,-0.0484163490327349,0.1690883193368519,0.0484163490327349,-0.2175046683695868,0.120671970304117,0.28633763244332405,True,False,其他
601288,农业银行,银行,002475,立讯精密,电子,-0.1423996723995832,-0.0259845352189509,0.1423996723995832,0.0259845352189509,0.1164151371806323,0.1164151371806323,0.18247608847046023,False,False,其他
601398,工商银行,银行,600887,伊利股份,食品饮料,0.1855458295039144,0.0760641131369452,0.1855458295039144,0.0760641131369452,-0.10948171636696921,0.10948171636696921,0.4099478459867,False,False,其他
000568,泸州老窖,食品饮料,002475,立讯精密,电子,0.1740090689226834,-0.0663858438474759,0.1740090689226834,0.0663858438474759,-0.24039491277015929,0.1076232250752075,0.38150795391573983,True,True,条件关系符号反转
601398,工商银行,银行,002475,立讯精密,电子,-0.1239424117350679,-0.0165278518137955,0.1239424117350679,0.0165278518137955,0.1074145599212724,0.1074145599212724,0.1333510586281351,False,False,其他
601288,农业银行,银行,603501,韦尔股份,电子,-0.1933481757235544,-0.0903803348973549,0.1933481757235544,0.0903803348973549,0.10296784082619949,0.10296784082619949,0.4674486043591072,False,False,其他
600036,招商银行,银行,603501,韦尔股份,电子,0.1001034939941432,-0.0138786277378063,0.1001034939941432,0.0138786277378063,-0.11398212173194949,0.08622486625633691,0.1386427904166692,True,False,其他
601398,工商银行,银行,601288,农业银行,银行,0.8543761153835322,0.7812533953479511,0.8543761153835322,0.7812533953479511,-0.07312272003558107,0.07312272003558107,0.9144138995473252,False,False,强相关仍部分保留
