date,CSI300_close,CSI300_return,CSI300_volume,CSI500_close,CSI500_return,CSI500_volume,CSI300_return_20,CSI300_volatility_20,CSI300_negative_share_20,CSI300_volume_activity_20_60,CSI500_return_20,CSI500_volatility_20,CSI500_negative_share_20,CSI500_volume_activity_20_60,relative_return_20,relative_volatility_20,relative_volume_activity,event_time,CSI500_vs_CSI300_relative_cumulative_return,CSI300_event_cumulative_return,CSI500_event_cumulative_return,is_first_R4_anchor,is_last_R3_market_date,segment
2025-10-23,4606.345,0.002999409916452,20046391700,7142.954,0.0020307280179583,18893373200,0.012155948234056524,0.17947911541335262,0.4,0.014619521733096441,-0.016126781757939135,0.22917883494192218,0.5,-0.0028209971184532945,-0.02828272999199566,0.04969971952856955,-0.017440518851549736,-15,-0.00559469128739587,0.036212999382502664,0.030415707542971404,False,False,R3-R4 Transition
2025-10-24,4660.684,0.011796554535103,20881448300,7258.534,0.0161809805859032,19532393300,0.036142965855207265,0.17744946468422593,0.35,0.001954373000174092,0.008146104596422177,0.23484240642840293,0.45,-0.030271900412929598,-0.02799686125878509,0.057392941744177,-0.03222627341310369,-14,-0.0012856268603314014,0.048436742539701205,0.047088844102133987,False,False,R3-R4 Transition
2025-10-27,4716.019,0.0118727208281015,26220067400,7379.394,0.0166507451780208,23205182100,0.04755726445605446,0.18091626257918508,0.35,0.010122027418899782,0.029154089989204213,0.24091184801414112,0.4,-0.038327203152206835,-0.018403174466850247,0.059995585434956034,-0.048449230571106616,-13,0.003430264274247863,0.0608845392897992,0.06452365362402723,False,False,R3-R4 Transition
2025-10-28,4691.973,-0.005098792010804,22090664500,7341.03,-0.0051988008771453,20211846300,0.03744852527568154,0.1826118477920698,0.4,0.015121607173026685,0.01604151511225793,0.2409163686718243,0.45,-0.04382182294896908,-0.021407010163423612,0.05830452087975452,-0.058943430121995766,-12,0.003329398055193167,0.055475309676483064,0.05898940711982492,False,False,R3-R4 Transition
2025-10-29,4747.838,0.0119065050033322,24621132400,7480.967,0.0190623114195147,22384413300,0.050458230470611376,0.18570240704930435,0.35,0.012765313568929848,0.041813808487568105,0.24765249779652068,0.4,-0.057539210895059534,-0.008644421983043271,0.06195009074721633,-0.07030452446398938,-11,0.010424550530889753,0.06804233173203977,0.07917619298831013,False,False,R3-R4 Transition
2025-10-30,4709.911,-0.0079882675019661,27328911800,7385.711,-0.0127331132459211,24341203600,0.0315019192649435,0.18693109303401342,0.4,0.02169515049379811,0.008465928943927503,0.2437042872778868,0.45,-0.05891488868220052,-0.023035990321015998,0.056773194243873365,-0.08061003917599863,-10,0.005591635282900409,0.059510523882740474,0.0654349203106881,False,False,R3-R4 Transition
2025-10-31,4640.668,-0.0147015516853716,28146474000,7331.003,-0.0074072760225794,23204167600,0.010271061990364982,0.19477184930511157,0.45,0.030984153685432725,-0.001405877195993277,0.24518954298289028,0.5,-0.06031272124884246,-0.01167693918635826,0.05041769367777871,-0.09129687493427519,-9,0.013036143700119851,0.04393407515468328,0.057542949771851815,False,False,R3-R4 Transition
2025-11-03,4653.403,0.0027442169963463,23986980900,7333.601,0.000354385341269,22168706000,0.022714920212947298,0.19121333385650227,0.4,0.034231246885733535,0.012800875469951345,0.23977398806372696,0.45,-0.061840344897338695,-0.009914044742995953,0.04856065420722469,-0.09607159178307223,-8,0.010621783384780592,0.04679885678678786,0.05791772749101343,False,False,R3-R4 Transition
2025-11-04,4618.699,-0.0074577680033302,23322403200,7210.825,-0.0167415707508493,19332584200,-0.00029307023101265983,0.1858424737674646,0.45,0.021294875450937223,-0.01901011623604143,0.24108814681973773,0.5,-0.07325851173676434,-0.01871704600502877,0.055245673052273125,-0.09455338718770157,-7,0.0011688724789988836,0.03899207376672065,0.040206523007644934,False,False,R3-R4 Transition
2025-11-05,4627.257,0.0018529027329989,20304587100,7229.341,0.0025678060416112,19558024300,-0.002895472099647689,0.18524902328028744,0.45,0.010825198744023545,-0.0246921091883181,0.23899576626285923,0.5,-0.08122095461258483,-0.021796637088670412,0.05374674298257179,-0.09204615335660837,-6,0.0018832876765417783,0.040917225019767356,0.042877571601947384,False,False,R3-R4 Transition
2025-11-06,4693.403,0.0142948619452087,22424100800,7345.723,0.0160985627873964,20172296700,-0.0034141759114909576,0.1846943825665517,0.45,-0.016550734055349237,-0.02691774707464878,0.23660295755186828,0.5,-0.10056819958637409,-0.02350357116315782,0.05190857498531656,-0.08401746553102485,-5,0.003664917257401701,0.0557969930478146,0.0596664016679489,False,False,R3-R4 Transition
2025-11-07,4678.794,-0.0031126668645331,21249737700,7327.911,-0.0024248123704092,19292057800,0.013420452197328459,0.17021289922017843,0.45,-0.038332439663609996,-0.009504037725810321,0.22617324653923648,0.5,-0.11648242169332168,-0.02292448992313878,0.05596034731905805,-0.07814998202971168,-4,0.004357448299760147,0.05251064873188094,0.057096909468677515,False,False,R3-R4 Transition
2025-11-10,4695.051,0.0034746133298453,23602676400,7343.802,0.0021685579969517,20450133000,0.022000971271310066,0.16911303337220887,0.4,-0.057694286639306314,-0.004441363214634841,0.22613546566948678,0.45,-0.1296216171598492,-0.026442334485944907,0.05702243229727791,-0.0719273305205429,-3,0.0030502439280115645,0.056167716261769085,0.059389285425258675,False,False,R3-R4 Transition
2025-11-11,4652.166,-0.00913408608341,18663885800,7291.608,-0.0071072177599559,19166031300,0.02491747197219496,0.1664928241022764,0.4,-0.09385963363971639,0.013448089473986569,0.20883856380590346,0.45,-0.14850171801798984,-0.011469382498208391,0.04234573970362707,-0.05464208437827345,-2,0.005102035939116956,0.04652058942291526,0.051859975081177234,False,False,R3-R4 Transition
2025-11-12,4645.908,-0.0013451798581564,20946059200,7243.248,-0.0066322819328741,18550701000,0.008601285894412003,0.15878215412549276,0.45,-0.1104362926241067,-0.006958183855472311,0.20447069749411612,0.5,-0.15619022858307174,-0.015559469749884314,0.04568854336862335,-0.04575393595896504,-1,-0.000219199138646764,0.04511283100487762,0.04488374317253285,False,False,R3-R4 Transition
2025-11-13,4702.074,0.0120893483039266,20736747400,7355.291,0.0154686129758363,19989023000,0.01811268004526201,0.16394975287092853,0.45,-0.11802723167817186,0.01711351975943165,0.20928024771182277,0.45,-0.15421156155757665,-0.0009991602858303583,0.04533049484089424,-0.036184329879404786,0,0.003118968529717936,0.057747564035798504,0.061046645400411936,True,False,R3-R4 Transition
2025-11-14,4628.14,-0.0157236997971531,19209267600,7235.462,-0.0162915376155748,20586491000,0.025232403718458807,0.15233483171144335,0.45,-0.12902540081435798,0.031270515414194344,0.18732078557421283,0.45,-0.15163697980806323,0.006038111695735537,0.03498595386276948,-0.02261157899370525,1,0.0025402602070749847,0.04111585887772984,0.04376056406499185,False,False,Post-R4
2025-11-17,4598.053,-0.0065008837243472,18895546600,7235.351,-1.534110745116113e-05,20305060200,0.01318424404281826,0.1539605654747679,0.5,-0.13068508360048448,0.0234396626363349,0.18601882673471748,0.5,-0.1436495739539242,0.010255418593516641,0.032058261259949566,-0.012964490353439717,2,0.009084823233060701,0.03434768573559177,0.043744551622025396,False,False,Post-R4
2025-11-18,4568.193,-0.0064940530263569,17771318500,7151.018,-0.0116556888532428,20221412100,-0.008611133295369666,0.14569841951853502,0.55,-0.13110750111136305,-0.004816004845228927,0.18227489722747328,0.55,-0.1384083688389386,0.003795128450140739,0.036576477708938265,-0.007300867727575544,3,0.0038422493040042305,0.027630577016735325,0.031578989886051456,False,False,Post-R4
2025-11-19,4588.292,0.0043997703249403,17292497400,7122.747,-0.0039534231349998,16278660200,-0.0009315045824015433,0.14621672869657773,0.5,-0.12908780641982065,-0.0008039584326406946,0.18055732042024042,0.55,-0.1343957271034928,0.00012754614976084877,0.03434059172366269,-0.00530792068367214,4,-0.004506307475319771,0.032151915534494924,0.02750072164185635,False,False,Post-R4
2025-11-20,4564.948,-0.0050877319926456,19456259300,7061.95,-0.0085356113308532,15961874600,-0.008986951693805256,0.14682848367423101,0.55,-0.1272568708120826,-0.011340406224090827,0.18287818038465584,0.6,-0.13544208402512692,-0.0023534545302855703,0.03604969671042482,-0.008185213213044329,5,-0.007956201746546543,0.026900603212559604,0.01873037483975004,False,False,Post-R4
2025-11-21,4453.608,-0.0243902011589179,22285101300,6817.41,-0.0346278294238843,20893338400,-0.04443038832926638,0.1622970957148687,0.6,-0.12234148802820233,-0.06077315336678124,0.20851831067824386,0.65,-0.13045638894806144,-0.01634276503751486,0.04622121496337517,-0.008114900919859114,6,-0.018366281310270405,0.0018542909299912314,-0.01654604680913052,False,False,Post-R4
2025-11-24,4448.048,-0.0012484259952829,18583372900,6868.966,0.0075624027306557,16636391300,-0.056821441983163856,0.15363778609792542,0.65,-0.13156469701200046,-0.0691693653977542,0.19942848371828045,0.65,-0.13896110393166194,-0.012347923414590345,0.045790697620355036,-0.00739640691966148,7,-0.009706463601747206,0.0006035499897085739,-0.009108771948045713,False,False,Post-R4
2025-11-25,4490.405,0.0095226040726179,16957192900,6954.603,0.0124672330595316,16271253000,-0.042960179012112465,0.15948721088790027,0.6,-0.130903930599105,-0.05263934352536315,0.20714472268957795,0.6,-0.1368440856043177,-0.009679164513250682,0.04765751180167768,-0.005940155005212722,8,-0.006817922977626845,0.010131901429916379,0.003244899928723566,False,False,Post-R4
2025-11-26,4517.626,0.0060620367205186,15620036800,6965.045,0.0015014516285114,14894352600,-0.04848775379446346,0.1539094711960729,0.6,-0.1426017458169513,-0.06896461379925845,0.19155932261388003,0.6,-0.1449377366944794,-0.020476860004794983,0.037649851417807134,-0.0023359908775281157,9,-0.011320121856814969,0.016255358108951956,0.004751223617517564,False,False,Post-R4
2025-11-27,4515.403,-0.0004920726062759,15031177200,6951.284,-0.0019757230570657,13784110300,-0.04129759564458835,0.15261830811763494,0.6,-0.1573362654908549,-0.05881992945567427,0.18846075414567262,0.6,-0.15640726573149666,-0.01752233381108592,0.03584244602803768,0.0009289997593582289,10,-0.012787699358395077,0.015755286686245373,0.002766113458401387,False,False,Post-R4
2025-11-28,4526.662,0.0024934651458574,14290209600,7031.551,0.0115470753316941,14021118400,-0.024566721859869523,0.145783387613882,0.55,-0.1774098587605193,-0.04084734380820687,0.19444192762674803,0.55,-0.166501361232417,-0.016280621948337348,0.04865854001286604,0.010908497528102301,11,-0.003872094767025769,0.018288037090317788,0.014345129310575633,False,False,Post-R4
2025-12-01,4576.486,0.0110067860158322,20038231700,7101.832,0.0099950921212119,17897343200,-0.016529193796453456,0.1515851402598974,0.55,-0.17696951665649074,-0.03160371010094454,0.1989565704264959,0.55,-0.16978125480231476,-0.015074516304491081,0.047371430166598505,0.007188261854175981,12,-0.00486889966875792,0.029496115617052787,0.024483602320737763,False,False,Post-R4
2025-12-02,4554.335,-0.0048401765022333,14849313200,7040.301,-0.0086641024456788,14951819700,-0.013935525999853371,0.15033754348917852,0.55,-0.1850666562859029,-0.023648334275203742,0.1927338239576267,0.55,-0.17117761296444134,-0.00971280827535037,0.04239628046844818,0.01388904332146157,13,-0.008692715242734184,0.024513172709102804,0.015607371436312745,False,False,Post-R4
2025-12-03,4531.049,-0.0051129308669651,16976279000,6996.355,-0.0062420626618096,15783886700,-0.02079158343701193,0.15082667947969836,0.6,-0.18437839896058605,-0.03222783376797411,0.1930315963849609,0.6,-0.17120402468618034,-0.011436250330962183,0.04220491690526254,0.013174374274405709,14,-0.009817784216296976,0.019274907684746267,0.009267886584011453,False,False,Post-R4
2025-12-04,4546.566,0.0034245932895451,14719811000,7012.806,0.0023513672476596,14103833800,-0.03128582821462311,0.14080232102106746,0.6,-0.1948857744798017,-0.04532120255555505,0.18221106310509846,0.6,-0.17779803499738256,-0.014035374340931939,0.041408742084031,0.01708773948241915,15,-0.01087684669821909,0.022765509693805086,0.011641046036639624,False,False,Post-R4
2025-12-05,4584.537,0.0083515778721787,19679996800,7097.839,0.012125388895686,16873827400,-0.02014557597534672,0.14493522522886168,0.55,-0.19176252942051253,-0.03139666952832787,0.18921458092475638,0.55,-0.17693051828712647,-0.01125109355298115,0.044279355695894695,0.014832011133386058,16,-0.007174999107110613,0.031307215492991425,0.023907587142672382,False,False,Post-R4
2025-12-08,4621.755,0.0081181589329522,19962099000,7172.367,0.0105000972831308,19261175000,-0.015611332017478885,0.14773716001937814,0.55,-0.19685124169012314,-0.02334417512890441,0.19363167757848998,0.55,-0.1766103804679685,-0.007732843111425525,0.045894517559111836,0.020240861222154627,17,-0.004829194774862433,0.039679531377063926,0.03465871641660634,False,False,Post-R4
2025-12-09,4598.223,-0.0050915723572538,18416034400,7121.326,-0.0071163396965047,16690106600,-0.01159524402181622,0.14537054611815634,0.55,-0.1924149934282311,-0.023353147892755666,0.19363542801327815,0.55,-0.17745947251060135,-0.011757903870939446,0.04826488189512182,0.01495552091762975,18,-0.006854496086431516,0.034385927814701844,0.02729573352063608,False,False,Post-R4
2025-12-10,4591.827,-0.0013909721211867,16911110600,7155.994,0.0048681944907451,15396782700,-0.011640566278969589,0.14537398871094406,0.55,-0.19830533900406633,-0.012046253283057418,0.19358816261126943,0.5,-0.1803053662031534,-0.0004056870040878291,0.04821417390032537,0.017999972800912922,19,-0.0006295742147655048,0.032947125826563894,0.032296808950927236,False,False,Post-R4
2025-12-11,4552.185,-0.0086331649689763,16841940500,7082.893,-0.0102153523326039,18184855400,-0.031877209929063954,0.13999714682535033,0.6,-0.20494542353282952,-0.0370342927288666,0.18677582134807177,0.55,-0.18411658309987133,-0.005157082799802648,0.04677867452272144,0.020828840432958184,20,-0.002224535033896524,0.024029522885073318,0.021751533335671036,False,False,Post-R4
2025-12-12,4580.95,0.0063189435402997,21282652000,7169.791,0.0122687156222747,19840247300,-0.010196320768169231,0.1321063486119809,0.55,-0.19785616590710364,-0.009076269075837806,0.1849278421155059,0.5,-0.18292690830682257,0.0011200516923314252,0.052821493503525,0.014929257600281076,21,0.0036747244838164494,0.030500307623784195,0.03428711233478965,False,False,Other
2025-12-15,4552.06,-0.0063065521343824,16758996700,7113.962,-0.0077866983849319,17217406400,-0.01000271201745484,0.13199061352892133,0.55,-0.19670576628083836,-0.01677720956453943,0.18676693465035113,0.5,-0.18418478127371796,-0.00677449754708459,0.0547763211214298,0.0125209850071204,22,0.002179710721365913,0.02400140370925752,0.0262334305476164,False,False,Other
2025-12-16,4497.555,-0.0119736998194224,16516520100,7001.319,-0.0158340738958122,17206587400,-0.015463006926369816,0.1366585338384554,0.55,-0.19549207131383894,-0.020933942551955576,0.19054495306632743,0.5,-0.1871571706764079,-0.00547093562558576,0.053886419227872046,0.00833490063743103,23,-0.0017359629549779099,0.011740318286575624,0.009983974573972487,False,False,Other
2025-12-17,4579.875,0.0183032781144421,17842483000,7137.834,0.019498468788524,17441313600,-0.0018344516870321126,0.15168422877390342,0.55,-0.18987008237693126,0.002118143463470057,0.20345179380197148,0.45,-0.1797663074140463,0.0039525951505021695,0.05176756502806806,0.010103774962884948,24,-0.0005642924978654928,0.030258482711768897,0.029677115579112456,False,False,Other
2025-12-18,4552.793,-0.0059132618248315,15168132800,7100.836,-0.0051833651497078,15489612300,-0.0026626809330568824,0.1520757932992828,0.55,-0.19453295814595495,0.005506411118742394,0.20188813645353554,0.45,-0.17392404045778853,0.008169092051799276,0.04981234315425273,0.020608917688166417,25,0.0001695315960410504,0.02416629455624064,0.024339923102768113,False,False,Other
2025-12-19,4568.178,0.0033792443451745,15487622000,7169.551,0.0096770295779258,17884314600,0.02572520976251247,0.12224192039005086,0.5,-0.20069567555222612,0.05165319380820588,0.15614660861314675,0.4,-0.16973258237982103,0.02592798404569341,0.03390468822309589,0.030963093172405087,26,0.006447170825507165,0.02762720271563812,0.03425249083648385,False,False,Other
2025-12-22,4611.624,0.0095105751133164,16525285600,7255.661,0.0120105150238836,17824288100,0.036774783005939726,0.1251983134969144,0.45,-0.20178785084172857,0.056295954878799126,0.15880948536341702,0.4,-0.16017010883483518,0.0195211718728594,0.033611171866502615,0.04161774200689339,27,0.008939524558346124,0.037400528415552525,0.0466743959161644,False,False,Other
2025-12-23,4620.734,0.001975442924228,16925641200,7256.786,0.0001550513454253,17347600200,0.029023885373368863,0.1218754785361079,0.45,-0.20015858898456484,0.04345079079280323,0.1548218817050162,0.4,-0.15325860255189439,0.014426905419434366,0.0329464031689083,0.04689998643267046,28,0.007106480618000788,0.03944985394900136,0.0468366841894734,False,False,Other
2025-12-24,4634.059,0.002883740981411,15371124100,7352.04,0.0131261966385669,16883771300,0.025773049827498395,0.1208009844497018,0.45,-0.1944808422766996,0.05556245508823032,0.15957792093457643,0.4,-0.13996703937746624,0.029789405260731927,0.038776936484874625,0.054513802899233355,29,0.01739206313195174,0.0424473580909559,0.06057766835460998,False,False,Other
2025-12-25,4642.536,0.0018292818455698,13943418600,7410.712,0.0079803700741563,16841420100,0.02815540495499569,0.12062499643187052,0.4,-0.1918824013859387,0.06609253772396628,0.15957638795375478,0.35,-0.12672741349712502,0.037937132768970594,0.03895139152188426,0.06515498788881369,30,0.023638704607493066,0.04435428811807385,0.06904147064046562,False,False,Other
2025-12-26,4657.24,0.0031672344597866,17539656500,7458.839,0.0064942477861775,19927688400,0.02884642149115657,0.1207284367756942,0.4,-0.18057598782420603,0.0607672475105423,0.15708165574567348,0.35,-0.1085881782798589,0.03192082601938573,0.036353218969979284,0.07198780954434714,31,0.027033611752235398,0.04766200300762735,0.07598409084450441,False,False,Other
2025-12-29,4639.372,-0.0038366070891772,20039713300,7430.615,-0.0037839669149581,19884433800,0.013741110537648815,0.11657058608211911,0.45,-0.18004259981647952,0.04629551924066955,0.15655770044585873,0.4,-0.10244516057372932,0.03255440870302073,0.039987114363739626,0.0775974392427502,32,0.027087883198703144,0.043642535539826666,0.07191260264372756,False,False,Other
2025-12-30,4651.282,0.0025671577963568,18037497400,7458.936,0.0038113938079149,19620361500,0.021286752072476656,0.1148471065164121,0.4,-0.16612573361648297,0.05946265649721538,0.1511264804693448,0.35,-0.08734600962862482,0.03817590442473873,0.036279373952932695,0.07877972398785815,33,0.028362550657509367,0.04632173061154754,0.07599808370006977,False,False,Other
