analysis_date,window,factor_order,factor_name,method,sort_status,turnover_status,gross_spread_status,gross_q5_minus_q1,q1_sort_n,q5_sort_n,q1_return_n,q5_return_n,q1_future_excess_return,q5_future_excess_return,gross_q5_minus_q1_bps,q1_target_turnover,q5_target_turnover,q1_drift_turnover,q5_drift_turnover,q1_drift_return_weight_coverage,q5_drift_return_weight_coverage,long_short_half_l1_turnover_sum,roundtrip_traded_notional_ratio
2015-07-31,120,1,residual_degree_percentile,RAW_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.01265082707612213,444.0,305.0,444.0,305.0,-0.005448104109220504,0.0072027229669016255,126.5082707612213,,,,,,,,
2015-07-31,120,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.0163863551462293,305.0,305.0,305.0,305.0,-0.013512111523662006,0.0028742436225672953,163.863551462293,,,,,,,,
2015-07-31,120,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.0005682487883741198,305.0,305.0,305.0,305.0,-0.003067392748994274,-0.003635641537368394,-5.6824878837411985,,,,,,,,
2015-07-31,120,2,delta_degree_percentile,RAW_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.051883968254818516,305.0,303.0,305.0,303.0,0.03800970113747485,-0.013874267117343662,-518.8396825481851,,,,,,,,
2015-07-31,120,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.04244313761662594,305.0,305.0,305.0,305.0,0.03117841140580296,-0.011264726210822975,-424.4313761662594,,,,,,,,
2015-07-31,120,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.02389908008639826,305.0,305.0,305.0,305.0,0.01703737316763483,-0.006861706918763427,-238.9908008639826,,,,,,,,
2015-07-31,120,3,cross_industry_degree_percentile,RAW_COMMON,FEWER_THAN_5_PORTFOLIOS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-07-31,120,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.01876333354781591,305.0,305.0,305.0,305.0,-0.012426119587340734,0.006337213960475177,187.6333354781591,,,,,,,,
2015-07-31,120,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.00788526043423877,305.0,305.0,305.0,305.0,0.0033072494994110502,-0.004578010934827719,-78.85260434238769,,,,,,,,
2015-07-31,120,4,cross_industry_degree_ratio,RAW_COMMON,FEWER_THAN_5_PORTFOLIOS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-07-31,120,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.014697395252161462,254.0,254.0,254.0,254.0,0.00048693241497744377,-0.014210462837184018,-146.97395252161462,,,,,,,,
2015-07-31,120,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.004913350539587185,254.0,254.0,254.0,254.0,0.00058707026093764,-0.004326280278649545,-49.13350539587185,,,,,,,,
2015-07-31,120,5,delta_residual_degree_percentile_1m,RAW_COMMON,INSUFFICIENT_SORT_OBS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
