factor_order,factor_name,method,window,turnover_month_count,mean_q1_target_turnover,mean_q5_target_turnover,mean_q1_drift_turnover,median_q1_drift_turnover,mean_q5_drift_turnover,median_q5_drift_turnover,mean_long_short_half_l1_turnover_sum,mean_roundtrip_traded_notional_ratio,annualized_q1_drift_turnover,annualized_q5_drift_turnover
2,delta_degree_percentile,RAW_COMMON,252,118,0.1709304569800095,0.19955700975453458,0.19287423490799563,0.18494486653944112,0.22544812964976507,0.2146188553827154,0.41832236455776073,0.8366447291155215,2.3144908188959477,2.705377555797181
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,252,108,0.20553556137896076,0.24583228814726538,0.22685694255472239,0.2224649832410327,0.2739520151624312,0.2673320588468867,0.5008089577171535,1.001617915434307,2.7222833106566684,3.287424181949174
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,113,0.2329925658766441,0.2671376672269761,0.25578445406346034,0.25363270310201386,0.29137380401556967,0.2885562663879305,0.5471582580790301,1.0943165161580601,3.069413448761524,3.496485648186836
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,252,108,0.24029659706715942,0.16642060952140553,0.2663167711661655,0.25117876299911457,0.19200157336550092,0.18355024075142426,0.4583183445316663,0.9166366890633326,3.1958012539939857,2.304018880386011
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,109,0.2660766781488156,0.19615350769942472,0.29126955156940315,0.27626123977977407,0.22146656404194015,0.21194611852614983,0.5127361156113434,1.0254722312226867,3.495234618832838,2.6575987685032816
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,252,110,0.26194175200697634,0.25366179729720195,0.28482425690896274,0.2734964696792507,0.27767370612871856,0.26071616510628326,0.5624979630376813,1.1249959260753626,3.417891082907553,3.3320844735446227
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,109,0.26791124433486196,0.26632785365044614,0.29042869008491695,0.2804056040322851,0.28972073042783086,0.27635811221906165,0.5801494205127479,1.1602988410254957,3.4851442810190036,3.4766487651339704
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,252,114,0.3338140781183666,0.2794990434399786,0.35707347171595866,0.35722610405140054,0.3004584331468724,0.3012165670276815,0.657531904862831,1.315063809725662,4.284881660591504,3.6055011977624685
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,118,0.36980674032107225,0.30379721461493525,0.39053879334662633,0.38974100791692656,0.32556013208344087,0.330739531504436,0.7160989254300671,1.4321978508601343,4.686465520159516,3.90672158500129
3,cross_industry_degree_percentile,RAW_COMMON,120,112,0.3375031768662518,0.22175689244483607,0.3506920801623022,0.3432751993768024,0.24352634768495748,0.2315830491878083,0.5942184278472598,1.1884368556945195,4.2083049619476265,2.9223161722194897
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,252,109,0.7528027224400363,0.7558103349322541,0.7611996368720917,0.7603429524117055,0.7646639370887822,0.7608397072585854,1.525863573960874,3.051727147921748,9.134395642465101,9.175967245065387
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,107,0.758272072687637,0.759342948136041,0.766619310875725,0.7654313872025232,0.7678812842190157,0.7632208407468053,1.5345005950947406,3.069001190189481,9.1994317305087,9.21457541062819
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,252,109,0.7712119550852801,0.7732421923169861,0.7788687275714058,0.7818808650931884,0.7814547492630293,0.779203184944689,1.560323476834435,3.12064695366887,9.346424730856869,9.37745699115635
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,109,0.7740529373922439,0.7757414928848795,0.7817326138666932,0.7836931186246219,0.7837339885284148,0.7827973248733667,1.5654666023951083,3.1309332047902165,9.380791366400318,9.404807862340977
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,252,109,0.5996059500008124,0.5786009142405232,0.6124556801888418,0.6001445281747978,0.5918223841372542,0.5878283481474544,1.204278064326096,2.408556128652192,7.349468162266101,7.101868609647051
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,107,0.6001586998246756,0.588524443967424,0.6134427459878727,0.6028994637063213,0.6001687826840074,0.5977815680277792,1.2136115286718798,2.4272230573437596,7.361312951854472,7.202025392208089
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,252,109,0.6790817472499954,0.6559115685041854,0.6891795665254432,0.6807927822525309,0.6669058737865292,0.6652529307022862,1.3560854403119729,2.7121708806239457,8.270154798305319,8.00287048543835
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,109,0.681004237156632,0.6624818809895423,0.6915758139607371,0.6797187924435254,0.672342426296084,0.670534372611188,1.363918240256821,2.727836480513642,8.298909767528844,8.068109115553007
9,outside_community_degree_percentile,RAW_COMMON,60,105,0.5717850228231701,0.5213162719582419,0.5785546962821532,0.5780178607411762,0.5304178553913586,0.5375066303688307,1.1089725516735116,2.217945103347023,6.942656355385838,6.365014264696303
7,neighbor_jaccard_1m,RAW_COMMON,252,103,0.5837281904663778,0.5484591379056661,0.5935226708397877,0.5889240440162493,0.5608208542547489,0.5590019953661011,1.1543435250945369,2.3086870501890737,7.122272050077452,6.7298502510569875
7,neighbor_jaccard_1m,RAW_COMMON,60,108,0.7023060023136855,0.593821557633536,0.7111289652979805,0.7207284776581595,0.6075850166807674,0.6064305661674654,1.3187139819787477,2.6374279639574953,8.533547583575766,7.291020200169209
8,neighbor_retention_1m,RAW_COMMON,60,113,0.7272392820933287,0.6695211544650097,0.7344671303032022,0.7341241530638063,0.6792448183017472,0.6804501004896271,1.4137119486049492,2.8274238972098984,8.813605563638426,8.150937819620967
5,delta_residual_degree_percentile_1m,RAW_COMMON,252,104,0.7459672649091789,0.7512684010831983,0.7542868789480082,0.7568873283707418,0.760063545809126,0.7569396420205121,1.5143504247571342,3.0287008495142684,9.051442547376098,9.120762549709513
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,252,104,0.7631484456528136,0.7746556318736506,0.7703909913482913,0.7731952883895173,0.7819102414806036,0.7802161606857841,1.5523012328288945,3.104602465657789,9.244691896179495,9.382922897767244
7,neighbor_jaccard_1m,RAW_COMMON,120,113,0.6279118279970826,0.5201030895286127,0.6386393776977252,0.6344833807124108,0.5349029803870834,0.5329611607248406,1.1735423580848083,2.3470847161696167,7.663672532372702,6.418835764645001
9,outside_community_degree_percentile,RAW_COMMON,120,82,0.44634837928853055,0.37595105425873765,0.4562752677449736,0.4601374043905737,0.3871077738938572,0.3911531222949123,0.8433830416388307,1.6867660832776614,5.475303212939684,4.645293286726286
1,residual_degree_percentile,RAW_COMMON,252,101,0.19037628953829747,0.11152250105414592,0.20955648684684922,0.2017508748342461,0.13695907263354037,0.1297173509196993,0.34651555948038953,0.6930311189607791,2.5146778421621905,1.6435088716024846
3,cross_industry_degree_percentile,RAW_COMMON,252,86,0.23622535522914126,0.12239114959017662,0.2520178630476211,0.24334488875617744,0.1462594641306516,0.13854973818755703,0.3982773271782728,0.7965546543565456,3.024214356571453,1.7551135695678193
9,outside_community_degree_percentile,RAW_COMMON,252,10,0.3488379852150862,0.2586579596961698,0.35871281196346005,0.35985152262432984,0.27059197571958393,0.2591381848195426,0.629304787683044,1.258609575366088,4.30455374356152,3.247103708635007
8,neighbor_retention_1m,RAW_COMMON,252,82,0.647195064634525,0.68567183819058,0.6550655489006372,0.6523773855915995,0.6964153533591415,0.6940529803991233,1.3514809022597787,2.7029618045195574,7.860786586807646,8.356984240309698
4,cross_industry_degree_ratio,RAW_COMMON,60,70,0.3340897428702877,0.41414059300269346,0.356963633073206,0.34893935344234156,0.4362715329563175,0.43035555223006633,0.7932351660295236,1.5864703320590472,4.283563596878472,5.23525839547581
4,cross_industry_degree_ratio,RAW_COMMON,120,73,0.2552272584762398,0.3142047284401746,0.2796539677692074,0.2694190957107592,0.3398713546933726,0.33781524731717716,0.61952532246258,1.23905064492516,3.3558476132304893,4.078456256320472
4,cross_industry_degree_ratio,RAW_COMMON,252,58,0.20426981439535605,0.2213327106028632,0.23185453708605314,0.22924080371589933,0.24900375809799996,0.23974611355917796,0.480858295184053,0.961716590368106,2.7822544450326374,2.9880450971759993
