analysis,alpha,bootstrap_id,D_star,success,convergence_warning
equal_length_R3late_vs_R4,0.04439426559183951,265,0.00383661055661871,True,False
equal_length_R3late_vs_R4,0.04439426559183951,266,0.0037981861227218854,True,False
equal_length_R3late_vs_R4,0.04439426559183951,267,0.0033889921892728144,True,False
equal_length_R3late_vs_R4,0.04439426559183951,268,0.0036576127998197293,True,False
equal_length_R3late_vs_R4,0.04439426559183951,269,0.003971014853056689,True,False
equal_length_R3late_vs_R4,0.04439426559183951,270,0.003907470537356009,True,False
equal_length_R3late_vs_R4,0.04439426559183951,271,0.006880530028905445,True,False
equal_length_R3late_vs_R4,0.04439426559183951,272,0.004067158062376081,True,False
equal_length_R3late_vs_R4,0.04439426559183951,273,0.004338471302689769,True,False
equal_length_R3late_vs_R4,0.04439426559183951,274,0.0030241998376775454,True,False
equal_length_R3late_vs_R4,0.04439426559183951,275,0.003873129620991327,True,False
equal_length_R3late_vs_R4,0.04439426559183951,276,0.0038361073645260648,True,False
equal_length_R3late_vs_R4,0.04439426559183951,277,0.003991222815649612,True,False
equal_length_R3late_vs_R4,0.04439426559183951,278,0.003087947356022419,True,False
equal_length_R3late_vs_R4,0.04439426559183951,279,0.0033088792477187373,True,False
equal_length_R3late_vs_R4,0.04439426559183951,280,0.0029888877582927662,True,False
equal_length_R3late_vs_R4,0.04439426559183951,281,0.003044372526067167,True,False
equal_length_R3late_vs_R4,0.04439426559183951,282,0.003540182078003318,True,False
equal_length_R3late_vs_R4,0.04439426559183951,283,0.0036929979370851776,True,False
equal_length_R3late_vs_R4,0.04439426559183951,284,0.004033665884872975,True,False
equal_length_R3late_vs_R4,0.04439426559183951,285,0.004201200570871584,True,False
equal_length_R3late_vs_R4,0.04439426559183951,286,0.004199890453590349,True,False
equal_length_R3late_vs_R4,0.04439426559183951,287,0.004269897577032031,True,False
equal_length_R3late_vs_R4,0.04439426559183951,288,0.0033124957627850195,True,False
equal_length_R3late_vs_R4,0.04439426559183951,289,0.00474977046194459,True,False
equal_length_R3late_vs_R4,0.04439426559183951,290,0.001990610278734925,True,False
equal_length_R3late_vs_R4,0.04439426559183951,291,0.003018606391416934,True,False
equal_length_R3late_vs_R4,0.04439426559183951,292,0.0030377070082525195,True,False
equal_length_R3late_vs_R4,0.04439426559183951,293,0.005468542441497899,True,False
equal_length_R3late_vs_R4,0.04439426559183951,294,0.0035817566091030117,True,False
equal_length_R3late_vs_R4,0.04439426559183951,295,0.004978101013947622,True,False
equal_length_R3late_vs_R4,0.04439426559183951,296,0.004487529358278808,True,False
equal_length_R3late_vs_R4,0.04439426559183951,297,0.004531362521829517,True,False
equal_length_R3late_vs_R4,0.04439426559183951,298,0.0038801452922449108,True,False
equal_length_R3late_vs_R4,0.04439426559183951,299,0.003235726856557895,True,False
equal_length_R3late_vs_R4,0.04439426559183951,300,0.002828006402599667,True,False
equal_length_R3late_vs_R4,0.04439426559183951,301,0.004260838407106231,True,False
equal_length_R3late_vs_R4,0.04439426559183951,302,0.0036976912224215243,True,False
equal_length_R3late_vs_R4,0.04439426559183951,303,0.0030465600055918965,True,False
equal_length_R3late_vs_R4,0.04439426559183951,304,0.0042300944560416925,True,False
equal_length_R3late_vs_R4,0.04439426559183951,305,0.004952539607384245,True,False
equal_length_R3late_vs_R4,0.04439426559183951,306,0.0020312145315688926,True,False
equal_length_R3late_vs_R4,0.04439426559183951,307,0.00403127677294073,True,False
equal_length_R3late_vs_R4,0.04439426559183951,308,0.0031479786049724823,True,False
equal_length_R3late_vs_R4,0.04439426559183951,309,0.003088151031136588,True,False
equal_length_R3late_vs_R4,0.04439426559183951,310,0.0034079259982827087,True,False
equal_length_R3late_vs_R4,0.04439426559183951,311,0.0050400897765551815,True,False
equal_length_R3late_vs_R4,0.04439426559183951,312,0.00439910087543175,True,False
equal_length_R3late_vs_R4,0.04439426559183951,313,0.004335713013904541,True,False
equal_length_R3late_vs_R4,0.04439426559183951,314,0.0033810452951033277,True,False
equal_length_R3late_vs_R4,0.04439426559183951,315,0.003852005012820184,True,False
equal_length_R3late_vs_R4,0.04439426559183951,316,0.002423739280727655,True,False
equal_length_R3late_vs_R4,0.04439426559183951,317,0.004720086176410192,True,False
equal_length_R3late_vs_R4,0.04439426559183951,318,0.003808473012461775,True,False
equal_length_R3late_vs_R4,0.04439426559183951,319,0.00395723742298839,True,False
equal_length_R3late_vs_R4,0.04439426559183951,320,0.002495100166801133,True,False
equal_length_R3late_vs_R4,0.04439426559183951,321,0.0028912553050182096,True,False
equal_length_R3late_vs_R4,0.04439426559183951,322,0.00441810396768576,True,False
equal_length_R3late_vs_R4,0.04439426559183951,323,0.004666071285536849,True,False
equal_length_R3late_vs_R4,0.04439426559183951,324,0.0024884131652527074,True,False
equal_length_R3late_vs_R4,0.04439426559183951,325,0.0042789764455697194,True,False
equal_length_R3late_vs_R4,0.04439426559183951,326,0.0037481541647047304,True,False
equal_length_R3late_vs_R4,0.04439426559183951,327,0.0030983711159158927,True,False
equal_length_R3late_vs_R4,0.04439426559183951,328,0.004095006458284122,True,False
equal_length_R3late_vs_R4,0.04439426559183951,329,0.0031198734785387277,True,False
equal_length_R3late_vs_R4,0.04439426559183951,330,0.003929991450641526,True,False
equal_length_R3late_vs_R4,0.04439426559183951,331,0.003889937118062748,True,False
equal_length_R3late_vs_R4,0.04439426559183951,332,0.0034613075176207595,True,False
equal_length_R3late_vs_R4,0.04439426559183951,333,0.004442802422063627,True,False
equal_length_R3late_vs_R4,0.04439426559183951,334,0.004412884275020456,True,False
equal_length_R3late_vs_R4,0.04439426559183951,335,0.0034056267967062224,True,False
equal_length_R3late_vs_R4,0.04439426559183951,336,0.003918768526115408,True,False
equal_length_R3late_vs_R4,0.04439426559183951,337,0.002956591502739432,True,False
equal_length_R3late_vs_R4,0.04439426559183951,338,0.0044391165312613855,True,False
equal_length_R3late_vs_R4,0.04439426559183951,339,0.0047999348331026455,True,False
equal_length_R3late_vs_R4,0.04439426559183951,340,0.003948397756573041,True,False
equal_length_R3late_vs_R4,0.04439426559183951,341,0.003296624960263428,True,False
