factor_order,factor_name,neutralization,window,full_sample_alpha_ic,full_sample_alpha_spread,full_sample_alpha_spread_bps,full_sample_mean_risk_ic,full_sample_ivol_ic,alpha_ic_overall_same_sign_share,alpha_ic_time_same_sign_share,alpha_ic_trend_same_sign_share,alpha_ic_vol_same_sign_share,alpha_ic_joint_same_sign_share,alpha_ic_mean_abs_retention,alpha_spread_overall_same_sign_share,alpha_spread_time_same_sign_share,alpha_spread_trend_same_sign_share,alpha_spread_vol_same_sign_share,alpha_spread_joint_same_sign_share,alpha_spread_mean_abs_retention,risk_ic_overall_same_sign_share,risk_ic_time_same_sign_share,risk_ic_trend_same_sign_share,risk_ic_vol_same_sign_share,risk_ic_joint_same_sign_share,risk_ic_mean_abs_retention,ivol_ic_overall_same_sign_share,ivol_ic_time_same_sign_share,ivol_ic_trend_same_sign_share,ivol_ic_vol_same_sign_share,ivol_ic_joint_same_sign_share,ivol_ic_mean_abs_retention,factor_sign_flipped,window_selected_from_regime_results,factor_removed_from_regime_results
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,120,0.006811870490322519,0.0013492882537050985,13.492882537050985,-0.017437676717928376,-0.023154049745637624,0.9090909090909091,1.0,1.0,1.0,0.75,0.8862991402869983,0.9090909090909091,1.0,1.0,1.0,0.75,0.8599890139039844,0.9318181818181818,0.75,1.0,1.0,1.0,0.9984215308945671,1.0,1.0,1.0,1.0,1.0,1.001290984606529,False,False,False
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,0.007331037480516441,0.0006348288156346528,6.348288156346529,-0.014347155487810626,-0.017633956664763768,1.0,1.0,1.0,1.0,1.0,0.9988345899016656,0.5454545454545454,0.3333333333333333,1.0,0.5,0.5,,0.9318181818181818,0.75,1.0,1.0,1.0,0.9722394756129252,1.0,1.0,1.0,1.0,1.0,0.9735757914177228,False,False,False
6,delta_cross_industry_degree_percentile_1m,RAW,60,0.010319540785240467,0.0019739158416049313,19.739158416049314,-0.016738692181406487,-0.01725982942276192,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.1435266566675235,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,1.0553690562659266,0.9090909090909091,0.75,1.0,1.0,0.9375,1.0108885465359145,1.0,1.0,1.0,1.0,1.0,0.9896725288219481,False,False,False
6,delta_cross_industry_degree_percentile_1m,RAW,120,0.008808832249348003,0.0013375657631177987,13.375657631177987,-0.020364209774372893,-0.023099557308819258,0.9090909090909091,1.0,1.0,1.0,0.75,0.9187373443984875,0.7272727272727273,0.6666666666666666,1.0,1.0,0.5,1.1377180194627434,0.9318181818181818,0.75,1.0,1.0,1.0,0.9815845575775022,1.0,1.0,1.0,1.0,1.0,0.9856702288403674,False,False,False
6,delta_cross_industry_degree_percentile_1m,RAW,252,0.002500401661542384,-0.0002537915886078912,-2.5379158860789124,-0.0162726587449171,-0.01786828046966463,0.5454545454545454,0.6666666666666666,0.5,0.5,0.5,,0.5454545454545454,0.6666666666666666,0.5,0.5,0.5,,0.9318181818181818,1.0,1.0,1.0,0.8125,0.9500188323693523,1.0,1.0,1.0,1.0,1.0,0.955863043109538,False,False,False
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,60,0.01011719944717235,0.0024030154932916993,24.030154932916993,-0.039771639074975274,-0.055796731104290384,1.0,1.0,1.0,1.0,1.0,0.906771312422794,0.8181818181818182,1.0,1.0,0.5,0.75,0.909121650416791,0.9545454545454546,0.8333333333333334,1.0,1.0,1.0,0.9987860803023936,1.0,1.0,1.0,1.0,1.0,1.0100163681441854,False,False,False
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,120,0.012101195886467846,0.002097343124459868,20.97343124459868,-0.04478475528320402,-0.060699445298562,1.0,1.0,1.0,1.0,1.0,1.0254401749965785,1.0,1.0,1.0,1.0,1.0,1.0603811198261244,0.9772727272727273,1.0,1.0,1.0,0.9375,0.9672706650950809,1.0,1.0,1.0,1.0,1.0,0.9816530425916098,False,False,False
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,252,0.015892856640485016,0.0035007523340020263,35.00752334002026,-0.04157234468105073,-0.058320492920527586,1.0,1.0,1.0,1.0,1.0,1.034651863731688,1.0,1.0,1.0,1.0,1.0,1.0131015928523075,0.9772727272727273,0.9166666666666666,1.0,1.0,1.0,1.0179442214075671,1.0,1.0,1.0,1.0,1.0,1.012892232241798,False,False,False
7,neighbor_jaccard_1m,RAW,60,0.0009102697031392191,0.00015529996592301642,1.5529996592301643,-0.06437859944638859,-0.05714112625084587,0.45454545454545453,0.3333333333333333,0.5,0.5,0.5,,0.36363636363636365,0.3333333333333333,0.5,0.0,0.5,,1.0,1.0,1.0,1.0,1.0,0.9694162609643179,1.0,1.0,1.0,1.0,1.0,1.0006899678326358,False,False,False
7,neighbor_jaccard_1m,RAW,120,0.005229172999009266,0.0005639728283654187,5.639728283654187,-0.07525770315509021,-0.06253293597984681,1.0,1.0,1.0,1.0,1.0,1.2107903365606594,0.6363636363636364,0.6666666666666666,0.5,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,0.9716558097553775,1.0,1.0,1.0,1.0,1.0,0.9807018399880824,False,False,False
7,neighbor_jaccard_1m,RAW,252,0.014906260471675249,0.0024321012373961924,24.321012373961924,-0.0757169868225373,-0.05786375824462603,1.0,1.0,1.0,1.0,1.0,1.031657684392288,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,1.1020874821998845,1.0,1.0,1.0,1.0,1.0,0.9994534113299923,1.0,1.0,1.0,1.0,1.0,1.0065817145704214,False,False,False
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,60,0.01298881957898473,0.003162896032221478,31.62896032221478,-0.04111960890516847,-0.056726795601316264,1.0,1.0,1.0,1.0,1.0,0.9593079185006542,0.9090909090909091,1.0,1.0,1.0,0.75,0.8758430788308644,0.9545454545454546,0.8333333333333334,1.0,1.0,1.0,0.998041274671614,1.0,1.0,1.0,1.0,1.0,1.0120098664007302,False,False,False
