analysis_date,market_return_sum,market_valid_stock_count,unresolved_open_stock_count,suspension_zero_stock_count,panel_stock_count,market_holding_return_ew,market_trailing_return_60d,market_trailing_vol_60d,market_vol_threshold_pit,market_trend_regime,market_vol_regime,joint_market_regime,time_subsample
2017-04-28,19.837494776710642,3206,0,245,3206,0.0061876153389615225,0.012055461952957066,0.141120639936179,0.17444769362225743,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2017-05-31,-4.756046326808806,3243,1,260,3244,-0.0014665576092534093,-0.11636509689725319,0.16677025827092984,0.17015473230452,BEAR,LOW_VOL,BEAR_LOW_VOL,P1_2015_2018
2017-06-30,9.928430728252822,3279,1,261,3280,0.00302788372316341,-0.07385509635535131,0.19018619027051092,0.16971422428108118,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2017-07-31,22.36106716540847,3306,3,262,3309,0.006763783171629906,-0.02837617932769432,0.20495156223464997,0.16971422428108118,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2017-08-31,24.679779561874568,3344,1,232,3345,0.007380316854627562,0.06873807165293579,0.16880918101075257,0.16949773573089033,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2017-09-29,27.712770976444514,3379,3,203,3382,0.008201471138338122,0.04698109081526362,0.15916051411334178,0.16650022324897862,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2017-10-31,30.133343034739458,3406,3,197,3409,0.00884713535958293,0.06589048735663677,0.13331874297314952,0.15986754006108023,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2017-11-30,-12.33037015738722,3444,1,213,3445,-0.0035802468517384493,-0.046207158077826306,0.15063548281068337,0.15875361661663245,BEAR,LOW_VOL,BEAR_LOW_VOL,P1_2015_2018
2017-12-29,23.095118076478464,3464,4,220,3468,0.006667181892747825,-0.08006052052539131,0.16784669707848088,0.1629213024497952,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-01-31,-86.32216711222338,3482,1,222,3483,-0.024790972749058983,-0.09599272633759084,0.16165406658308043,0.1658918945448402,BEAR,LOW_VOL,BEAR_LOW_VOL,P1_2015_2018
2018-02-28,2.1370538102779584,3494,0,270,3494,0.0006116353206290665,-0.08641749698040416,0.2155637523846719,0.1657078728005845,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-03-30,52.03934076324187,3502,2,258,3504,0.014859891708521379,-0.016853158290089897,0.24674298940308584,0.1663907385126108,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-04-27,4.377006526518677,3511,2,244,3513,0.001246655233984243,-0.07429911021130442,0.2570363489943584,0.16774449881094788,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-05-31,60.82572697446994,3521,0,222,3521,0.017275128365370616,-0.002689661866135425,0.21337399120534525,0.1826232692450787,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-06-29,102.01052501942179,3530,0,208,3530,0.028898165727881526,-0.14181237967566487,0.2417220614882302,0.18634787665527106,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-07-31,5.676081234519042,3534,0,141,3534,0.0016061350408938999,-0.12913852233359407,0.25378746162691956,0.1971152207002404,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-08-31,-38.73788152448621,3539,1,103,3540,-0.010945996474847758,-0.17409466440870025,0.26516921407754035,0.20945383575909943,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-09-28,33.413977351075616,3551,0,84,3551,0.009409737355977364,-0.044032521056272735,0.20312334399041868,0.2126714477235101,BEAR,LOW_VOL,BEAR_LOW_VOL,P1_2015_2018
2018-10-31,55.044951864396396,3556,0,78,3556,0.01547945777963903,-0.16795930505267892,0.28007170810992416,0.21528687668985003,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-11-30,24.687404238217074,3563,1,29,3564,0.006928825214206308,-0.05596669640540905,0.2952748419584506,0.23642708273101215,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2018-12-28,2.1996480869705497,3564,2,18,3566,0.0006171852095876963,-0.07910616301074092,0.30134303481607166,0.24579661719070842,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2019-01-31,-66.86041770761457,3582,0,16,3582,-0.01866566658504036,-0.045319886669659214,0.21912982633689598,0.2468687170778675,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2019-02-28,16.904121779540308,3588,0,20,3588,0.004711293695524054,0.14360815065772306,0.23246478973538945,0.24739482867908846,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2019-03-29,96.17774820734954,3598,1,35,3599,0.026730891664077137,0.3100077585697519,0.27672123670249466,0.2546922214907168,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2019-04-30,37.8934963052926,3609,0,58,3609,0.010499721891186645,0.24019255832265252,0.310169127957052,0.25885228638241087,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2019-05-31,4.199836962270782,3620,1,23,3621,0.0011601759564283927,-0.006427709606831904,0.3342664437866225,0.2648070581381746,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
