signal_type,factor_order,factor_name,neutralization,window,target_name,regime_type,regime_value,month_count,sufficient_regime_months,first_date,last_date,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,naive_se,naive_t_stat,calendar_hac_lag,calendar_hac_se,calendar_hac_t_stat,mean_pair_n,full_sample_alpha_ic,same_sign_as_full_sample,abs_retention_vs_full
ALPHA_IC,3,cross_industry_degree_percentile,RAW,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.002878037974125966,0.00960559582814645,0.11258044590619329,0.525,0.475,0.017800531453047483,0.1616826992900395,3,0.01660755598180411,0.17329690035543202,3782.4,0.0038334242211345844,True,
ALPHA_IC,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,0.009897547472302724,0.0088974883645393,0.05837823365886305,0.5737704918032787,0.4262295081967213,0.007474566893674395,1.324163341247084,3,0.007027778938051086,1.4083464433853508,3986.2131147540986,0.013558925727669242,True,0.7299654612094477
ALPHA_IC,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.013827479260577707,0.0111107250958893,0.05613126399735786,0.6,0.4,0.00887513210879292,1.5580026405329015,3,0.007315930841301906,1.890050570532326,3782.4,0.013558925727669242,True,1.0198064019452837
ALPHA_IC,4,cross_industry_degree_ratio,RAW,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,0.0026162340964749338,0.0076424262759191,0.06933426403085623,0.5245901639344263,0.47540983606557374,0.008877342838954447,0.29470914258202374,3,0.0076429670693856176,0.34230607991946255,3657.5737704918033,0.0016210473300158716,True,
ALPHA_IC,4,cross_industry_degree_ratio,RAW,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,-0.0043347053432773825,-0.00039781904040323023,0.07328025277142666,0.5,0.5,0.011586625313528725,-0.37411284355731367,3,0.010318842458411602,-0.42007670538121883,3446.2,0.0016210473300158716,False,
ALPHA_IC,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,0.002272569944342873,0.0006878224776514,0.04063712697602548,0.5409836065573771,0.45901639344262296,0.005203050947447222,0.4367764158561365,3,0.005051918885524329,0.44984292025247097,3657.5737704918033,0.0004447403411718875,True,
ALPHA_IC,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.0020256101253305313,0.00015643430610778428,0.04368214727445109,0.525,0.475,0.0069067539237090865,0.29327961408573416,3,0.006027875681848421,0.336040461390104,3446.2,0.0004447403411718875,True,
ALPHA_IC,5,delta_residual_degree_percentile_1m,RAW,252,future_excess_return,ALL_SAMPLE,ALL,126,True,2016-02-29,2026-07-31,0.0017470135578395688,0.008661534322029301,0.053122640880737974,0.5476190476190477,0.4523809523809524,0.004732540991817919,0.3691491655032629,4,0.004389160654211848,0.3980290755962944,3737.5079365079364,0.0017470135578395688,True,
ALPHA_IC,5,delta_residual_degree_percentile_1m,RAW,252,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,35,True,2016-02-29,2018-12-28,-0.005169209444224425,-0.0010606531343164,0.045322982334084355,0.4857142857142857,0.5142857142857142,0.0076609822713273575,-0.6747449949820595,3,0.006716261563919736,-0.7696557668322223,2203.342857142857,0.0017470135578395688,False,
ALPHA_IC,5,delta_residual_degree_percentile_1m,RAW,252,future_excess_return,MARKET_TREND,BEAR,59,True,2016-02-29,2026-07-31,-0.0002097707542473977,0.0098681578518319,0.05429987480163155,0.559322033898305,0.4406779661016949,0.007069241566819491,-0.02967372839994422,3,0.006609255418106186,-0.031738938954110715,3620.6610169491523,0.0017470135578395688,False,
