window_size,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,windows_selected,total_windows,mean_partial_all_windows,mean_abs_partial_all_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected
126,601398,工商银行,银行,603501,韦尔股份,电子,False,10,18,-0.020078107706520576,0.020078107706520576,0.5555555555555556,-0.036140593871737035,0.036140593871737035
252,000001,平安银行,银行,000568,泸州老窖,食品饮料,False,15,18,0.03289681657297758,0.03289681657297758,0.8333333333333334,0.0394761798875731,0.0394761798875731
252,000001,平安银行,银行,000725,京东方A,电子,False,11,18,0.04718165785209458,0.04718165785209458,0.6111111111111112,0.0772063492125184,0.0772063492125184
252,000001,平安银行,银行,000858,五粮液,食品饮料,False,17,18,0.022531455838794973,0.022531455838794973,0.9444444444444444,0.02385683559401821,0.02385683559401821
252,000001,平安银行,银行,002415,海康威视,电子,False,0,18,0.0,0.0,0.0,,
252,000001,平安银行,银行,002460,赣锋锂业,新能源,False,0,18,0.0,0.0,0.0,,
252,000001,平安银行,银行,002475,立讯精密,电子,False,1,18,0.00027771388237149517,0.00027771388237149517,0.05555555555555555,0.004998849882686913,0.004998849882686913
252,000001,平安银行,银行,600030,中信证券,非银金融,False,1,18,0.0002221483400692088,0.0002221483400692088,0.05555555555555555,0.003998670121245758,0.003998670121245758
252,000001,平安银行,银行,600036,招商银行,银行,True,18,18,0.3080357421134081,0.3080357421134081,1.0,0.3080357421134081,0.3080357421134081
252,000001,平安银行,银行,600519,贵州茅台,食品饮料,False,1,18,0.0005418214161246845,0.0005418214161246845,0.05555555555555555,0.00975278549024432,0.00975278549024432
252,000001,平安银行,银行,600887,伊利股份,食品饮料,False,18,18,0.04919295374976249,0.04919295374976249,1.0,0.04919295374976249,0.04919295374976249
252,000001,平安银行,银行,601288,农业银行,银行,True,18,18,0.05029605230375046,0.05029605230375046,1.0,0.05029605230375046,0.05029605230375046
252,000001,平安银行,银行,601318,中国平安,非银金融,False,18,18,0.24129338309028647,0.24129338309028647,1.0,0.24129338309028647,0.24129338309028647
252,000001,平安银行,银行,601398,工商银行,银行,True,18,18,0.06399682604949865,0.06399682604949865,1.0,0.06399682604949865,0.06399682604949865
252,000001,平安银行,银行,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
252,000568,泸州老窖,食品饮料,000725,京东方A,电子,False,4,18,0.0009469997022771744,0.0009469997022771744,0.2222222222222222,0.004261498660247285,0.004261498660247285
252,000568,泸州老窖,食品饮料,000858,五粮液,食品饮料,True,18,18,0.40582360075812984,0.40582360075812984,1.0,0.40582360075812984,0.40582360075812984
252,000568,泸州老窖,食品饮料,002415,海康威视,电子,False,6,18,0.002629832215282237,0.002629832215282237,0.3333333333333333,0.00788949664584671,0.00788949664584671
252,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,9,18,0.030861527715072407,0.030861527715072407,0.5,0.061723055430144814,0.061723055430144814
252,000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,0,18,0.0,0.0,0.0,,
252,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,17,18,0.048175944753919626,0.048175944753919626,0.9444444444444444,0.051009823857091366,0.051009823857091366
252,000568,泸州老窖,食品饮料,600036,招商银行,银行,False,1,18,8.21253488304327e-05,8.21253488304327e-05,0.05555555555555555,0.0014782562789477885,0.0014782562789477885
252,000568,泸州老窖,食品饮料,600519,贵州茅台,食品饮料,True,18,18,0.21625628090220608,0.21625628090220608,1.0,0.21625628090220608,0.21625628090220608
252,000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,True,18,18,0.09758840359183753,0.09758840359183753,1.0,0.09758840359183753,0.09758840359183753
252,000568,泸州老窖,食品饮料,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
252,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,12,18,0.05146633721878714,0.05146633721878714,0.6666666666666666,0.0771995058281807,0.0771995058281807
252,000568,泸州老窖,食品饮料,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
252,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
252,000725,京东方A,电子,000858,五粮液,食品饮料,False,11,18,0.012726765387853408,0.012726765387853408,0.6111111111111112,0.02082561608921467,0.02082561608921467
252,000725,京东方A,电子,002415,海康威视,电子,True,18,18,0.1826867103693727,0.1826867103693727,1.0,0.1826867103693727,0.1826867103693727
252,000725,京东方A,电子,002460,赣锋锂业,新能源,False,16,18,0.07803632386853346,0.07803632386853346,0.8888888888888888,0.08779086435210014,0.08779086435210014
252,000725,京东方A,电子,002475,立讯精密,电子,True,17,18,0.14857010615733973,0.14857010615733973,0.9444444444444444,0.157309524166595,0.157309524166595
252,000725,京东方A,电子,600030,中信证券,非银金融,False,16,18,0.128432042460896,0.128432042460896,0.8888888888888888,0.144486047768508,0.144486047768508
252,000725,京东方A,电子,600036,招商银行,银行,False,0,18,0.0,0.0,0.0,,
252,000725,京东方A,电子,600519,贵州茅台,食品饮料,False,1,18,0.00038426666829093504,0.00038426666829093504,0.05555555555555555,0.006916800029236831,0.006916800029236831
252,000725,京东方A,电子,600887,伊利股份,食品饮料,False,9,18,0.006055293926639522,0.006055293926639522,0.5,0.012110587853279044,0.012110587853279044
252,000725,京东方A,电子,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
252,000725,京东方A,电子,601318,中国平安,非银金融,False,14,18,0.029514117594405018,0.029514117594405018,0.7777777777777778,0.03794672262137788,0.03794672262137788
252,000725,京东方A,电子,601398,工商银行,银行,False,1,18,-0.000202964423303845,0.000202964423303845,0.05555555555555555,-0.00365335961946921,0.00365335961946921
