window_size,sensitivity_window_id,baseline_window_id,window_start,window_end,network_date,alpha,n_observations,n_nodes,n_edges,density,mean_degree,max_degree,n_components,n_isolated,mean_abs_partial,median_abs_partial,same_industry_edges,cross_industry_edges,same_industry_edge_ratio
252,6,19,2024-07-03,2025-07-16,2025-07-16,0.2169100494343441,252,15,54,0.5142857142857142,7.2,10,1,0,0.11843942858650093,0.0847354011196608,19,35,0.35185185185185186
252,7,20,2024-07-31,2025-08-13,2025-08-13,0.2169100494343441,252,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.11611223504694575,0.07965597277947536,19,36,0.34545454545454546
252,8,21,2024-08-28,2025-09-10,2025-09-10,0.2169100494343441,252,15,54,0.5142857142857142,7.2,10,1,0,0.11760357440237763,0.07286456728278795,19,35,0.35185185185185186
252,9,22,2024-09-27,2025-10-16,2025-10-16,0.2169100494343441,252,15,54,0.5142857142857142,7.2,11,1,0,0.11529376547515403,0.07024830337862176,19,35,0.35185185185185186
252,10,23,2024-11-01,2025-11-13,2025-11-13,0.2169100494343441,252,15,44,0.41904761904761906,5.866666666666666,9,1,0,0.1310562432763458,0.10453392446638324,18,26,0.4090909090909091
252,11,24,2024-11-29,2025-12-11,2025-12-11,0.2169100494343441,252,15,42,0.4,5.6,9,1,0,0.13305052233150208,0.09612332000584972,19,23,0.4523809523809524
252,12,25,2024-12-27,2026-01-12,2026-01-12,0.2169100494343441,252,15,42,0.4,5.6,8,1,0,0.1299027478384193,0.08832362670734313,19,23,0.4523809523809524
252,13,26,2025-01-27,2026-02-09,2026-02-09,0.2169100494343441,252,15,40,0.38095238095238093,5.333333333333333,10,1,0,0.13160748412402118,0.08651662048279235,18,22,0.45
252,14,27,2025-03-04,2026-03-17,2026-03-17,0.2169100494343441,252,15,44,0.41904761904761906,5.866666666666666,11,1,0,0.12196925647981936,0.07841351110922062,19,25,0.4318181818181818
252,15,28,2025-04-01,2026-04-15,2026-04-15,0.2169100494343441,252,15,45,0.42857142857142855,6.0,10,1,0,0.12138317617116189,0.07557084491718359,19,26,0.4222222222222222
252,16,29,2025-04-30,2026-05-18,2026-05-18,0.2169100494343441,252,15,42,0.4,5.6,8,1,0,0.11808225809117186,0.06404547284072265,19,23,0.4523809523809524
252,17,30,2025-06-03,2026-06-15,2026-06-15,0.2169100494343441,252,15,41,0.3904761904761905,5.466666666666667,8,1,0,0.11543432506397262,0.07079112228214789,19,22,0.4634146341463415
252,18,31,2025-07-01,2026-07-14,2026-07-14,0.2169100494343441,252,15,40,0.38095238095238093,5.333333333333333,8,1,0,0.12387816472716887,0.08857553382156183,18,22,0.45
504,1,14,2023-01-16,2025-02-19,2025-02-19,0.2169100494343441,504,15,58,0.5523809523809524,7.733333333333333,11,1,0,0.10294900484074378,0.060664520852634615,19,39,0.3275862068965517
504,2,15,2023-02-20,2025-03-19,2025-03-19,0.2169100494343441,504,15,58,0.5523809523809524,7.733333333333333,11,1,0,0.1028198750153941,0.05862432943827278,19,39,0.3275862068965517
504,3,16,2023-03-20,2025-04-17,2025-04-17,0.2169100494343441,504,15,57,0.5428571428571428,7.6,11,1,0,0.10579871811172607,0.06287589438529158,19,38,0.3333333333333333
504,4,17,2023-04-18,2025-05-20,2025-05-20,0.2169100494343441,504,15,59,0.5619047619047619,7.866666666666666,11,1,0,0.10294311634360988,0.06224138432823454,19,40,0.3220338983050847
504,5,18,2023-05-19,2025-06-18,2025-06-18,0.2169100494343441,504,15,54,0.5142857142857142,7.2,10,1,0,0.11270292639736612,0.07214215169721239,19,35,0.35185185185185186
504,6,19,2023-06-16,2025-07-16,2025-07-16,0.2169100494343441,504,15,56,0.5333333333333333,7.466666666666667,10,1,0,0.10910912026228602,0.06829484139539832,19,37,0.3392857142857143
504,7,20,2023-07-18,2025-08-13,2025-08-13,0.2169100494343441,504,15,56,0.5333333333333333,7.466666666666667,10,1,0,0.1092136596608069,0.0645642459142172,19,37,0.3392857142857143
504,8,21,2023-08-15,2025-09-10,2025-09-10,0.2169100494343441,504,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.11066919419491064,0.07418442486075141,19,36,0.34545454545454546
504,9,22,2023-09-12,2025-10-16,2025-10-16,0.2169100494343441,504,15,51,0.4857142857142857,6.8,9,1,0,0.11832925013630709,0.07363999858301377,19,32,0.37254901960784315
504,10,23,2023-10-18,2025-11-13,2025-11-13,0.2169100494343441,504,15,52,0.49523809523809526,6.933333333333334,9,1,0,0.11582269235237591,0.07022052967675349,19,33,0.36538461538461536
504,11,24,2023-11-15,2025-12-11,2025-12-11,0.2169100494343441,504,15,52,0.49523809523809526,6.933333333333334,10,1,0,0.11542788590633615,0.06615299160902072,19,33,0.36538461538461536
504,12,25,2023-12-13,2026-01-12,2026-01-12,0.2169100494343441,504,15,53,0.5047619047619047,7.066666666666666,10,1,0,0.11330753879010695,0.0676897753317567,19,34,0.3584905660377358
504,13,26,2024-01-11,2026-02-09,2026-02-09,0.2169100494343441,504,15,54,0.5142857142857142,7.2,10,1,0,0.1107924290617678,0.06495369164611105,19,35,0.35185185185185186
504,14,27,2024-02-08,2026-03-17,2026-03-17,0.2169100494343441,504,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.10826208059940118,0.058256052437429644,19,36,0.34545454545454546
504,15,28,2024-03-15,2026-04-15,2026-04-15,0.2169100494343441,504,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.10878870421876384,0.06214555930320083,19,36,0.34545454545454546
504,16,29,2024-04-16,2026-05-18,2026-05-18,0.2169100494343441,504,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.10819482164460677,0.06644353715865811,19,36,0.34545454545454546
504,17,30,2024-05-17,2026-06-15,2026-06-15,0.2169100494343441,504,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.10558680887015132,0.06485149420977951,19,36,0.34545454545454546
504,18,31,2024-06-17,2026-07-14,2026-07-14,0.2169100494343441,504,15,50,0.47619047619047616,6.666666666666667,10,1,0,0.11534223474621229,0.06395446919358891,19,31,0.38
