stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,persistence_W126,persistence_W252,persistence_W504,mean_abs_partial_W126,mean_abs_partial_W252,mean_abs_partial_W504,selected_windows_W126,selected_windows_W252,selected_windows_W504,min_persistence,max_persistence,mean_persistence,sd_persistence,persistence_range,n_scales_persistent,n_scales_always_persistent,multi_scale_persistent,multi_scale_always_persistent,scale_dependent_persistent,persistence_pattern,multi_scale_class,mean_abs_partial_across_scales,industry_relation
600887,伊利股份,食品饮料,601398,工商银行,银行,False,0.0555555555555555,0.0,0.0,0.0291321036929234,,,1,0,0,0.0,0.0555555555555555,0.0185185185185185,0.026189140043946176,0.0555555555555555,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.0291321036929234,Cross industry
600519,贵州茅台,食品饮料,603501,韦尔股份,电子,False,0.0555555555555555,0.0,0.0,0.0136799953919706,,,1,0,0,0.0,0.0555555555555555,0.0185185185185185,0.026189140043946176,0.0555555555555555,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.0136799953919706,Cross industry
000725,京东方A,电子,600519,贵州茅台,食品饮料,False,0.0,0.0555555555555555,0.0,,0.0069168000292368,,0,1,0,0.0,0.0555555555555555,0.0185185185185185,0.026189140043946176,0.0555555555555555,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.0069168000292368,Cross industry
002415,海康威视,电子,600036,招商银行,银行,False,0.0555555555555555,0.0,0.0,0.0067329670175835,,,1,0,0,0.0,0.0555555555555555,0.0185185185185185,0.026189140043946176,0.0555555555555555,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.0067329670175835,Cross industry
002475,立讯精密,电子,600887,伊利股份,食品饮料,False,0.0,0.0,0.0555555555555555,,,0.0059376652806565,0,0,1,0.0,0.0555555555555555,0.0185185185185185,0.026189140043946176,0.0555555555555555,0,0,False,False,False,Non-decreasing with W,Not persistent at any scale,0.0059376652806565,Cross industry
002475,立讯精密,电子,601288,农业银行,银行,False,0.0555555555555555,0.0,0.0,0.0046487780215866,,,1,0,0,0.0,0.0555555555555555,0.0185185185185185,0.026189140043946176,0.0555555555555555,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.0046487780215866,Cross industry
601288,农业银行,银行,601318,中国平安,非银金融,False,0.0555555555555555,0.0,0.0,0.000403804397952,,,1,0,0,0.0,0.0555555555555555,0.0185185185185185,0.026189140043946176,0.0555555555555555,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.000403804397952,Cross industry
000001,平安银行,银行,002460,赣锋锂业,新能源,False,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,False,Constant,Not persistent at any scale,,Cross industry
000001,平安银行,银行,603501,韦尔股份,电子,False,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,False,Constant,Not persistent at any scale,,Cross industry
000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,False,Constant,Not persistent at any scale,,Cross industry
000568,泸州老窖,食品饮料,601288,农业银行,银行,False,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,False,Constant,Not persistent at any scale,,Cross industry
000568,泸州老窖,食品饮料,601398,工商银行,银行,False,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,False,Constant,Not persistent at any scale,,Cross industry
000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,False,Constant,Not persistent at any scale,,Cross industry
