analysis_date,window,density_fraction,density_percent,common_node_count,common_valid_pair_count,edge_budget_k,raw_positive_pair_count,residual_positive_pair_count,raw_edge_threshold,residual_edge_threshold,raw_residual_overlap_count,raw_residual_overlap_fraction,raw_residual_jaccard,common_industry_labeled_pair_count,common_same_industry_pair_share,raw_same_industry_edge_share,residual_same_industry_edge_share,raw_industry_enrichment,residual_industry_enrichment
2015-05-29,60,0.01,1.0,1914,1807026,18070,1771556,896267,0.6580883860588074,0.4003598093986511,6635,0.36718317653569454,0.2248771394678868,1807026,0.047802853971110545,0.1462645268400664,0.1971776425013835,3.059744653079935,4.124809004511467
2015-06-30,60,0.01,1.0,1802,1597135,15971,1594676,790645,0.7625728249549866,0.4073084890842438,4616,0.28902385573852607,0.16892336968454952,1597135,0.04773485021616833,0.13649740154029177,0.17938764009767705,2.859491564803498,3.758001528973405
2015-07-31,60,0.01,1.0,1572,1165107,11651,1164317,567717,0.8672791123390198,0.5068302154541016,3081,0.26444082053042656,0.15236635181247218,1165107,0.04739135547207252,0.11295167796755644,0.1373272680456613,2.3833814593912233,2.8977282181048305
2015-08-31,60,0.01,1.0,1645,1276608,12766,1276317,616192,0.899162769317627,0.534665584564209,2676,0.20961930126899578,0.11708085404270213,1276608,0.048859164285356194,0.10645464515118283,0.1280745730847564,2.1788060992907496,2.6213009362328004
2015-09-30,60,0.01,1.0,1769,1509086,15090,1506397,724924,0.9123312830924988,0.5539619326591492,2906,0.19257786613651426,0.10654836107648309,1509086,0.04989775267943643,0.0927766732935719,0.12306163021868788,1.8593357077543593,2.4662760066427465
2015-10-30,60,0.01,1.0,1962,1910443,19104,1907483,919879,0.8927061557769775,0.49955251812934875,3160,0.1654103852596315,0.090162063455832,1910443,0.0502857190714405,0.10887772194304858,0.13091499162479062,2.165181764396506,2.6034228811325297
2015-11-30,60,0.01,1.0,2037,2059103,20591,2046352,991791,0.8575271964073181,0.44756054878234863,4106,0.19940750813462194,0.11074549573848312,2059103,0.050097542473591654,0.11349618765480064,0.14656888932057696,2.2655040956276222,2.92567024416096
2015-12-31,60,0.01,1.0,2119,2225937,22259,2215951,1085875,0.7503230571746826,0.43515849113464355,8961,0.40257873219821194,0.25201788677334985,2225937,0.05061823402908528,0.15674558605507885,0.1670335594590952,3.096622967229807,3.2998693586014394
2016-01-29,60,0.01,1.0,2199,2401665,24016,2401617,1182603,0.8483973741531372,0.4566723108291626,8252,0.34360426382411724,0.20744092508798392,2401665,0.05061904970093664,0.12483344437041972,0.15460526315789475,2.46613567635012,3.054290115506336
2016-02-29,60,0.01,1.0,2241,2495860,24958,2495821,1233242,0.8779067397117615,0.4521975815296173,6640,0.26604695889093677,0.15343377391625843,2495860,0.05044553781061438,0.10942383203782355,0.14376151935251222,2.169147892696257,2.8498361915028085
2016-03-31,60,0.01,1.0,2290,2604572,26045,2604156,1287450,0.9088542461395264,0.4496670961380005,4952,0.19013246304473028,0.10505324791039077,2604572,0.05018367701104059,0.09944327126127855,0.14828181992704934,1.9815859893925405,2.9547818884301127
2016-04-29,60,0.01,1.0,2246,2502856,25028,2499350,1220148,0.8555302023887634,0.41213148832321167,4022,0.16070001598210004,0.08737020463135943,2502856,0.04911828726862432,0.11798785360396356,0.16245804698737415,2.402116607989538,3.3074859898697806
2016-05-31,60,0.01,1.0,2265,2541732,25417,2533487,1240957,0.8173561096191406,0.38357558846473694,4629,0.1821222016760436,0.10018396277459149,2541732,0.0492050302706973,0.1181099264271944,0.16532242200102293,2.400362844559238,3.3598683120712587
2016-06-30,60,0.01,1.0,2284,2588457,25884,2576592,1271489,0.8042755722999573,0.38224631547927856,5155,0.19915778086849018,0.1105914659000708,2588457,0.04976632797067906,0.11130428063668675,0.1579354041106475,2.2365379399152,3.173539430188594
2016-07-29,60,0.01,1.0,2332,2707273,27072,2689315,1330552,0.7809481620788574,0.3907424509525299,5162,0.19067671394799054,0.10538565187211629,2707273,0.049376623635665855,0.1161716903073286,0.1692893026004728,2.352766992828873,3.42853136029721
2016-08-31,60,0.01,1.0,2409,2888118,28881,2827181,1405383,0.7170335054397583,0.38895758986473083,7521,0.26041342058792977,0.14969845345435004,2888118,0.04933281811892727,0.13645649388871575,0.17772930300197362,2.7660388984825133,3.602658631289201
2016-09-30,60,0.01,1.0,2429,2934270,29342,2840931,1431672,0.6878807544708252,0.3830817639827728,8431,0.28733555994819715,0.1677710783435815,2934270,0.0491907697655635,0.14082202985481562,0.17227864494581147,2.862773453758789,3.5022555200267855
