trade_date,window,min_valid_ratio,required_valid_days,current_universe_count,eligible_stock_count,eligible_stock_ratio,p_over_w,possible_pair_count,dense_matrix_memory_mb_float64,covariance_dimensionally_singular,covariance_rank_upper_bound,minimum_rank_deficiency,eligible_jaccard_vs_previous_day,entered_count,exited_count
2024-07-02,120,0.8,96,5113,5074,0.9923723841189126,42.28333333333333,12870201,196.42239379882812,True,119,4955,1.0,0.0,0.0
2024-07-02,120,0.9,108,5113,5064,0.990416585175044,42.2,12819516,195.64892578125,True,119,4945,0.9994078168180024,1.0,2.0
2024-07-02,120,0.95,114,5113,5041,0.9859182476041463,42.00833333333333,12703320,193.87574005126953,True,119,4922,0.9998016660055533,0.0,1.0
2024-07-03,120,0.8,96,5111,5075,0.9929563686167091,42.291666666666664,12875275,196.49982452392578,True,119,4956,0.9998029556650246,1.0,0.0
2024-07-03,120,0.9,108,5111,5062,0.9904128350616318,42.18333333333333,12809391,195.49441528320312,True,119,4943,0.9996050552922591,0.0,2.0
2024-07-03,120,0.95,114,5111,5040,0.9861083936607318,42.0,12698280,193.798828125,True,119,4921,0.99940499801666,1.0,2.0
2024-07-04,120,0.8,96,5111,5075,0.9929563686167091,42.291666666666664,12875275,196.49982452392578,True,119,4956,1.0,0.0,0.0
2024-07-04,120,0.9,108,5111,5063,0.9906084914889454,42.19166666666667,12814453,195.57166290283203,True,119,4944,0.999802488643097,1.0,0.0
2024-07-04,120,0.95,114,5111,5041,0.9863040500880454,42.00833333333333,12703320,193.87574005126953,True,119,4922,0.99940499801666,2.0,1.0
2024-07-05,120,0.8,96,5111,5075,0.9929563686167091,42.291666666666664,12875275,196.49982452392578,True,119,4956,1.0,0.0,0.0
2024-07-05,120,0.9,108,5111,5064,0.990804147916259,42.2,12819516,195.64892578125,True,119,4945,0.9998025276461295,1.0,0.0
2024-07-05,120,0.95,114,5111,5042,0.986499706515359,42.016666666666666,12708361,193.95266723632812,True,119,4923,0.9994051160023796,2.0,1.0
2024-07-08,120,0.8,96,5111,5075,0.9929563686167091,42.291666666666664,12875275,196.49982452392578,True,119,4956,0.9996059889676912,1.0,1.0
2024-07-08,120,0.9,108,5111,5062,0.9904128350616318,42.18333333333333,12809391,195.49441528320312,True,119,4943,0.9996050552922591,0.0,2.0
2024-07-08,120,0.95,114,5111,5041,0.9863040500880454,42.00833333333333,12703320,193.87574005126953,True,119,4922,0.9998016660055533,0.0,1.0
2024-07-09,120,0.8,96,5111,5077,0.9933476814713363,42.30833333333333,12885426,196.65473175048828,True,119,4958,0.9996060665747488,2.0,0.0
2024-07-09,120,0.9,108,5111,5062,0.9904128350616318,42.18333333333333,12809391,195.49441528320312,True,119,4943,1.0,0.0,0.0
2024-07-09,120,0.95,114,5111,5040,0.9861083936607318,42.0,12698280,193.798828125,True,119,4921,0.9998016266613767,0.0,1.0
2024-07-10,120,0.8,96,5111,5076,0.9931520250440227,42.3,12880350,196.5772705078125,True,119,4957,0.9998030332873744,0.0,1.0
2024-07-10,120,0.9,108,5111,5063,0.9906084914889454,42.19166666666667,12814453,195.57166290283203,True,119,4944,0.9994075829383886,2.0,1.0
2024-07-10,120,0.95,114,5111,5042,0.986499706515359,42.016666666666666,12708361,193.95266723632812,True,119,4923,0.9996033320111067,2.0,0.0
2024-07-11,120,0.8,96,5109,5075,0.9933450773145429,42.291666666666664,12875275,196.49982452392578,True,119,4956,0.9998029944838456,0.0,1.0
2024-07-11,120,0.9,108,5109,5061,0.9906048150322959,42.175,12804330,195.41718292236328,True,119,4942,0.9996049772861939,0.0,2.0
2024-07-11,120,0.95,114,5109,5041,0.9866901546290859,42.00833333333333,12703320,193.87574005126953,True,119,4922,0.9998016660055533,0.0,1.0
2024-07-12,120,0.8,96,5109,5075,0.9933450773145429,42.291666666666664,12875275,196.49982452392578,True,119,4956,1.0,0.0,0.0
2024-07-12,120,0.9,108,5109,5060,0.9904090820121354,42.166666666666664,12799270,195.3399658203125,True,119,4941,0.9998024105907923,0.0,1.0
2024-07-12,120,0.95,114,5109,5042,0.9868858876492465,42.016666666666666,12708361,193.95266723632812,True,119,4923,0.9998016660055533,1.0,0.0
2024-07-15,120,0.8,96,5109,5075,0.9933450773145429,42.291666666666664,12875275,196.49982452392578,True,119,4956,1.0,0.0,0.0
2024-07-15,120,0.9,108,5109,5059,0.990213348991975,42.15833333333333,12794211,195.26276397705078,True,119,4940,0.999802371541502,0.0,1.0
2024-07-15,120,0.95,114,5109,5043,0.987081620669407,42.025,12713403,194.02960968017578,True,119,4924,0.9998017053341265,1.0,0.0
2024-07-16,120,0.8,96,5109,5074,0.9931493442943825,42.28333333333333,12870201,196.42239379882812,True,119,4955,0.9998029556650246,0.0,1.0
2024-07-16,120,0.9,108,5109,5059,0.990213348991975,42.15833333333333,12794211,195.26276397705078,True,119,4940,0.999604743083004,1.0,1.0
2024-07-16,120,0.95,114,5109,5043,0.987081620669407,42.025,12713403,194.02960968017578,True,119,4924,1.0,0.0,0.0
2024-07-17,120,0.8,96,5109,5074,0.9931493442943825,42.28333333333333,12870201,196.42239379882812,True,119,4955,1.0,0.0,0.0
