window_id,window_start,network_date,window_size,step,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,partial_correlation,abs_partial_correlation,selected_threshold_020,abs_partial_rank,density_match_rank,selected_density_matched,glasso_edge_count_target
1,2023-01-04,2024-01-16,252,20,600030,中信证券,非银金融,601288,农业银行,银行,False,0.0483389817738772,0.0483389817738772,False,72,72,False,52
1,2023-01-04,2024-01-16,252,20,000858,五粮液,食品饮料,601398,工商银行,银行,False,0.043961640732445,0.043961640732445,False,73,73,False,52
1,2023-01-04,2024-01-16,252,20,002415,海康威视,电子,600030,中信证券,非银金融,False,0.0435736937495748,0.0435736937495748,False,74,74,False,52
1,2023-01-04,2024-01-16,252,20,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,-0.036766292921199,0.036766292921199,False,75,75,False,52
1,2023-01-04,2024-01-16,252,20,000725,京东方A,电子,600036,招商银行,银行,False,0.0337860723465655,0.0337860723465655,False,76,76,False,52
1,2023-01-04,2024-01-16,252,20,000001,平安银行,银行,002475,立讯精密,电子,False,-0.0332030970138768,0.0332030970138768,False,77,77,False,52
1,2023-01-04,2024-01-16,252,20,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,False,0.032619167751406,0.032619167751406,False,78,78,False,52
1,2023-01-04,2024-01-16,252,20,600036,招商银行,银行,601398,工商银行,银行,True,0.0321986085337334,0.0321986085337334,False,79,79,False,52
1,2023-01-04,2024-01-16,252,20,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,-0.0316284727525946,0.0316284727525946,False,80,80,False,52
1,2023-01-04,2024-01-16,252,20,000568,泸州老窖,食品饮料,600036,招商银行,银行,False,-0.0290333335076407,0.0290333335076407,False,81,81,False,52
1,2023-01-04,2024-01-16,252,20,601318,中国平安,非银金融,603501,韦尔股份,电子,False,0.0287385903548735,0.0287385903548735,False,82,82,False,52
1,2023-01-04,2024-01-16,252,20,002475,立讯精密,电子,601398,工商银行,银行,False,0.0283000528622313,0.0283000528622313,False,83,83,False,52
1,2023-01-04,2024-01-16,252,20,600036,招商银行,银行,600519,贵州茅台,食品饮料,False,0.0249614924776278,0.0249614924776278,False,84,84,False,52
1,2023-01-04,2024-01-16,252,20,002475,立讯精密,电子,600036,招商银行,银行,False,-0.0224279784008675,0.0224279784008675,False,85,85,False,52
1,2023-01-04,2024-01-16,252,20,000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,-0.0206028631563417,0.0206028631563417,False,86,86,False,52
1,2023-01-04,2024-01-16,252,20,600519,贵州茅台,食品饮料,601318,中国平安,非银金融,False,0.0182105230227552,0.0182105230227552,False,87,87,False,52
1,2023-01-04,2024-01-16,252,20,002460,赣锋锂业,新能源,601398,工商银行,银行,False,0.0162384566205106,0.0162384566205106,False,88,88,False,52
1,2023-01-04,2024-01-16,252,20,600887,伊利股份,食品饮料,601398,工商银行,银行,False,-0.0161906094603362,0.0161906094603362,False,89,89,False,52
1,2023-01-04,2024-01-16,252,20,601318,中国平安,非银金融,601398,工商银行,银行,False,-0.015505352119584,0.015505352119584,False,90,90,False,52
1,2023-01-04,2024-01-16,252,20,000001,平安银行,银行,600519,贵州茅台,食品饮料,False,0.0149846308206803,0.0149846308206803,False,91,91,False,52
