design,window_size,step,replacement_ratio,overlap_ratio,window_id,window_start,network_date,edge_count,density,same_edges,cross_edges,same_industry_ratio,mean_abs_partial
same_step,252,20,0.07936507936507936,0.9206349206349207,13,2025-01-15,2026-01-28,39,0.37142857142857144,18,21,0.46153846153846156,0.13562406470370544
same_step,252,20,0.07936507936507936,0.9206349206349207,14,2025-02-20,2026-03-05,44,0.41904761904761906,19,25,0.4318181818181818,0.12193554376190147
same_step,252,20,0.07936507936507936,0.9206349206349207,15,2025-03-20,2026-04-02,43,0.4095238095238095,19,24,0.4418604651162791,0.12634309492416418
same_step,252,20,0.07936507936507936,0.9206349206349207,16,2025-04-18,2026-05-06,40,0.38095238095238093,19,21,0.475,0.12360503368267946
same_step,252,20,0.07936507936507936,0.9206349206349207,17,2025-05-21,2026-06-03,41,0.3904761904761905,18,23,0.43902439024390244,0.11465745564560939
same_step,252,20,0.07936507936507936,0.9206349206349207,18,2025-06-19,2026-07-02,39,0.37142857142857144,18,21,0.46153846153846156,0.12489539657219527
same_step,252,20,0.07936507936507936,0.9206349206349207,19,2025-07-17,2026-07-30,41,0.3904761904761905,19,22,0.4634146341463415,0.12394685041859885
same_step,504,20,0.03968253968253968,0.9603174603174603,1,2023-01-04,2025-02-07,57,0.5428571428571428,18,39,0.3157894736842105,0.10482475872373165
same_step,504,20,0.03968253968253968,0.9603174603174603,2,2023-02-08,2025-03-07,58,0.5523809523809524,19,39,0.3275862068965517,0.10269126260479686
same_step,504,20,0.03968253968253968,0.9603174603174603,3,2023-03-08,2025-04-07,57,0.5428571428571428,19,38,0.3333333333333333,0.10595842795138226
same_step,504,20,0.03968253968253968,0.9603174603174603,4,2023-04-06,2025-05-08,57,0.5428571428571428,19,38,0.3333333333333333,0.1060103291199109
same_step,504,20,0.03968253968253968,0.9603174603174603,5,2023-05-09,2025-06-06,58,0.5523809523809524,19,39,0.3275862068965517,0.10488091477443497
same_step,504,20,0.03968253968253968,0.9603174603174603,6,2023-06-06,2025-07-04,54,0.5142857142857142,19,35,0.35185185185185186,0.11305345834625653
same_step,504,20,0.03968253968253968,0.9603174603174603,7,2023-07-06,2025-08-01,56,0.5333333333333333,19,37,0.3392857142857143,0.10905731559038088
same_step,504,20,0.03968253968253968,0.9603174603174603,8,2023-08-03,2025-08-29,55,0.5238095238095238,19,36,0.34545454545454546,0.1109341595504798
same_step,504,20,0.03968253968253968,0.9603174603174603,9,2023-08-31,2025-09-26,52,0.49523809523809526,19,33,0.36538461538461536,0.11651824781798673
same_step,504,20,0.03968253968253968,0.9603174603174603,10,2023-09-28,2025-11-03,52,0.49523809523809526,19,33,0.36538461538461536,0.1155740259844616
same_step,504,20,0.03968253968253968,0.9603174603174603,11,2023-11-03,2025-12-01,52,0.49523809523809526,19,33,0.36538461538461536,0.11580903966947481
same_step,504,20,0.03968253968253968,0.9603174603174603,12,2023-12-01,2025-12-29,53,0.5047619047619047,19,34,0.3584905660377358,0.11315504978527594
same_step,504,20,0.03968253968253968,0.9603174603174603,13,2023-12-29,2026-01-28,53,0.5047619047619047,19,34,0.3584905660377358,0.11284932044360772
same_step,504,20,0.03968253968253968,0.9603174603174603,14,2024-01-29,2026-03-05,54,0.5142857142857142,19,35,0.35185185185185186,0.11075309503050493
same_step,504,20,0.03968253968253968,0.9603174603174603,15,2024-03-05,2026-04-02,54,0.5142857142857142,19,35,0.35185185185185186,0.11060649607575358
same_step,504,20,0.03968253968253968,0.9603174603174603,16,2024-04-02,2026-05-06,54,0.5142857142857142,19,35,0.35185185185185186,0.11045333505184127
same_step,504,20,0.03968253968253968,0.9603174603174603,17,2024-05-07,2026-06-03,55,0.5238095238095238,19,36,0.34545454545454546,0.10616537124311252
same_step,504,20,0.03968253968253968,0.9603174603174603,18,2024-06-04,2026-07-02,50,0.47619047619047616,19,31,0.38,0.11536549430758639
same_step,504,20,0.03968253968253968,0.9603174603174603,19,2024-07-03,2026-07-30,50,0.47619047619047616,19,31,0.38,0.11507317372819842
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,1,2024-07-29,2025-02-07,59,0.5619047619047619,19,40,0.3220338983050847,0.1129809967086328
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,2,2024-08-12,2025-02-21,59,0.5619047619047619,19,40,0.3220338983050847,0.11127878836971747
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,3,2024-08-26,2025-03-07,59,0.5619047619047619,19,40,0.3220338983050847,0.11068172271583944
