stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,p_GLasso_W126,p_GLasso_W252,p_GLasso_W504,p_Partial_W252,mean_persistence_all_settings,min_persistence_all_settings,max_persistence_all_settings,persistence_range_all_settings,p_GLasso_W126_persistent08,p_GLasso_W252_persistent08,p_GLasso_W504_persistent08,p_Partial_W252_persistent08,n_settings_persistent08,glasso_multiscale_persistent,cross_method_W252_persistent,full_structural_consensus_core,always_in_all_settings,structural_robustness_class
600519,601288,贵州茅台,农业银行,食品饮料,银行,False,0.0,0.0,0.0,0.3870967741935484,0.0967741935483871,0.0,0.3870967741935484,0.3870967741935484,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600036,603501,招商银行,韦尔股份,银行,电子,False,0.1891891891891892,0.0,0.0,0.1935483870967742,0.09568439407149085,0.0,0.1935483870967742,0.1935483870967742,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000568,601288,泸州老窖,农业银行,食品饮料,银行,False,0.0,0.0,0.0,0.3548387096774194,0.08870967741935484,0.0,0.3548387096774194,0.3548387096774194,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600030,601288,中信证券,农业银行,非银金融,银行,False,0.0,0.0,0.0,0.3548387096774194,0.08870967741935484,0.0,0.3548387096774194,0.3548387096774194,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000568,603501,泸州老窖,韦尔股份,食品饮料,电子,False,0.0,0.0526315789473684,0.0,0.2903225806451613,0.08573853989813243,0.0,0.2903225806451613,0.2903225806451613,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600030,601398,中信证券,工商银行,非银金融,银行,False,0.0,0.0,0.0,0.3225806451612903,0.08064516129032258,0.0,0.3225806451612903,0.3225806451612903,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600887,603501,伊利股份,韦尔股份,食品饮料,电子,False,0.0,0.0,0.0,0.2903225806451613,0.07258064516129033,0.0,0.2903225806451613,0.2903225806451613,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000725,600036,京东方A,招商银行,电子,银行,False,0.027027027027027,0.0,0.0,0.2580645161290322,0.0712728857890148,0.0,0.2580645161290322,0.2580645161290322,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002475,601288,立讯精密,农业银行,电子,银行,False,0.027027027027027,0.0,0.0,0.2258064516129032,0.06320836965998256,0.0,0.2258064516129032,0.2258064516129032,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002415,600036,海康威视,招商银行,电子,银行,False,0.054054054054054,0.0,0.0,0.1935483870967742,0.06190061028770705,0.0,0.1935483870967742,0.1935483870967742,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000001,002415,平安银行,海康威视,银行,电子,False,0.0,0.0,0.1,0.1290322580645161,0.057258064516129026,0.0,0.1290322580645161,0.1290322580645161,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000858,603501,五粮液,韦尔股份,食品饮料,电子,False,0.0,0.0,0.0,0.2258064516129032,0.0564516129032258,0.0,0.2258064516129032,0.2258064516129032,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002460,600036,赣锋锂业,招商银行,新能源,银行,False,0.0,0.0,0.0,0.1935483870967742,0.04838709677419355,0.0,0.1935483870967742,0.1935483870967742,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000858,601288,五粮液,农业银行,食品饮料,银行,False,0.0,0.0,0.0,0.1935483870967742,0.04838709677419355,0.0,0.1935483870967742,0.1935483870967742,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002415,601288,海康威视,农业银行,电子,银行,False,0.0,0.0,0.0,0.1935483870967742,0.04838709677419355,0.0,0.1935483870967742,0.1935483870967742,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002475,601398,立讯精密,工商银行,电子,银行,False,0.027027027027027,0.0,0.0,0.1290322580645161,0.039014821272885775,0.0,0.1290322580645161,0.1290322580645161,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000001,002475,平安银行,立讯精密,银行,电子,False,0.081081081081081,0.0526315789473684,0.0,0.0,0.03342816500711235,0.0,0.081081081081081,0.081081081081081,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002415,601398,海康威视,工商银行,电子,银行,False,0.0,0.0,0.0,0.0967741935483871,0.024193548387096774,0.0,0.0967741935483871,0.0967741935483871,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000001,603501,平安银行,韦尔股份,银行,电子,False,0.0,0.0,0.0,0.064516129032258,0.0161290322580645,0.0,0.064516129032258,0.064516129032258,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000858,601398,五粮液,工商银行,食品饮料,银行,False,0.0,0.0,0.0,0.032258064516129,0.00806451612903225,0.0,0.032258064516129,0.032258064516129,False,False,False,False,0,False,False,False,False,Nonpersistent edge
601318,601398,中国平安,工商银行,非银金融,银行,False,0.027027027027027,0.0,0.0,0.0,0.00675675675675675,0.0,0.027027027027027,0.027027027027027,False,False,False,False,0,False,False,False,False,Nonpersistent edge
