window_id,window_start,network_date,window_size,step,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,partial_correlation,abs_partial_correlation,selected_threshold_020,abs_partial_rank
8,2023-08-03,2024-08-15,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8353658711074501,0.8353658711074501,True,1
8,2023-08-03,2024-08-15,252,20,601398,工商银行,银行,000568,泸州老窖,食品饮料,False,-0.21717568973467266,0.21717568973467266,True,11
8,2023-08-03,2024-08-15,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.29348462108188766,0.29348462108188766,True,7
8,2023-08-03,2024-08-15,252,20,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,0.3271560199369029,0.3271560199369029,True,5
8,2023-08-03,2024-08-15,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.5964865464124682,0.5964865464124682,True,2
8,2023-08-03,2024-08-15,252,20,002460,赣锋锂业,新能源,000725,京东方A,电子,False,0.21384291492404223,0.21384291492404223,True,12
8,2023-08-03,2024-08-15,252,20,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,0.20359977976073876,0.20359977976073876,True,13
8,2023-08-03,2024-08-15,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.2518641975229979,0.2518641975229979,True,9
8,2023-08-03,2024-08-15,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.30724635683198454,0.30724635683198454,True,6
8,2023-08-03,2024-08-15,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.26687424308923346,0.26687424308923346,True,8
9,2023-08-31,2024-09-12,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.4409204892738065,0.4409204892738065,True,3
9,2023-08-31,2024-09-12,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.23288479706467302,0.23288479706467302,True,10
9,2023-08-31,2024-09-12,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.3285369024172013,0.3285369024172013,True,4
9,2023-08-31,2024-09-12,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8034586208613937,0.8034586208613937,True,1
9,2023-08-31,2024-09-12,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.3132848405777249,0.3132848405777249,True,6
9,2023-08-31,2024-09-12,252,20,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,0.29691772890638046,0.29691772890638046,True,7
9,2023-08-31,2024-09-12,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6003952656383058,0.6003952656383058,True,2
9,2023-08-31,2024-09-12,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.2364919426796095,0.2364919426796095,True,9
9,2023-08-31,2024-09-12,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.3222533172280201,0.3222533172280201,True,5
9,2023-08-31,2024-09-12,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.2885296131555002,0.2885296131555002,True,8
10,2023-09-28,2024-10-21,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.42244697049585067,0.42244697049585067,True,4
10,2023-09-28,2024-10-21,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.3113522953541193,0.3113522953541193,True,7
10,2023-09-28,2024-10-21,252,20,600036,招商银行,银行,601398,工商银行,银行,True,0.21059728235195796,0.21059728235195796,True,12
10,2023-09-28,2024-10-21,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.33118959447683943,0.33118959447683943,True,5
10,2023-09-28,2024-10-21,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8303453917255151,0.8303453917255151,True,1
10,2023-09-28,2024-10-21,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.42843468352032354,0.42843468352032354,True,3
10,2023-09-28,2024-10-21,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.23192028642766732,0.23192028642766732,True,10
10,2023-09-28,2024-10-21,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.5966485548164393,0.5966485548164393,True,2
10,2023-09-28,2024-10-21,252,20,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,0.229884414773693,0.229884414773693,True,11
10,2023-09-28,2024-10-21,252,20,002460,赣锋锂业,新能源,000725,京东方A,电子,False,0.20483870073036992,0.20483870073036992,True,14
10,2023-09-28,2024-10-21,252,20,002415,海康威视,电子,000725,京东方A,电子,True,0.20329150540927826,0.20329150540927826,True,16
10,2023-09-28,2024-10-21,252,20,002415,海康威视,电子,603501,韦尔股份,电子,True,0.23366646551350606,0.23366646551350606,True,9
10,2023-09-28,2024-10-21,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.2927592607558351,0.2927592607558351,True,8
10,2023-09-28,2024-10-21,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.3138204554830679,0.3138204554830679,True,6
10,2023-09-28,2024-10-21,252,20,603501,韦尔股份,电子,600030,中信证券,非银金融,False,0.21043808280900916,0.21043808280900916,True,13
10,2023-09-28,2024-10-21,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.2036352698087249,0.2036352698087249,True,15
11,2023-11-03,2024-11-18,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.4169857111979961,0.4169857111979961,True,4
11,2023-11-03,2024-11-18,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.29800736872184774,0.29800736872184774,True,7
11,2023-11-03,2024-11-18,252,20,600036,招商银行,银行,601398,工商银行,银行,True,0.2176659512480816,0.2176659512480816,True,13
11,2023-11-03,2024-11-18,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.3478794474434795,0.3478794474434795,True,5
11,2023-11-03,2024-11-18,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8366216421008756,0.8366216421008756,True,1
11,2023-11-03,2024-11-18,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.4341744335618159,0.4341744335618159,True,3
11,2023-11-03,2024-11-18,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.28397493346975256,0.28397493346975256,True,8
11,2023-11-03,2024-11-18,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.617383049914197,0.617383049914197,True,2
11,2023-11-03,2024-11-18,252,20,002415,海康威视,电子,603501,韦尔股份,电子,True,0.26688642529305223,0.26688642529305223,True,10
11,2023-11-03,2024-11-18,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.27846851856400884,0.27846851856400884,True,9
11,2023-11-03,2024-11-18,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.3147140516562923,0.3147140516562923,True,6
11,2023-11-03,2024-11-18,252,20,603501,韦尔股份,电子,600030,中信证券,非银金融,False,0.2658099823129845,0.2658099823129845,True,11
11,2023-11-03,2024-11-18,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.23131181172627527,0.23131181172627527,True,12
12,2023-12-01,2024-12-16,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.42896587254967744,0.42896587254967744,True,4
12,2023-12-01,2024-12-16,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.2835503386657769,0.2835503386657769,True,7
12,2023-12-01,2024-12-16,252,20,600036,招商银行,银行,601398,工商银行,银行,True,0.20128891411750163,0.20128891411750163,True,14
12,2023-12-01,2024-12-16,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.34343687599359307,0.34343687599359307,True,5
12,2023-12-01,2024-12-16,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8348284809563492,0.8348284809563492,True,1
12,2023-12-01,2024-12-16,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.444627751780194,0.444627751780194,True,3
12,2023-12-01,2024-12-16,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.2778785221985158,0.2778785221985158,True,8
12,2023-12-01,2024-12-16,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6268620806278077,0.6268620806278077,True,2
12,2023-12-01,2024-12-16,252,20,002415,海康威视,电子,000725,京东方A,电子,True,0.20527470366526565,0.20527470366526565,True,13
12,2023-12-01,2024-12-16,252,20,002415,海康威视,电子,603501,韦尔股份,电子,True,0.27555885513957773,0.27555885513957773,True,10
12,2023-12-01,2024-12-16,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.27521182836459007,0.27521182836459007,True,11
12,2023-12-01,2024-12-16,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.31737163876128166,0.31737163876128166,True,6
12,2023-12-01,2024-12-16,252,20,603501,韦尔股份,电子,600030,中信证券,非银金融,False,0.2763676954108188,0.2763676954108188,True,9
12,2023-12-01,2024-12-16,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.23225369549036148,0.23225369549036148,True,12
13,2023-12-29,2025-01-14,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.3980988760515518,0.3980988760515518,True,4
13,2023-12-29,2025-01-14,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.2945724511392852,0.2945724511392852,True,9
13,2023-12-29,2025-01-14,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.3639626687516271,0.3639626687516271,True,5
13,2023-12-29,2025-01-14,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8281139097023137,0.8281139097023137,True,1
13,2023-12-29,2025-01-14,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.4565696767762151,0.4565696767762151,True,3
13,2023-12-29,2025-01-14,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.2909893159050186,0.2909893159050186,True,10
13,2023-12-29,2025-01-14,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6341447191482922,0.6341447191482922,True,2
13,2023-12-29,2025-01-14,252,20,002415,海康威视,电子,000725,京东方A,电子,True,0.24773183436251156,0.24773183436251156,True,13
13,2023-12-29,2025-01-14,252,20,002415,海康威视,电子,603501,韦尔股份,电子,True,0.29954059815451395,0.29954059815451395,True,8
13,2023-12-29,2025-01-14,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.259789358824819,0.259789358824819,True,12
13,2023-12-29,2025-01-14,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.3010033627812405,0.3010033627812405,True,7
13,2023-12-29,2025-01-14,252,20,603501,韦尔股份,电子,600030,中信证券,非银金融,False,0.30111701592982665,0.30111701592982665,True,6
13,2023-12-29,2025-01-14,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.26213040980397356,0.26213040980397356,True,11
14,2024-01-29,2025-02-19,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.39965905908261407,0.39965905908261407,True,4
14,2024-01-29,2025-02-19,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.29876251933195414,0.29876251933195414,True,7
14,2024-01-29,2025-02-19,252,20,600036,招商银行,银行,601398,工商银行,银行,True,0.21456696847030984,0.21456696847030984,True,14
14,2024-01-29,2025-02-19,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.3337617709246006,0.3337617709246006,True,5
14,2024-01-29,2025-02-19,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8263814665784219,0.8263814665784219,True,1
14,2024-01-29,2025-02-19,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.4825353556246741,0.4825353556246741,True,3
14,2024-01-29,2025-02-19,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.27829312022234587,0.27829312022234587,True,10
14,2024-01-29,2025-02-19,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6302250302969319,0.6302250302969319,True,2
14,2024-01-29,2025-02-19,252,20,002415,海康威视,电子,000725,京东方A,电子,True,0.25152092167681894,0.25152092167681894,True,12
14,2024-01-29,2025-02-19,252,20,002415,海康威视,电子,603501,韦尔股份,电子,True,0.2808883204514497,0.2808883204514497,True,9
14,2024-01-29,2025-02-19,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.22748057280965217,0.22748057280965217,True,13
14,2024-01-29,2025-02-19,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.29923269156476345,0.29923269156476345,True,6
14,2024-01-29,2025-02-19,252,20,603501,韦尔股份,电子,600030,中信证券,非银金融,False,0.2755410453700473,0.2755410453700473,True,11
14,2024-01-29,2025-02-19,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.28765431509451767,0.28765431509451767,True,8
15,2024-03-05,2025-03-19,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.3325190999373618,0.3325190999373618,True,5
15,2024-03-05,2025-03-19,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.3645032365815069,0.3645032365815069,True,4
15,2024-03-05,2025-03-19,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.3152089707049436,0.3152089707049436,True,6
15,2024-03-05,2025-03-19,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8162711715781991,0.8162711715781991,True,1
15,2024-03-05,2025-03-19,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.49055837982170375,0.49055837982170375,True,3
15,2024-03-05,2025-03-19,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.28628934880003176,0.28628934880003176,True,11
15,2024-03-05,2025-03-19,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6185855034481244,0.6185855034481244,True,2
15,2024-03-05,2025-03-19,252,20,002415,海康威视,电子,000725,京东方A,电子,True,0.22490553121087556,0.22490553121087556,True,12
15,2024-03-05,2025-03-19,252,20,002415,海康威视,电子,603501,韦尔股份,电子,True,0.30031294825076965,0.30031294825076965,True,9
15,2024-03-05,2025-03-19,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.21653694505589066,0.21653694505589066,True,13
15,2024-03-05,2025-03-19,252,20,000725,京东方A,电子,002475,立讯精密,电子,True,0.20342543812631572,0.20342543812631572,True,14
15,2024-03-05,2025-03-19,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.3032398309720189,0.3032398309720189,True,8
15,2024-03-05,2025-03-19,252,20,603501,韦尔股份,电子,600030,中信证券,非银金融,False,0.29693860192754407,0.29693860192754407,True,10
15,2024-03-05,2025-03-19,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.30600203551816163,0.30600203551816163,True,7
16,2024-04-02,2025-04-17,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.3085387879399748,0.3085387879399748,True,7
16,2024-04-02,2025-04-17,252,20,000001,平安银行,银行,000725,京东方A,电子,False,0.23344964614781435,0.23344964614781435,True,13
16,2024-04-02,2025-04-17,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.37936981836805206,0.37936981836805206,True,4
16,2024-04-02,2025-04-17,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.28822978878536326,0.28822978878536326,True,9
16,2024-04-02,2025-04-17,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.7957611420871136,0.7957611420871136,True,1
16,2024-04-02,2025-04-17,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.5117865429344243,0.5117865429344243,True,3
16,2024-04-02,2025-04-17,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.24370159189678178,0.24370159189678178,True,12
16,2024-04-02,2025-04-17,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.576458754180762,0.576458754180762,True,2
