factor_order,factor_name,neutralization,window,month_count,mean_q1_return,mean_q5_return,mean_q5_minus_q1,mean_q5_minus_q1_bps,positive_spread_share,negative_spread_share,mean_portfolio_spearman,hac_lag,hac_spread_se,hac_spread_t_stat
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,60,136,-0.0020623630253162138,-0.0013990411190661282,0.0006633219062500852,6.633219062500852,0.5220588235294118,0.47794117647058826,0.03823529411764706,4,0.0012557920811779146,0.5282099769476958
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,120,133,-0.0008195625919630203,-0.0014826796004638362,-0.0006631170085008158,-6.631170085008158,0.48120300751879697,0.518796992481203,0.012030075187969922,4,0.0011828666562724967,-0.5606016578322195
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,252,127,0.00040305379479237146,-0.0023801866565556352,-0.0027832404513480056,-27.832404513480057,0.4330708661417323,0.5669291338582677,-0.07559055118110236,4,0.0010622652743045705,-2.6200992526749967
4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,60,136,-0.0018563908761387157,-0.0024582455496963396,-0.0006018546735576245,-6.018546735576245,0.4852941176470588,0.5147058823529411,-0.02352941176470589,4,0.0009833184583244467,-0.6120648590113642
4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,120,133,-0.0008430612100005573,-0.001784000649775968,-0.000940939439775411,-9.40939439775411,0.48872180451127817,0.5112781954887218,0.01654135338345863,4,0.0010374339900095482,-0.9069872867446254
4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,252,127,0.00013334927003362106,-0.0020909748519592325,-0.002224324121992853,-22.24324121992853,0.48031496062992124,0.5196850393700787,-0.03385826771653544,4,0.000981020076224881,-2.267358411820073
4,cross_industry_degree_ratio,RAW,60,79,-0.0007731033422919404,0.00041315111286094244,0.0011862544551528818,11.862544551528819,0.5569620253164557,0.4430379746835443,0.05696202531645571,3,0.0025508382642183474,0.4650449508277176
4,cross_industry_degree_ratio,RAW,120,80,-0.0006739523511454114,0.0008695563351981978,0.0015435086863436094,15.435086863436094,0.55,0.45,0.06124999999999997,3,0.002318638902277184,0.6656960188271218
4,cross_industry_degree_ratio,RAW,252,75,0.0015875340942510755,0.00014800670006026348,-0.0014395273941908116,-14.395273941908115,0.49333333333333335,0.5066666666666667,0.006666666666666674,3,0.002172808427584047,-0.6625192427992498
5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,60,135,-0.0025148767626443206,-0.0005532301932001609,0.0019616465694441603,19.616465694441604,0.5703703703703704,0.42962962962962964,0.07333333333333333,4,0.0010706312748279764,1.8322335761762123
5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,120,132,-0.0017198687827190721,-0.0010319244902203262,0.0006879442924987456,6.8794429249874565,0.5378787878787878,0.4621212121212121,0.023484848484848476,4,0.0009282499407279414,0.7411196729614159
5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,252,126,-0.0014282837025086776,-0.001004189995560095,0.0004240937069485826,4.240937069485826,0.5634920634920635,0.4365079365079365,0.061904761904761886,4,0.0010265334778644893,0.41313188132045153
