factor_order,factor_name,neutralization,target_name,window,month_count,mean_risk_ic,median_risk_ic,positive_ic_share,negative_ic_share,hac_lag,hac_risk_ic_se,hac_risk_ic_t_stat
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,252,127,0.15485783836581235,0.15442208736087293,0.9921259842519685,0.007874015748031496,4,0.00969078324328458,15.97990941270141
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,60,136,0.09930055735183013,0.10186001324604554,0.9338235294117647,0.0661764705882353,4,0.00723296144726118,13.728893493470935
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,120,133,0.10785244628546733,0.10401166110245778,0.9398496240601504,0.06015037593984962,4,0.008827003211942625,12.218466867616721
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,252,127,0.11588775440117235,0.11027218615616263,0.9606299212598425,0.03937007874015748,4,0.009892945264075716,11.714181298667034
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,60,136,0.10026289438292724,0.0977943098306005,0.9338235294117647,0.0661764705882353,4,0.009519638418047337,10.53221666411707
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,120,133,0.11250200450632256,0.10959887824224561,0.924812030075188,0.07518796992481203,4,0.010913357376321224,10.308652106492803
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,252,127,0.12071044925281336,0.11293541520768714,0.952755905511811,0.047244094488188976,4,0.01230239180572252,9.811949672799747
2,delta_degree_percentile,RAW,future_downside_vol_annualized,60,136,0.040120884823956766,0.043711496028982826,0.6691176470588235,0.33088235294117646,4,0.015835620798779444,2.5335845896896667
2,delta_degree_percentile,RAW,future_downside_vol_annualized,120,133,0.03714379137681538,0.03448518879143677,0.6240601503759399,0.37593984962406013,4,0.01940490830076778,1.9141441330771831
2,delta_degree_percentile,RAW,future_downside_vol_annualized,252,127,0.03282619255042859,0.042204224644841526,0.5748031496062992,0.4251968503937008,4,0.023010389008730862,1.426581381912896
2,delta_degree_percentile,RAW,future_idio_vol_annualized,60,136,0.12279187777181079,0.12626877692814337,0.9191176470588235,0.08088235294117647,4,0.010306786178810737,11.913692167617986
2,delta_degree_percentile,RAW,future_idio_vol_annualized,120,133,0.13277004709111898,0.13910712809479156,0.9097744360902256,0.09022556390977443,4,0.012512104831816077,10.611327900123419
2,delta_degree_percentile,RAW,future_idio_vol_annualized,252,127,0.1424177529126001,0.15000603001000817,0.9448818897637795,0.05511811023622047,4,0.013924501445212609,10.22785293053094
2,delta_degree_percentile,RAW,future_max_drawdown,60,136,0.04690166247735634,0.057361001826288796,0.7132352941176471,0.2867647058823529,4,0.013149566244288076,3.5667839992615376
2,delta_degree_percentile,RAW,future_max_drawdown,120,133,0.0470297804290213,0.05629612371961179,0.6842105263157895,0.3157894736842105,4,0.01560577556489878,3.0136137889104866
2,delta_degree_percentile,RAW,future_max_drawdown,252,127,0.04508919809775537,0.043179607102791735,0.6614173228346457,0.33858267716535434,4,0.017726002972882744,2.543675422300948
2,delta_degree_percentile,RAW,future_realized_vol_annualized,60,136,0.027166208875659403,0.029759273242954454,0.625,0.375,4,0.016661999492669985,1.6304291023181505
2,delta_degree_percentile,RAW,future_realized_vol_annualized,120,133,0.02939122274286175,0.0391590690796473,0.5864661654135338,0.41353383458646614,4,0.019749654138501917,1.488189237985875
2,delta_degree_percentile,RAW,future_realized_vol_annualized,252,127,0.029595012611525705,0.03427245071566931,0.6062992125984252,0.3937007874015748,4,0.023196880377332696,1.2758186501856117
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,60,136,-0.07742776635482536,-0.09230467997117658,0.17647058823529413,0.8235294117647058,4,0.014691652504290881,-5.2701877023167825
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,120,133,-0.07868785569229995,-0.0899042073695861,0.18045112781954886,0.8195488721804511,4,0.015508725868070616,-5.073779520102461
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,252,127,-0.07369964068979011,-0.06566273833845981,0.2204724409448819,0.7795275590551181,4,0.015716276831888244,-4.689382954890049
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,60,136,-0.10530434724382197,-0.11101846294362244,0.08088235294117647,0.9191176470588235,4,0.009340458916100273,-11.27400143715717
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,120,133,-0.09027596200388759,-0.08835074398416386,0.09774436090225563,0.9022556390977443,4,0.00998596745804541,-9.04028201405311
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,252,127,-0.06499947776986634,-0.061131360219478945,0.14173228346456693,0.8582677165354331,4,0.010321100720069573,-6.297727299906456
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,60,136,-0.06977010324915411,-0.07739313379496479,0.19852941176470587,0.8014705882352942,4,0.01222717060017774,-5.706152758524519
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,120,133,-0.06900919582911752,-0.07071112614735205,0.20300751879699247,0.7969924812030075,4,0.012038888320403441,-5.732190048823787
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,252,127,-0.06555707349916964,-0.06382743612443662,0.14960629921259844,0.8503937007874016,4,0.012073370440188422,-5.4298900066008855
