factor_order,factor_name,neutralization,window,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_ic_share,negative_ic_share,hac_lag,hac_alpha_ic_se,hac_alpha_ic_t_stat
2,delta_degree_percentile,INDUSTRY_NEUTRAL,120,133,-0.04506325973096158,-0.04109378497020668,0.08077420377816472,0.3157894736842105,0.6842105263157895,4,0.007640159507497966,-5.898209283030937
2,delta_degree_percentile,INDUSTRY_NEUTRAL,252,127,-0.03994930127152607,-0.04134381429743095,0.0898401142275462,0.3464566929133858,0.6535433070866141,4,0.00848417125091024,-4.708686339545544
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,-0.03998431936279571,-0.03882530868818542,0.04240198965505583,0.19852941176470587,0.8014705882352942,4,0.0035041733416109506,-11.410485573871178
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,-0.03486298478356559,-0.03579405959265813,0.04707022690394448,0.2706766917293233,0.7293233082706767,4,0.0037358367385316423,-9.332041848613642
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,-0.03233989826791831,-0.034782217115566026,0.05007755359693982,0.28346456692913385,0.7165354330708661,4,0.004474103676363163,-7.2282406951745575
2,delta_degree_percentile,RAW,60,136,-0.050774935346823605,-0.04831080004740829,0.09558833680809757,0.3088235294117647,0.6911764705882353,4,0.007863647394631355,-6.456919136721277
2,delta_degree_percentile,RAW,120,133,-0.04611501590539222,-0.0415901421717275,0.1076973491127191,0.3157894736842105,0.6842105263157895,4,0.009005386472659797,-5.1208258574350625
2,delta_degree_percentile,RAW,252,127,-0.03893824295874862,-0.03456785051195494,0.11775012312094722,0.3858267716535433,0.6141732283464567,4,0.009948768398785952,-3.913875707821307
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,60,136,0.0055346790874906135,0.005305224017979837,0.07033534357367989,0.5514705882352942,0.4485294117647059,4,0.006510132356340611,0.8501638345493937
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,120,133,0.003337684630832363,0.009384608181141917,0.07085886164050499,0.556390977443609,0.44360902255639095,4,0.0055727595145528535,0.5989285240312711
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,252,127,0.004486283243460468,0.00881044368121921,0.06963039611915926,0.5590551181102362,0.4409448818897638,4,0.0056623183433722165,0.7923050191467411
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,0.010895633136833872,0.01368885067483237,0.06449334174137016,0.5808823529411765,0.41911764705882354,4,0.00610669860088059,1.7842100697851233
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,0.012252619080596295,0.012368418076784503,0.0627820556794157,0.5939849624060151,0.40601503759398494,4,0.005407253823872124,2.2659596681966407
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,0.013558925727669254,0.013186546812563144,0.05796321428906166,0.5984251968503937,0.4015748031496063,4,0.005497069729971706,2.466573355208111
3,cross_industry_degree_percentile,RAW,60,136,0.0061896598163306265,0.005858508730281821,0.10125315038922547,0.5147058823529411,0.4852941176470588,4,0.008331520306886183,0.7429208101689121
3,cross_industry_degree_percentile,RAW,120,133,0.002819980567671584,0.011364178695127632,0.10232680482201079,0.5413533834586466,0.45864661654135336,4,0.007852527652322054,0.35911755966089387
3,cross_industry_degree_percentile,RAW,252,127,0.003833424221134586,0.009646586631096327,0.10091046568298867,0.5433070866141733,0.4566929133858268,4,0.007774370299974264,0.4930848510196737
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,60,136,0.0029083281075593824,0.00017046771398487545,0.048165734517331624,0.5,0.5,4,0.0039366553958310015,0.7387814820264332
