analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,risk_rank_ic,ic_status
2015-04-30,60,9,outside_community_degree_percentile,RAW,future_max_drawdown,1993,0.1451617864431472,PASS
2015-04-30,60,9,outside_community_degree_percentile,RAW,future_idio_vol_annualized,1993,-0.23329535913181376,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,1993,-0.10865168973731525,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,1993,0.061478208706435576,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,1993,0.08543843619214334,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1993,-0.17461382339937265,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1993,-0.09456755343474162,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1993,0.044831121617543004,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1993,0.06976648833449056,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,1993,-0.15965274077700276,PASS
2015-05-29,60,1,residual_degree_percentile,RAW,future_realized_vol_annualized,1914,-0.07366331279745053,PASS
2015-05-29,60,1,residual_degree_percentile,RAW,future_downside_vol_annualized,1914,-0.1293479332183156,PASS
2015-05-29,60,1,residual_degree_percentile,RAW,future_max_drawdown,1914,-0.15029668226577694,PASS
2015-05-29,60,1,residual_degree_percentile,RAW,future_idio_vol_annualized,1914,-0.02376639020462924,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,1914,-0.03902852648838454,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,1914,-0.08327557474245052,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,1914,-0.10851782078372486,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1914,-0.01638210567260714,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1914,-0.004714207403868668,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1914,-0.05450623247198418,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1914,-0.09130895646155335,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,1914,-0.005225090707851239,PASS
2015-05-29,60,2,delta_degree_percentile,RAW,future_realized_vol_annualized,1914,-0.012266576510104817,PASS
2015-05-29,60,2,delta_degree_percentile,RAW,future_downside_vol_annualized,1914,0.026485090285674178,PASS
2015-05-29,60,2,delta_degree_percentile,RAW,future_max_drawdown,1914,0.006980843549944474,PASS
2015-05-29,60,2,delta_degree_percentile,RAW,future_idio_vol_annualized,1914,0.17704925302103955,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,1914,0.0025928921071812615,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,1914,0.053146711269274845,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,1914,0.03023297898520076,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1914,0.18462904916232994,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1914,0.041146190673264055,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1914,0.08904577067527164,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1914,0.05372102094224094,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,1914,0.20113041754894365,PASS
2015-05-29,60,3,cross_industry_degree_percentile,RAW,future_realized_vol_annualized,1914,-0.0658698782143,PASS
