stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,industry_relation,persistence_before,core_before,always_before,mean_abs_partial_before,persistence_after,core_after,always_after,mean_abs_partial_after,delta_persistence,abs_delta_persistence,core_transition,regime_before,regime_after
601288,603501,农业银行,韦尔股份,银行,电子,False,Cross industry,0.0,False,False,,0.6,False,False,0.005164820214519946,0.6,0.6,Non-core both,1,2
601318,601398,中国平安,工商银行,非银金融,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
601318,603501,中国平安,韦尔股份,非银金融,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
601398,603501,工商银行,韦尔股份,银行,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
000001,000568,平安银行,泸州老窖,银行,食品饮料,False,Cross industry,1.0,True,True,0.04260841977224478,1.0,True,True,0.05483079265855316,0.0,0.0,Persistent core,2,3
000001,000725,平安银行,京东方A,银行,电子,False,Cross industry,0.8,True,False,0.052247420712052434,1.0,True,True,0.08788513288428491,0.19999999999999996,0.19999999999999996,Persistent core,2,3
000001,000858,平安银行,五粮液,银行,食品饮料,False,Cross industry,1.0,True,True,0.07235079853733636,1.0,True,True,0.02814420807194849,0.0,0.0,Persistent core,2,3
000001,002415,平安银行,海康威视,银行,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,2,3
000001,002460,平安银行,赣锋锂业,银行,新能源,False,Cross industry,0.2,False,False,0.001477287213686,0.0,False,False,,-0.2,0.2,Non-core both,2,3
000001,002475,平安银行,立讯精密,银行,电子,False,Cross industry,0.0,False,False,,0.1,False,False,0.0049991365290081,0.1,0.1,Non-core both,2,3
000001,600030,平安银行,中信证券,银行,非银金融,False,Cross industry,0.4,False,False,0.02529315469899555,0.0,False,False,,-0.4,0.4,Non-core both,2,3
000001,600036,平安银行,招商银行,银行,银行,True,Same industry,1.0,True,True,0.38230992773431605,1.0,True,True,0.32830270593746463,0.0,0.0,Persistent core,2,3
000001,600519,平安银行,贵州茅台,银行,食品饮料,False,Cross industry,0.0,False,False,,0.1,False,False,0.0097561858955235,0.1,0.1,Non-core both,2,3
000001,600887,平安银行,伊利股份,银行,食品饮料,False,Cross industry,1.0,True,True,0.04210103394520394,1.0,True,True,0.04672186798153871,0.0,0.0,Persistent core,2,3
000001,601288,平安银行,农业银行,银行,银行,True,Same industry,0.0,False,False,,1.0,True,True,0.03472525662451857,1.0,1.0,Gained core,2,3
000001,601318,平安银行,中国平安,银行,非银金融,False,Cross industry,1.0,True,True,0.24129506107634652,1.0,True,True,0.28561821247370955,0.0,0.0,Persistent core,2,3
000001,601398,平安银行,工商银行,银行,银行,True,Same industry,1.0,True,True,0.02777012192802756,1.0,True,True,0.03661981850654981,0.0,0.0,Persistent core,2,3
000001,603501,平安银行,韦尔股份,银行,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,2,3
