regime,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,industry_relation,n_regime_windows,windows_selected,persistence,is_core_edge,is_always_edge,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected
2,000725,京东方A,电子,600887,伊利股份,食品饮料,False,Cross industry,5,4,0.8,True,False,0.0358023668295342,0.0358023668295342,0.0609019786869045
2,000725,京东方A,电子,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,000725,京东方A,电子,601318,中国平安,非银金融,False,Cross industry,5,5,1.0,True,True,0.03616527970341342,0.03616527970341342,0.0539607585516638
2,000725,京东方A,电子,601398,工商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,000725,京东方A,电子,603501,韦尔股份,电子,True,Same industry,5,5,1.0,True,True,0.09108627737839091,0.09108627737839091,0.1234946817302167
2,000858,五粮液,食品饮料,002415,海康威视,电子,False,Cross industry,5,5,1.0,True,True,0.022309278725555277,0.022309278725555277,0.0461553616542383
2,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,Cross industry,5,5,1.0,True,True,0.06234181654202111,0.06234181654202111,0.0988713524380141
2,000858,五粮液,食品饮料,002475,立讯精密,电子,False,Cross industry,5,5,1.0,True,True,0.038122060170626415,0.038122060170626415,0.0546961139922114
2,000858,五粮液,食品饮料,600030,中信证券,非银金融,False,Cross industry,5,4,0.8,True,False,0.035124080151283196,0.035124080151283196,0.0409051935773734
2,000858,五粮液,食品饮料,600036,招商银行,银行,False,Cross industry,5,2,0.4,False,False,0.0295044015327492,0.0295044015327492,0.043727843856525
2,000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,True,Same industry,5,5,1.0,True,True,0.2982014963342293,0.2982014963342293,0.3138095169819398
2,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,Same industry,5,5,1.0,True,True,0.1605260821607381,0.1605260821607381,0.1974851524252005
2,000858,五粮液,食品饮料,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,Cross industry,5,5,1.0,True,True,0.05869975435120508,0.05869975435120508,0.0693016970791475
2,000858,五粮液,食品饮料,601398,工商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,Cross industry,5,0,0.0,False,False,,,
