window_id,window_start,network_date,edge_count,density,mean_abs_partial,median_abs_partial,total_abs_partial,same_edges,cross_edges,same_industry_ratio,cross_industry_ratio,mean_abs_partial_same,mean_abs_partial_cross,positive_edges,negative_edges,edge_count_change,common_edges,lost_edges,gained_edges,gross_edge_changes,jaccard,turnover,lost_same,gained_same,lost_cross,gained_cross,same_edge_changes,cross_edge_changes,cross_change_share,edge_count_z,density_z,mean_abs_partial_z,same_edges_z,cross_edges_z,same_industry_ratio_z,turnover_z,gross_edge_changes_z,high_turnover_z1,high_turnover_z1_5,high_gross_change_z1
21,2024-08-28,2025-09-10,54,0.5142857142857142,0.11760389675646446,0.07286258888252686,6.350610424849081,19,35,0.35185185185185186,0.6481481481481481,0.20017978906145906,0.07277698379089596,54,0,-1.0,54.0,1.0,0.0,1.0,0.9818181818181818,0.018181818181818188,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6197191069432861,0.6197191069432842,0.2444443586071137,0.8058277956631562,0.49675360108863603,-0.3480911832559175,-1.4277003444920315,-1.354228733984536,False,False,False
22,2024-09-27,2025-10-16,54,0.5142857142857142,0.11529591985095282,0.070258724590038,6.225979671951452,19,35,0.35185185185185186,0.6481481481481481,0.19980911158754028,0.0694173300510911,53,1,0.0,51.0,3.0,3.0,6.0,0.8947368421052632,0.10526315789473684,0.0,0.0,3.0,3.0,0.0,6.0,1.0,0.6197191069432861,0.6197191069432842,-0.034584536492619326,0.8058277956631562,0.49675360108863603,-0.3480911832559175,0.10226383054674745,0.23275806365359214,False,False,False
23,2024-11-01,2025-11-13,44,0.41904761904761906,0.13105639823026427,0.1045287160386324,5.766481522131628,18,26,0.4090909090909091,0.5909090909090909,0.21651586998546188,0.071892148553589,44,0,-10.0,44.0,10.0,0.0,10.0,0.8148148148148148,0.18518518518518523,1.0,0.0,9.0,0.0,1.0,9.0,0.9,-1.1427847751889957,-1.142784775188997,1.8708196544767968,-0.5089438709451506,-1.0431825622861342,0.782316453608695,1.5064434051142888,1.5023475017640946,True,True,True
24,2024-11-29,2025-12-11,42,0.4,0.13305055897409815,0.09612314775830555,5.588123476912123,19,23,0.4523809523809524,0.5476190476190477,0.20345784211812018,0.07488802072468866,42,0,-2.0,40.0,4.0,2.0,6.0,0.8695652173913043,0.13043478260869568,0.0,1.0,4.0,1.0,1.0,5.0,0.8333333333333334,-1.4952855516154522,-1.495285551615453,2.11190892520322,0.8058277956631562,-1.556494616744391,1.6372465991365523,0.5445133890266627,0.23275806365359214,False,False,False
25,2024-12-27,2026-01-12,42,0.4,0.12990262490227825,0.0883235856268015,5.455910245895686,19,23,0.4523809523809524,0.5476190476190477,0.20055476693562474,0.07153781191820936,42,0,0.0,40.0,2.0,2.0,4.0,0.9090909090909091,0.09090909090909094,0.0,0.0,2.0,2.0,0.0,4.0,1.0,-1.4952855516154522,-1.495285551615453,1.731331214997757,0.8058277956631562,-1.556494616744391,1.6372465991365523,-0.14992806643766607,-0.40203665540165906,False,False,False
26,2025-01-27,2026-02-09,40,0.38095238095238093,0.13160719054452635,0.08651670649916124,5.264287621781054,18,22,0.45,0.55,0.20634564543506115,0.07045754563408875,40,0,-2.0,38.0,4.0,2.0,6.0,0.8636363636363636,0.13636363636363635,1.0,0.0,3.0,2.0,1.0,5.0,0.8333333333333334,-1.8477863280419085,-1.8477863280419105,1.9374091296621665,-0.5089438709451506,-1.7275986348971433,1.5902254411325205,0.6486796073463114,0.23275806365359214,False,False,False
27,2025-03-04,2026-03-17,44,0.41904761904761906,0.12196820294114859,0.0784135664232744,5.366600929410538,19,25,0.4318181818181818,0.5681818181818182,0.19703900912976852,0.06491439023779749,43,1,4.0,39.0,1.0,5.0,6.0,0.8666666666666667,0.1333333333333333,0.0,1.0,1.0,4.0,1.0,5.0,0.8333333333333334,-1.1427847751889957,-1.142784775188997,0.7720785518614799,0.8058277956631562,-1.2142865804388865,1.23115478001082,0.5954390957607125,0.23275806365359214,False,False,False
28,2025-04-01,2026-04-15,45,0.42857142857142855,0.12138222544507327,0.0755721360829693,5.462200145028297,19,26,0.4222222222222222,0.5777777777777777,0.19982783600504295,0.06405658695894162,44,1,1.0,42.0,2.0,3.0,5.0,0.8936170212765957,0.1063829787234043,0.0,0.0,2.0,3.0,0.0,5.0,1.0,-0.9665343869757675,-0.9665343869757693,0.7012352722373458,0.8058277956631562,-1.0431825622861342,1.0416452644188114,0.12193837570156074,-0.08463929587403347,False,False,False
29,2025-04-30,2026-05-18,42,0.4,0.1180814569252365,0.06404548390339546,4.959421190859933,19,23,0.4523809523809524,0.5476190476190477,0.18681622500319559,0.06130056155648769,40,2,-3.0,39.0,6.0,3.0,9.0,0.8125,0.1875,0.0,0.0,6.0,3.0,0.0,9.0,1.0,-1.4952855516154522,-1.495285551615453,0.302180242323231,0.8058277956631562,-1.556494616744391,1.6372465991365523,1.547113240353287,1.184950142236469,True,True,True
30,2025-06-03,2026-06-15,41,0.3904761904761905,0.11543382544381643,0.0707910245053045,4.7327868431964735,19,22,0.4634146341463415,0.5365853658536586,0.18303641123470504,0.05704977407895804,38,3,-1.0,39.0,3.0,2.0,5.0,0.8863636363636364,0.11363636363636365,0.0,0.0,3.0,2.0,0.0,5.0,1.0,-1.6715359398286804,-1.6715359398286818,-0.01791207971330105,0.8058277956631562,-1.7275986348971433,1.8551495264723117,0.24937577045432263,-0.08463929587403347,False,False,False
31,2025-07-01,2026-07-14,40,0.38095238095238093,0.12387717878519182,0.08857567716288015,4.955087151407673,18,22,0.45,0.55,0.2009944446113374,0.06078123401834545,36,4,-1.0,39.0,2.0,1.0,3.0,0.9285714285714286,0.0714285714285714,1.0,0.0,1.0,1.0,1.0,2.0,0.6666666666666666,-1.8477863280419085,-1.8477863280419105,1.0028691716737614,-0.5089438709451506,-1.7275986348971433,1.5902254411325205,-0.49218849805937204,-0.7194340149292847,False,False,False
