network_date,regime,stock_code,stock_name,industry,degree,strength,same_degree,cross_degree,same_strength,cross_strength,degree_rank,strength_rank,degree_top5,strength_top5
2024-09-12,2,600519,贵州茅台,食品饮料,6,0.7893038942677147,3,3,0.6673945546725869,0.1219093395951277,11.0,7.0,False,False
2024-09-12,2,600887,伊利股份,食品饮料,7,0.5408686544932828,3,4,0.3232301890340177,0.21763846545926518,9.5,14.0,False,False
2024-09-12,2,601288,农业银行,银行,3,0.7251288883313016,1,2,0.6420482323891006,0.08308065594220104,15.0,10.0,False,False
2024-09-12,2,601318,中国平安,非银金融,8,0.9711720429048942,1,7,0.1956073329575754,0.7755647099473189,6.0,2.0,False,True
2024-09-12,2,601398,工商银行,银行,4,0.7828857180728931,3,1,0.7662821328178042,0.0166035852550889,14.0,8.0,False,False
2024-09-12,2,603501,韦尔股份,电子,7,0.6417580884004142,3,4,0.4881654920871026,0.15359259631331162,9.5,11.0,False,False
2024-10-21,2,000001,平安银行,银行,8,0.895769378453108,2,6,0.4056897053252725,0.4900796731278355,7.5,5.0,False,True
2024-10-21,2,000568,泸州老窖,食品饮料,9,1.0148036697229867,3,6,0.6837309156410964,0.33107275408189046,4.0,3.0,True,True
2024-10-21,2,000725,京东方A,电子,8,0.7416873045066176,3,5,0.40758540653607733,0.33410189797054024,7.5,10.0,False,False
2024-10-21,2,000858,五粮液,食品饮料,10,1.2421802284879864,3,7,0.8974508061246139,0.34472942236337223,1.5,1.0,True,True
2024-10-21,2,002415,海康威视,电子,8,0.9110947094566413,3,5,0.4456905327738529,0.4654041766827884,7.5,4.0,False,True
2024-10-21,2,002460,赣锋锂业,新能源,10,0.7154936629721274,0,10,0.0,0.7154936629721274,1.5,12.0,True,False
2024-10-21,2,002475,立讯精密,电子,6,0.518852709611139,3,3,0.4425546288604032,0.0762980807507359,12.0,15.0,False,False
2024-10-21,2,600030,中信证券,非银金融,8,0.6499834503815306,1,7,0.0996870249524527,0.5502964254290779,7.5,14.0,False,False
2024-10-21,2,600036,招商银行,银行,5,0.8355511179127539,2,3,0.5292893315079179,0.306261786404836,13.0,7.0,False,False
2024-10-21,2,600519,贵州茅台,食品饮料,7,0.8493661726321253,3,4,0.7474966997685967,0.1018694728635286,10.5,6.0,False,False
2024-10-21,2,600887,伊利股份,食品饮料,9,0.7240231638778729,3,6,0.4712420128531553,0.25278115102471754,4.0,11.0,True,False
2024-10-21,2,601288,农业银行,银行,3,0.708950351472356,1,2,0.6574492725889273,0.0515010788834287,14.5,13.0,False,False
2024-10-21,2,601318,中国平安,非银金融,9,1.075195122342762,1,8,0.0996870249524527,0.9755080973903093,4.0,2.0,True,True
2024-10-21,2,601398,工商银行,银行,3,0.8209576830841796,3,0,0.8209576830841796,0.0,14.5,8.0,False,False
2024-10-21,2,603501,韦尔股份,电子,7,0.787587097460853,3,4,0.5059961961710838,0.2815909012897692,10.5,9.0,False,False
2024-11-18,2,000001,平安银行,银行,7,0.8905365233058422,2,5,0.4017559410863288,0.4887805822195135,10.0,6.0,False,False
2024-11-18,2,000568,泸州老窖,食品饮料,10,1.0167419040620425,3,7,0.6788415587935894,0.33790034526845303,2.0,3.0,True,True
2024-11-18,2,000725,京东方A,电子,10,0.6942832481400205,3,7,0.3343721332208436,0.3599111149191768,2.0,13.0,True,False
2024-11-18,2,000858,五粮液,食品饮料,10,1.1830817213980345,3,7,0.8906934666504195,0.2923882547476151,2.0,1.0,True,True
2024-11-18,2,002415,海康威视,电子,8,0.9359863710781625,3,5,0.45008235233326943,0.4859040187448932,8.0,4.0,False,True
2024-11-18,2,002460,赣锋锂业,新能源,9,0.7380479278845636,0,9,0.0,0.7380479278845636,5.5,11.0,False,False
2024-11-18,2,002475,立讯精密,电子,6,0.4956468308449059,3,3,0.3970120828454811,0.0986347479994248,12.0,15.0,False,False
2024-11-18,2,600030,中信证券,非银金融,9,0.6582333405851338,1,8,0.0940912639860668,0.564142076599067,5.5,14.0,False,False
2024-11-18,2,600036,招商银行,银行,5,0.8400052635939967,2,3,0.518950296333859,0.3210549672601377,13.0,7.0,False,False
2024-11-18,2,600519,贵州茅台,食品饮料,7,0.9257980351187193,3,4,0.7736274861806473,0.152170548938072,10.0,5.0,False,True
2024-11-18,2,600887,伊利股份,食品饮料,9,0.7596256669729957,3,6,0.47780741684112504,0.28181825013187056,5.5,10.0,False,False
2024-11-18,2,601288,农业银行,银行,3,0.7210365476930403,1,2,0.6602337053418729,0.060802842351167403,14.5,12.0,False,False
2024-11-18,2,601318,中国平安,非银金融,9,1.0665626993081925,1,8,0.0940912639860668,0.9724714353221257,5.5,2.0,False,True
2024-11-18,2,601398,工商银行,银行,3,0.8320761837282696,3,0,0.8320761837282696,0.0,14.5,8.0,False,False
2024-11-18,2,603501,韦尔股份,电子,7,0.808430153864852,3,4,0.46712664699187534,0.3413035068729767,10.0,9.0,False,False
2024-12-16,2,000001,平安银行,银行,7,0.8851503788209703,2,5,0.40464020670856704,0.4805101721124033,9.5,6.0,False,False
2024-12-16,2,000568,泸州老窖,食品饮料,9,1.026739053479117,3,6,0.668082838506424,0.3586562149726929,5.0,3.0,True,True
2024-12-16,2,000725,京东方A,电子,10,0.6940159251270048,3,7,0.3378957475106134,0.3561201776163915,1.5,12.0,True,False
2024-12-16,2,000858,五粮液,食品饮料,10,1.1896215871632494,3,7,0.8872480601316434,0.30237352703160614,1.5,1.0,True,True
2024-12-16,2,002415,海康威视,电子,8,0.9344637885923962,3,5,0.4683658316828107,0.4660979569095855,8.0,4.0,False,True
