analysis_date,window,factor_name,family,tier,row_count,eligible_count,nonmissing_count,eligible_nonmissing_share,mean,std,q01,q25,median,q75,q99,iqr,unique_count,zero_share,varying,range_violation_count
2015-07-31,60,cross_industry_strength_ratio,industry,auxiliary,1572,1374,1374,1.0,0.8632103564931148,0.20850860858178086,0.0,0.7927534092752879,0.9615773851690572,1.0,1.000000055543443,0.20724659072471208,1056,0.015283842794759825,True,177
2015-08-31,60,cross_industry_strength_ratio,industry,auxiliary,1645,1463,1463,1.0,0.8623749076209408,0.2016696503385172,0.0,0.7888802069765484,0.9522166326629845,1.0,1.000000053171069,0.21111979302345163,1131,0.014354066985645933,True,177
2015-09-30,60,cross_industry_strength_ratio,industry,auxiliary,1769,1529,1529,1.0,0.8396971107068838,0.24295088977709028,0.0,0.7815417205526938,0.9403524080924446,1.0,1.0000000510511795,0.21845827944730623,1148,0.03662524525833878,True,167
2015-10-30,60,cross_industry_strength_ratio,industry,auxiliary,1962,1761,1761,1.0,0.8338964581166761,0.23105474829661213,0.0,0.7509028917705574,0.9280224542295824,1.0,1.000000054882202,0.24909710822944264,1391,0.022146507666098807,True,193
2015-11-30,60,cross_industry_strength_ratio,industry,auxiliary,2037,1950,1950,1.0,0.838252753726455,0.20842978161503048,0.04558634269881726,0.7497482715887513,0.9157304262177451,0.9999999923192523,1.0000000436873062,0.25025172073050095,1711,0.010256410256410256,True,258
2015-12-31,60,cross_industry_strength_ratio,industry,auxiliary,2119,2030,2030,1.0,0.815652873017322,0.2326043997364371,0.0,0.7038784999581581,0.9008857743183766,1.0,1.0000000437376322,0.2961215000418419,1731,0.016748768472906402,True,277
2016-01-29,60,cross_industry_strength_ratio,industry,auxiliary,2199,2069,2069,1.0,0.8367265405184972,0.21217159539490876,0.0,0.7473646255040284,0.9173662264546592,1.0,1.0000000451262558,0.2526353744959716,1739,0.01401643305944901,True,276
2016-02-29,60,cross_industry_strength_ratio,industry,auxiliary,2241,2159,2159,1.0,0.8602950623006109,0.18504578268053917,0.19100670778362153,0.7797282794445654,0.9268084066150337,1.0,1.0000000441009784,0.22027172055543465,1892,0.007410838351088467,True,307
2016-03-31,60,cross_industry_strength_ratio,industry,auxiliary,2290,2243,2243,1.0,0.8647741446086294,0.17925275717955932,0.23408343376875335,0.7906715457742919,0.9314012022517756,0.9999999946194533,1.0000000427470528,0.20932844884516144,2035,0.00490414623272403,True,350
2016-04-29,60,cross_industry_strength_ratio,industry,auxiliary,2246,2232,2232,1.0,0.8617092529312674,0.17301461043433874,0.2911309840849317,0.7926240915949996,0.9226763086045442,0.9999999865744731,1.0000000436853407,0.2073758949794735,2068,0.0008960573476702509,True,324
