analysis_date,window,factor_a,factor_b,n_pair,spearman_rho,abs_spearman_rho
2015-04-30,60,outside_community_degree_ratio,community_diversity_count,1986,0.554125804022562,0.554125804022562
2015-04-30,60,participation_coefficient_percentile,weighted_participation_coefficient_percentile,1986,0.9968851786593226,0.9968851786593226
2015-04-30,60,participation_coefficient_percentile,external_community_count,1986,0.6829027877983355,0.6829027877983355
2015-04-30,60,participation_coefficient_percentile,community_diversity_count,1986,0.6829027877983355,0.6829027877983355
2015-04-30,60,weighted_participation_coefficient_percentile,external_community_count,1986,0.664035725575256,0.664035725575256
2015-04-30,60,weighted_participation_coefficient_percentile,community_diversity_count,1986,0.664035725575256,0.664035725575256
2015-04-30,60,external_community_count,community_diversity_count,1993,0.9999838461248984,0.9999838461248984
2015-05-29,60,residual_degree_percentile,residual_strength_percentile,1914,0.9988463847402727,0.9988463847402727
2015-05-29,60,residual_degree_percentile,delta_degree_percentile,1914,0.5623100134285096,0.5623100134285096
2015-05-29,60,residual_degree_percentile,delta_strength_percentile,1914,0.559586321380919,0.559586321380919
2015-05-29,60,residual_degree_percentile,same_industry_degree_percentile,1914,0.7035900244949754,0.7035900244949754
2015-05-29,60,residual_degree_percentile,same_industry_strength_percentile,1914,0.7055637878273722,0.7055637878273722
2015-05-29,60,residual_degree_percentile,cross_industry_degree_percentile,1914,0.9635580580551857,0.9635580580551857
2015-05-29,60,residual_degree_percentile,cross_industry_strength_percentile,1914,0.9631942564169526,0.9631942564169526
2015-05-29,60,residual_degree_percentile,cross_industry_degree_ratio,1898,-0.4354470703555482,0.4354470703555482
2015-05-29,60,residual_degree_percentile,cross_industry_strength_ratio,1898,-0.42925353854277254,0.42925353854277254
2015-05-29,60,residual_degree_percentile,delta_residual_degree_percentile_1m,1819,0.3902338509900999,0.3902338509900999
2015-05-29,60,residual_degree_percentile,delta_residual_strength_percentile_1m,1819,0.3915603525414359,0.3915603525414359
2015-05-29,60,residual_degree_percentile,delta_same_industry_degree_percentile_1m,1819,0.09029990612776691,0.09029990612776691
2015-05-29,60,residual_degree_percentile,delta_cross_industry_degree_percentile_1m,1819,0.4040964777854302,0.4040964777854302
2015-05-29,60,residual_degree_percentile,delta_cross_industry_degree_ratio_1m,1798,-0.028773293386572786,0.028773293386572786
2015-05-29,60,residual_degree_percentile,neighbor_jaccard_1m,1816,0.5426304996011583,0.5426304996011583
2015-05-29,60,residual_degree_percentile,neighbor_retention_1m,1812,0.6589742818576477,0.6589742818576477
2015-05-29,60,residual_degree_percentile,neighbor_turnover_1m,1816,-0.5426304996011583,0.5426304996011583
