factor_a,factor_b,window,valid_month_count,mean_rho,median_rho,mean_abs_rho,median_abs_rho,p90_abs_rho,share_abs_rho_ge_090,median_pair_obs
delta_strength_percentile,weighted_participation_coefficient_percentile,60,138,-0.16735835402333954,-0.20133801908403542,0.20313500790188962,0.2055678171610818,0.35467355541870904,0.0,3892.5
delta_strength_percentile,weighted_participation_coefficient_percentile,120,135,-0.10336455276000737,-0.12928866238010198,0.16858029263226212,0.1583164454603025,0.29906487285051553,0.0,3944.0
delta_strength_percentile,weighted_participation_coefficient_percentile,252,129,-0.002859220883680732,-0.015027310111192604,0.10218579273531474,0.08546903475112803,0.2089153402349482,0.0,3621.0
delta_strength_percentile,within_community_degree_percentile,60,138,0.5171388070736274,0.5140080029546744,0.5171388070736274,0.5140080029546744,0.6160152881751924,0.0,4017.0
delta_strength_percentile,within_community_degree_percentile,120,135,0.5168268927142107,0.5318072855466756,0.5168268927142107,0.5318072855466756,0.6043890301032645,0.0,3971.0
delta_strength_percentile,within_community_degree_percentile,252,129,0.517523226503482,0.5328132744217666,0.517523226503482,0.5328132744217666,0.5929791238379465,0.0,3829.0
delta_strength_percentile,within_community_strength_percentile,60,138,0.5172734335179748,0.5139446900236517,0.5172734335179748,0.5139446900236517,0.6156047762630207,0.0,4017.0
delta_strength_percentile,within_community_strength_percentile,120,135,0.5166278355071856,0.5308821074999103,0.5166278355071856,0.5308821074999103,0.6050427823591634,0.0,3971.0
delta_strength_percentile,within_community_strength_percentile,252,129,0.5170328122917565,0.5333782567249381,0.5170328122917565,0.5333782567249381,0.5922006815884989,0.0,3829.0
external_community_count,community_diversity_count,60,138,0.9946577618356726,0.9999837590493431,0.9946577618356726,0.9999837590493431,1.0,0.9855072463768116,4017.0
external_community_count,community_diversity_count,120,135,0.9902887923829368,0.9994281635917422,0.9902887923829368,0.9994281635917422,0.9999976418187991,0.9777777777777777,3971.0
external_community_count,community_diversity_count,252,129,0.9796009077638366,0.9944398810875424,0.9796009077638366,0.9944398810875424,0.9985153166669539,0.937984496124031,3829.0
