scope,portfolio_scope,factor_family,factor_name,method,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,execution_days,is_primary,rebalance_n,trade_rebalance_n,no_trade_rebalance_n,constant_no_trade_share,baseline_executable_share,capacity_status,solver_used,capacity_cny,capacity_yi_cny,gross_notional_at_capacity_cny,executable_share_at_capacity,step5_primary_capacity_cny,capacity_minus_primary_cny,capacity_ratio_to_primary,mean_coverage_capacity_cny,capacity_abs_difference_cny,capacity_relative_difference
PORTFOLIO_LEG,Q1,STRUCTURAL,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9893597221098414,PASS_EXACT,EXACT_PIECEWISE,752462967.0310802,7.524629670310802,752462967.0310802,0.950000000000091,752462967.0310802,0.0,1.0,752462967.0319178,0.0008375644683837891,1.1130972620321147e-12
PORTFOLIO_LEG,Q1,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9914247784220385,PASS_EXACT,EXACT_PIECEWISE,872048202.109807,8.72048202109807,872048202.109807,0.9499999999998572,872048202.109807,0.0,1.0,872048202.1060386,0.003768444061279297,4.321371286791627e-12
PORTFOLIO_LEG,Q1,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.9908018394507461,PASS_EXACT,EXACT_PIECEWISE,849596189.149379,8.49596189149379,849596189.149379,0.9500000000000292,849596189.149379,0.0,1.0,849596189.1491435,0.00023555755615234375,2.772582541692551e-13
PORTFOLIO_LEG,Q1,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.989662532470626,PASS_EXACT,EXACT_PIECEWISE,715580460.2947541,7.1558046029475415,715580460.2947541,0.9500000000002367,715580460.2947541,0.0,1.0,715580460.2947419,1.2278556823730469e-05,1.7158876611405837e-14
PORTFOLIO_LEG,Q1,STRUCTURAL,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9903742396698956,PASS_EXACT,EXACT_PIECEWISE,877777485.7547222,8.777774857547222,877777485.7547222,0.9500000000000993,877777485.7547222,0.0,1.0,877777485.7509143,0.0038079023361206055,4.338118028697273e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9881564753602725,PASS_EXACT,EXACT_PIECEWISE,872674186.5397329,8.72674186539733,872674186.5397329,0.9499999999999762,872674186.5397329,0.0,1.0,872674186.537095,0.0026379823684692383,3.022872005573073e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9866519764962067,PASS_EXACT,EXACT_PIECEWISE,780866134.7006159,7.808661347006159,780866134.7006159,0.950000000000008,780866134.7006159,0.0,1.0,780866134.698771,0.0018448829650878906,2.362611058551768e-12
PORTFOLIO_LEG,Q1,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9914443024176236,PASS_EXACT,EXACT_PIECEWISE,856045665.4566795,8.560456654566794,856045665.4566795,0.9499999999997613,856045665.4566795,0.0,1.0,856045665.4520959,0.004583597183227539,5.35438396362517e-12
PORTFOLIO_LEG,Q1,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.9907007454190881,PASS_EXACT,EXACT_PIECEWISE,835315138.3655902,8.353151383655902,835315138.3655902,0.9500000000001158,835315138.3655902,0.0,1.0,835315138.3666856,0.001095414161682129,1.3113783186355535e-12
PORTFOLIO_LEG,Q1,DYNAMIC,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.9891074092194994,PASS_EXACT,EXACT_PIECEWISE,707888586.1336093,7.078885861336093,707888586.1336093,0.950000000000061,707888586.1336093,0.0,1.0,707888586.1316744,0.0019348859786987305,2.7333199271824707e-12
PORTFOLIO_LEG,Q1,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9897780533116209,PASS_EXACT,EXACT_PIECEWISE,919497947.742479,9.19497947742479,919497947.742479,0.9500000000000195,919497947.742479,0.0,1.0,919497947.7411988,0.0012801885604858398,1.3922690786104515e-12
PORTFOLIO_LEG,Q1,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.9877598103037136,PASS_EXACT,EXACT_PIECEWISE,772716495.3255523,7.7271649532555235,772716495.3255523,0.9499999999999293,772716495.3255523,0.0,1.0,772716495.3232217,0.0023306608200073242,3.01619136399104e-12
PORTFOLIO_LEG,Q1,DYNAMIC,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.9878906495259534,PASS_EXACT,EXACT_PIECEWISE,638879877.420521,6.388798774205211,638879877.420521,0.9499999999999472,638879877.420521,0.0,1.0,638879877.419697,0.000823974609375,1.2897175799351547e-12
PORTFOLIO_LEG,Q1,DYNAMIC,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9899999121014733,PASS_EXACT,EXACT_PIECEWISE,870569358.2208346,8.705693582208346,870569358.2208346,0.9500000000000451,870569358.2208346,0.0,1.0,870569358.2172503,0.00358426570892334,4.117151235673157e-12
PORTFOLIO_LEG,Q1,DYNAMIC,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.9885029956209044,PASS_EXACT,EXACT_PIECEWISE,764252757.4371114,7.642527574371114,764252757.4371114,0.9500000000000368,764252757.4371114,0.0,1.0,764252757.4338315,0.0032799243927001953,4.2916749214139e-12
PORTFOLIO_LEG,Q1,DYNAMIC,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.9878175416107198,PASS_EXACT,EXACT_PIECEWISE,624913100.6458039,6.24913100645804,624913100.6458039,0.9499999999997575,624913100.6458039,0.0,1.0,624913100.6423559,0.003448009490966797,5.517582344525255e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.988885422059432,PASS_EXACT,EXACT_PIECEWISE,869020102.6147051,8.69020102614705,869020102.6147051,0.9499999999999901,869020102.6147051,0.0,1.0,869020102.609828,0.0048770904541015625,5.612172191937515e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9866755323634702,PASS_EXACT,EXACT_PIECEWISE,842713710.2773931,8.427137102773932,842713710.2773931,0.9499999999999194,842713710.2773931,0.0,1.0,842713710.2715664,0.005826711654663086,6.914224348842521e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9857526312719738,PASS_EXACT,EXACT_PIECEWISE,762499700.7263912,7.624997007263912,762499700.7263912,0.9500000000000114,762499700.7263912,0.0,1.0,762499700.7227244,0.0036667585372924805,4.808865542920208e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9864009707591903,PASS_EXACT,EXACT_PIECEWISE,832400863.9308947,8.324008639308948,832400863.9308947,0.9499999999999642,832400863.9308947,0.0,1.0,832400863.9256196,0.005275130271911621,6.337247473571806e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9830973339064819,PASS_EXACT,EXACT_PIECEWISE,799404899.2517924,7.994048992517924,799404899.2517924,0.9499999999999907,799404899.2517924,0.0,1.0,799404899.2465329,0.005259513854980469,6.5792864916611655e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9822155993518912,PASS_EXACT,EXACT_PIECEWISE,689739652.3636774,6.897396523636774,689739652.3636774,0.9500000000000476,689739652.3636774,0.0,1.0,689739652.3607897,0.002887725830078125,4.18668960120566e-12
PORTFOLIO_LEG,Q5,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9908391689687094,PASS_EXACT,EXACT_PIECEWISE,894647369.7186259,8.946473697186258,894647369.7186259,0.9499999999999816,894647369.7186259,0.0,1.0,894647369.7172583,0.0013675689697265625,1.5286122957682924e-12
PORTFOLIO_LEG,Q5,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9879890419993136,PASS_EXACT,EXACT_PIECEWISE,887837119.2913799,8.8783711929138,887837119.2913799,0.9500000000000465,887837119.2913799,0.0,1.0,887837119.2892492,0.002130746841430664,2.3999298915733736e-12
PORTFOLIO_LEG,Q5,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9880481071266185,PASS_EXACT,EXACT_PIECEWISE,835457396.931318,8.354573969313181,835457396.931318,0.9499999999999706,835457396.931318,0.0,1.0,835457396.9302285,0.0010895729064941406,1.3041633367513701e-12
PORTFOLIO_LEG,Q5,STRUCTURAL,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9870694805028807,PASS_EXACT,EXACT_PIECEWISE,962906579.1936709,9.629065791936709,962906579.1936709,0.9500000000000719,962906579.1936709,0.0,1.0,962906579.1872882,0.00638270378112793,6.628580507275228e-12
