scope,portfolio_scope,factor_family,factor_name,method,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,execution_days,is_primary,rebalance_n,trade_rebalance_n,no_trade_rebalance_n,constant_no_trade_share,baseline_executable_share,capacity_status,solver_used,capacity_cny,capacity_yi_cny,gross_notional_at_capacity_cny,executable_share_at_capacity,step5_primary_capacity_cny,capacity_minus_primary_cny,capacity_ratio_to_primary
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,7,ADV20_P10_E90,ADV20,0.1,0.9,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,2581788244.702978,25.81788244702978,5163576489.405956,0.8999999999999385,769538635.5574601,1812249609.145518,3.35498196634755
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,8,ADV20_P10_E95,ADV20,0.1,0.95,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,1539077271.1149201,15.390772711149202,3078154542.2298403,0.9499999999999348,769538635.5574601,769538635.5574601,2.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,9,ADV20_P10_E97p5,ADV20,0.1,0.975,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,897240989.6657934,8.972409896657934,1794481979.3315868,0.974999999999934,769538635.5574601,127702354.10833335,1.165946644141947
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,10,ADV60_P01_E90,ADV60,0.01,0.9,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,287958167.3124593,2.879581673124593,575916334.6249186,0.8999999999999493,769538635.5574601,-481580468.2450008,0.37419585451204807
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,11,ADV60_P01_E95,ADV60,0.01,0.95,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,175965641.9876788,1.759656419876788,351931283.9753576,0.9499999999999478,769538635.5574601,-593572993.5697813,0.22866381732764834
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,12,ADV60_P01_E97p5,ADV60,0.01,0.975,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,104517833.07011002,1.0451783307011002,209035666.14022005,0.9749999999999484,769538635.5574601,-665020802.48735,0.13581882473567614
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,13,ADV60_P05_E90,ADV60,0.05,0.9,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,1439790836.5622966,14.397908365622966,2879581673.1245933,0.8999999999999493,769538635.5574601,670252201.0048366,1.8709792725602405
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,14,ADV60_P05_E95,ADV60,0.05,0.95,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,879828209.9383941,8.798282099383941,1759656419.8767881,0.9499999999999478,769538635.5574601,110289574.380934,1.1433190866382419
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,15,ADV60_P05_E97p5,ADV60,0.05,0.975,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,522589165.3505501,5.225891653505501,1045178330.7011002,0.9749999999999484,769538635.5574601,-246949470.20690995,0.6790941236783807
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,16,ADV60_P10_E90,ADV60,0.1,0.9,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,2879581673.1245933,28.79581673124593,5759163346.2491865,0.8999999999999493,769538635.5574601,2110043037.5671332,3.741958545120481
