scope,portfolio_scope,factor_family,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,is_primary,factor_n,mean_capacity_yi_cny,median_capacity_yi_cny,mean_capacity_ratio_to_primary
PORTFOLIO_LEG,Q1,DYNAMIC,60,1,ADV20_P01_E90,ADV20,0.01,0.9,False,4,2.8023844340081694,2.7780796889608292,0.3186260110286976
PORTFOLIO_LEG,Q1,DYNAMIC,60,2,ADV20_P01_E95,ADV20,0.01,0.95,False,4,1.7590805867649,1.7426175603306415,0.2
PORTFOLIO_LEG,Q1,DYNAMIC,60,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,4,1.1238358761210614,1.1130872157353668,0.1277957431399731
PORTFOLIO_LEG,Q1,DYNAMIC,60,4,ADV20_P05_E90,ADV20,0.05,0.9,False,4,14.011922170040847,13.890398444804148,1.5931300551434884
PORTFOLIO_LEG,Q1,DYNAMIC,60,5,ADV20_P05_E95,ADV20,0.05,0.95,True,4,8.7954029338245,8.713087801653208,1.0
PORTFOLIO_LEG,Q1,DYNAMIC,60,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,4,5.619179380605307,5.565436078676835,0.6389787156998654
PORTFOLIO_LEG,Q1,DYNAMIC,60,7,ADV20_P10_E90,ADV20,0.1,0.9,False,4,28.023844340081695,27.780796889608297,3.1862601102869768
PORTFOLIO_LEG,Q1,DYNAMIC,60,8,ADV20_P10_E95,ADV20,0.1,0.95,False,4,17.590805867649,17.426175603306415,2.0
PORTFOLIO_LEG,Q1,DYNAMIC,60,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,4,11.238358761210614,11.13087215735367,1.2779574313997308
PORTFOLIO_LEG,Q1,DYNAMIC,60,10,ADV60_P01_E90,ADV60,0.01,0.9,False,4,3.1684055936235023,3.1360006396312263,0.36020333962273565
PORTFOLIO_LEG,Q1,DYNAMIC,60,11,ADV60_P01_E95,ADV60,0.01,0.95,False,4,2.018049266021431,1.9963915855982388,0.22941657978602936
PORTFOLIO_LEG,Q1,DYNAMIC,60,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,4,1.3062113840860052,1.2929850265894127,0.14852290724084471
PORTFOLIO_LEG,Q1,DYNAMIC,60,13,ADV60_P05_E90,ADV60,0.05,0.9,False,4,15.842027968117511,15.68000319815613,1.8010166981136784
PORTFOLIO_LEG,Q1,DYNAMIC,60,14,ADV60_P05_E95,ADV60,0.05,0.95,False,4,10.090246330107156,9.981957927991193,1.147082898930147
PORTFOLIO_LEG,Q1,DYNAMIC,60,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,4,6.531056920430026,6.464925132947063,0.7426145362042236
PORTFOLIO_LEG,Q1,DYNAMIC,60,16,ADV60_P10_E90,ADV60,0.1,0.9,False,4,31.684055936235023,31.36000639631226,3.6020333962273567
PORTFOLIO_LEG,Q1,DYNAMIC,60,17,ADV60_P10_E95,ADV60,0.1,0.95,False,4,20.180492660214313,19.963915855982385,2.294165797860294
PORTFOLIO_LEG,Q1,DYNAMIC,60,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,4,13.062113840860052,12.929850265894126,1.4852290724084471
PORTFOLIO_LEG,Q1,DYNAMIC,120,1,ADV20_P01_E90,ADV20,0.01,0.9,False,4,2.5714172748882627,2.5741753079723395,0.31926685857102505
PORTFOLIO_LEG,Q1,DYNAMIC,120,2,ADV20_P01_E95,ADV20,0.01,0.95,False,4,1.6109402901388163,1.6080316336911424,0.19999999999999998
PORTFOLIO_LEG,Q1,DYNAMIC,120,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,4,1.0167727177760217,1.0146609533481654,0.12612184539041119
PORTFOLIO_LEG,Q1,DYNAMIC,120,4,ADV20_P05_E90,ADV20,0.05,0.9,False,4,12.857086374441316,12.8708765398617,1.5963342928551254
PORTFOLIO_LEG,Q1,DYNAMIC,120,5,ADV20_P05_E95,ADV20,0.05,0.95,True,4,8.054701450694083,8.040158168455713,1.0
PORTFOLIO_LEG,Q1,DYNAMIC,120,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,4,5.083863588880109,5.0733047667408275,0.630609226952056
PORTFOLIO_LEG,Q1,DYNAMIC,120,7,ADV20_P10_E90,ADV20,0.1,0.9,False,4,25.714172748882632,25.7417530797234,3.192668585710251
PORTFOLIO_LEG,Q1,DYNAMIC,120,8,ADV20_P10_E95,ADV20,0.1,0.95,False,4,16.109402901388165,16.080316336911427,2.0
