regime_type,sample_scope,factor_name,window,low_n,high_n,mean_high_minus_low_yi,median_high_minus_low_yi,zero_share_high_minus_low,hac_se_yi,hac_t,p_nominal,small_sample,q_bh
NETWORK,COMMON_DATE,cross_industry_degree_percentile,120,19,38,7.547491700428148,6.378621868806917,0.0,2.2191230713035566,3.4011145204283793,0.0006711170625503903,False,0.0012080107125907026
NETWORK,COMMON_DATE,cross_industry_degree_ratio,120,19,38,6.885120827148807,4.199338859094436,0.0,2.3503976376685003,2.929342982993537,0.0033967938074389997,False,0.0050951907111585
NETWORK,COMMON_DATE,delta_degree_percentile,120,19,38,8.71828493812283,7.6812488994612185,0.0,2.397302389306412,3.636706398413596,0.000276146384886007,False,0.000774723480451955
NETWORK,COMMON_DATE,outside_community_degree_percentile,120,19,38,7.543045435416412,6.5916009954414125,0.0,2.194416713869497,3.437380597651153,0.000587369625462558,False,0.0011327842776777902
NETWORK,COMMON_DATE,residual_degree_percentile,120,19,38,7.828001891258296,5.309909584468858,0.0,2.1870569018066517,3.5792401582198687,0.00034459468681043696,False,0.0007753380453234832
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,120,19,38,7.645691986826137,6.309196313613986,0.0,2.122551193986964,3.6021237124861045,0.0003156280846285742,False,0.000774723480451955
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,120,19,38,7.487343941759635,6.214365979854392,0.0,2.0708121671693207,3.6156557607995885,0.00029958827199272044,False,0.000774723480451955
NETWORK,COMMON_DATE,neighbor_jaccard_1m,120,19,38,7.021002513790538,5.43150550850342,0.0,2.0368423400454976,3.447003420811504,0.0005668414047769681,False,0.0011327842776777902
NETWORK,COMMON_DATE,neighbor_retention_1m,120,19,38,6.739910726604242,5.374815897925382,0.0,1.9949142847473198,3.3785465261019643,0.0007287010064764067,False,0.0012296829484289363
NETWORK,COMMON_DATE,cross_industry_degree_percentile,252,28,47,9.111848290987602,7.461458372382719,0.0,2.5095860090940616,3.6308172973425603,0.00028252513610863234,False,0.000774723480451955
NETWORK,COMMON_DATE,cross_industry_degree_ratio,252,28,47,7.433635028753812,5.320165944464769,0.0,2.2272796762620954,3.337540008100473,0.0008452355227283056,False,0.0013424328890390737
NETWORK,COMMON_DATE,delta_degree_percentile,252,28,47,9.536919080988568,7.702653763068856,0.0,2.462108234171897,3.873476782468178,0.0001072936324974185,False,0.000774723480451955
NETWORK,COMMON_DATE,outside_community_degree_percentile,252,28,47,8.878186665242199,6.114510522870264,0.0,2.3900680048107414,3.714616758758386,0.00020351188800417296,False,0.000774723480451955
NETWORK,COMMON_DATE,residual_degree_percentile,252,28,47,9.110719987206409,7.666899085867335,0.0,2.475873356559856,3.679800488610392,0.00023341649966223175,False,0.000774723480451955
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,252,28,47,8.882902405674608,7.095149215810632,0.0,2.3065934414223808,3.851091504100042,0.00011759254809616868,False,0.000774723480451955
