metric,regime_type,sample_scope,factor_name,method,window,total_date_n,estimate_type,regime,estimate,hac_se,hac_t,regime_date_n
IC,MARKET,NATIVE,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.0018521708910633778,0.010703066913171126,-0.1730504822672937,66
IC,MARKET,NATIVE,outside_community_degree_percentile,RAW_COMMON,60,100,REGIME_MEAN,LOW,0.02216934042941099,0.01979702745405178,1.1198317768091834,33
IC,MARKET,NATIVE,outside_community_degree_percentile,RAW_COMMON,60,100,REGIME_MEAN,MEDIUM,0.04621631850757134,0.014550444876311434,3.176282161847361,34
IC,MARKET,NATIVE,outside_community_degree_percentile,RAW_COMMON,60,100,REGIME_MEAN,HIGH,-0.0034708242936382257,0.02225614027263517,-0.15594906624064306,33
IC,MARKET,NATIVE,outside_community_degree_percentile,RAW_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.025640164723049214,0.034725410745619356,-0.7383689399925599,66
IC,MARKET,NATIVE,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,LOW,0.022674650703673617,0.012185816594742457,1.8607411762176482,33
IC,MARKET,NATIVE,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,0.02787236902719993,0.008764179686443961,3.1802598787781196,34
IC,MARKET,NATIVE,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,0.013479803027819846,0.01150635925609031,1.1715089654171014,33
IC,MARKET,NATIVE,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.009194847675853771,0.01881382041667686,-0.4887283641605995,66
IC,MARKET,NATIVE,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,0.0030499859731011334,0.008643866094278987,0.35284974799873303,33
IC,MARKET,NATIVE,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,0.01639665643973357,0.007911043525293517,2.0726287736010427,34
IC,MARKET,NATIVE,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,0.0046066939512210536,0.008749898706190478,0.5264854035352269,33
IC,MARKET,NATIVE,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.0015567079781199202,0.01350166886417034,0.1152974490620925,66
IC,MARKET,NATIVE,residual_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,LOW,0.0035519710413315923,0.013536291879487102,0.26240354987574177,33
IC,MARKET,NATIVE,residual_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,MEDIUM,0.0380865702208059,0.013927843324037847,2.7345633731442747,34
IC,MARKET,NATIVE,residual_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,HIGH,-0.025625292537425542,0.018698325960666902,-1.3704591839574274,33
IC,MARKET,NATIVE,residual_degree_percentile,RAW_COMMON,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.029177263578757134,0.025149069208639817,-1.160172702086861,66
IC,MARKET,NATIVE,residual_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,LOW,0.02228994258350018,0.009912671739243449,2.248631163206599,33
IC,MARKET,NATIVE,residual_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,MEDIUM,0.02761926621324521,0.010699390261996724,2.581386932986861,34
IC,MARKET,NATIVE,residual_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,HIGH,0.005830631147910369,0.012131580979850466,0.4806159360098701,33
IC,MARKET,NATIVE,residual_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.01645931143558981,0.016339828698915707,-1.0073123616456292,66
IC,MARKET,NATIVE,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,LOW,0.009804131629794016,0.007755718403250096,1.2641165034673663,33
IC,MARKET,NATIVE,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,MEDIUM,0.02121066509711192,0.010618050250256889,1.9976045128058004,34
IC,MARKET,NATIVE,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,HIGH,0.007141822756088515,0.011285869653757491,0.6328110261056163,33
IC,MARKET,NATIVE,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.0026623088737055016,0.014084415990281653,-0.18902515202210113,66
IC,MARKET,NATIVE,delta_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,LOW,-0.07769153003022848,0.014102069977192377,-5.50922879803326,33
IC,MARKET,NATIVE,delta_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,MEDIUM,0.0062565587675597525,0.017024736157485666,0.3674981338732104,34
IC,MARKET,NATIVE,delta_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,HIGH,-0.08771650885113579,0.014085185924420214,-6.22757195551513,33
IC,MARKET,NATIVE,delta_degree_percentile,RAW_COMMON,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.010024978820907304,0.020164423229483943,-0.49716169447629016,66
IC,MARKET,NATIVE,delta_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,LOW,-0.05572687016014492,0.006802328841932696,-8.192322284776761,33
IC,MARKET,NATIVE,delta_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,MEDIUM,-0.01721220860052397,0.007624718566139767,-2.257422152859623,34
IC,MARKET,NATIVE,delta_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,HIGH,-0.03978538589760108,0.0065679436131465966,-6.057510271246154,33
IC,MARKET,NATIVE,delta_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.01594148426254384,0.010105980244483068,1.577430776321418,66
IC,MARKET,NATIVE,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,LOW,-0.020635519363496974,0.005906997052939806,-3.4934026847409796,33
IC,MARKET,NATIVE,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,MEDIUM,0.006088707350919598,0.009074807184757352,0.6709461949942688,34
IC,MARKET,NATIVE,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,HIGH,-0.010929034426872064,0.00659369638927527,-1.657497370465567,33
IC,MARKET,NATIVE,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.00970648493662491,0.008710954303888374,1.1142849104709633,66
IC,MARKET,NATIVE,cross_industry_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,LOW,0.008814942035855922,0.01600605162390544,0.5507255782363331,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,MEDIUM,0.04258527133771346,0.012599533468338689,3.379908585085773,34
IC,MARKET,NATIVE,cross_industry_degree_percentile,RAW_COMMON,120,100,REGIME_MEAN,HIGH,-0.01706352282896756,0.01946367862529236,-0.8766853973222778,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,RAW_COMMON,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.02587846486482348,0.028284987829847463,-0.9149187201528678,66
IC,MARKET,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,LOW,0.020896346616950105,0.009653256682297594,2.1646939789004467,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,MEDIUM,0.029481709778016646,0.009933322246602483,2.9679606727850136,34
IC,MARKET,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,REGIME_MEAN,HIGH,0.006001076884701217,0.011703917456540489,0.5127408756072217,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.01489526973224889,0.01628921297336388,-0.9144253781079316,66
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,LOW,0.009806162193252439,0.007310191891910457,1.3414370427271618,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,MEDIUM,0.0237400907984328,0.009804223486924942,2.421414692361199,34
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,REGIME_MEAN,HIGH,0.0071300988490143775,0.010841259544323767,0.6576817776443266,33
IC,MARKET,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.002676063344238061,0.013928510263471833,-0.19212846841604891,66
