config_id,description,return_column,stock_valid_ratio,pair_valid_ratio,analysis_date,window,eligible_stock_count,exact_same_pair_share,market_r2_median,raw_mean_corr,raw_same_cross_gap,raw_top1_same_enrichment,residual_mean_corr,residual_same_cross_gap,residual_top1_same_enrichment,raw_residual_top1_overlap,residual_gap_positive,residual_enrichment_gt_1
BASE,Baseline specification,return_network,0.9,0.9,2021-12-31,252,4137,0.04867523303639515,0.1345681600596402,0.13324240914722518,0.07980526926559278,7.395958427786529,0.0012520303928435885,0.0887631627126255,8.936783100242057,0.55,True,True
BASE,Baseline specification,return_network,0.9,0.9,2022-12-30,252,4568,0.05098212755252886,0.275099220738918,0.27250267460162314,0.10940302048655226,5.8844150764578895,0.0015990502036591395,0.12553821461525252,9.611211291547887,0.325,True,True
BASE,Baseline specification,return_network,0.9,0.9,2023-12-29,252,4861,0.0531454263928149,0.1769861408082499,0.1774168409636294,0.13287685523765372,7.620599315668578,0.003290794613198054,0.1478960554569409,10.160799087558104,0.51,True,True
BASE,Baseline specification,return_network,0.9,0.9,2024-12-31,252,5042,0.05419620988103816,0.4511205696747536,0.4240037908015111,0.08195012818776293,4.612868695961495,0.002705317718971052,0.11204401115865262,6.919303043942243,0.25,True,True
BASE,Baseline specification,return_network,0.9,0.9,2025-12-31,252,5093,0.055047753574557996,0.26282576902914934,0.2554020384377889,0.08038932183438774,4.178190481260647,0.001418780913576175,0.08746345581888651,6.903097316865417,0.29,True,True
BASE,Baseline specification,return_network,0.9,0.9,2026-09-03,252,5125,0.05562963386074142,0.2137887934276193,0.20490453667031988,0.10692820783418644,5.842209941801484,0.005864119214303616,0.11105009087359125,7.280292389014157,0.53,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2015-12-31,60,2155,0.050798492848787236,0.4647982140355057,0.44413035958258995,0.0371905249916713,2.374145536844528,0.002236072038952197,0.04542816137966701,2.473068267546383,0.41919191919191917,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2016-12-30,60,2534,0.04921523654142587,0.30989243366533314,0.2918932486026716,0.044820993676394916,2.9462420622107413,0.003998222400899168,0.05116414905644016,4.673349477989452,0.2663316582914573,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2017-12-29,60,3020,0.0499957224553545,0.30657677025190233,0.27802497640989554,0.049575190263447755,2.7002310071737274,0.0026482785752368156,0.044361822554022,3.7003165653862187,0.2864321608040201,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2018-12-28,60,3446,0.049949500777915455,0.5059761317927842,0.4793847549728534,0.025680532132363765,2.6026286144080517,0.0023930832461492683,0.04708583749495224,2.40242641329974,0.15,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2019-12-31,60,3644,0.0511021693860954,0.23568862818039438,0.23370257287460394,0.04993418811896025,3.033139333653702,0.004531842767862062,0.054115855294645354,3.9137281724563895,0.29,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2020-12-31,60,4007,0.0528706565806394,0.21606707295971325,0.21165002057088392,0.06779293304633219,3.4045349848353093,0.002802234016157697,0.07032328349867013,4.728520812271263,0.375,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2021-12-31,60,4475,0.04997784842529025,0.12299216497121361,0.12457061633143346,0.09870087806802534,4.702083170933047,0.003907611743674649,0.09934131340152011,5.802570721576951,0.47,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2022-12-30,60,4817,0.05230704585159013,0.2344474263556508,0.2367030438358816,0.1477253109848079,6.404490916013297,0.0037815596810149314,0.1687008343282263,8.22068983249468,0.36,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2023-12-29,60,5058,0.053986217851956265,0.2671269118609987,0.24891166042475207,0.1287573193548322,5.001276450600923,0.004608018867493605,0.1615702367891631,7.038833523067965,0.465,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2024-12-31,60,5056,0.05452545731134733,0.4351104206490282,0.41191513725318535,0.08234798922986097,3.484610847279569,0.0038244695919071106,0.10425527764030129,4.5850142727362755,0.28,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2025-12-31,60,5121,0.05524868494922867,0.201228638485565,0.19339911446093727,0.09569499398985709,3.0769963150475568,0.0027555235378327785,0.09805574621063463,4.615494472571335,0.415,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2026-09-03,60,5179,0.05581779105996817,0.25269195370404707,0.23578776054600661,0.1528564256194225,3.672664147166932,0.01938544517741538,0.1540951347393997,4.9267445876629585,0.57,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2015-12-31,120,1879,0.05050043046258149,0.6557511479078284,0.6219388147671365,0.031193402177141727,2.0520011820882234,0.00328626686427916,0.058375272255176386,2.975401714027924,0.20833333333333334,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2016-12-30,120,2409,0.049392918857716565,0.2969373894519921,0.2895555974260653,0.03815689211560258,2.4540384333489227,0.002483066056837092,0.0375099133525883,3.5788060486338455,0.19796954314720813,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2017-12-29,120,2866,0.04980191424037491,0.2869665419988672,0.2656785835557896,0.048851241407171064,3.3297745329275688,0.0017904813751339677,0.05670600221952729,5.852330997266637,0.31313131313131315,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2018-12-28,120,3350,0.050399183538859894,0.4302288384924411,0.4126446508924928,0.034743149587354305,2.8770307338054173,-0.0013046022661843525,0.05650698851335249,5.357229642258364,0.22,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2019-12-31,120,3637,0.05107873998837882,0.2696352147946517,0.2574007791062508,0.04405242635533313,3.03453060970699,0.002338359393036862,0.05743253283546894,4.209187619916148,0.255,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2020-12-31,120,3882,0.052452794171156565,0.2586113328587816,0.2543345171354741,0.06503301437191539,4.003599871434067,0.0030759524728236442,0.06680504196482052,5.242809355449374,0.375,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2021-12-31,120,4392,0.049513016980004224,0.13737119456121255,0.13722828667932377,0.09782906923130169,5.9580291808745045,0.0032296688283894232,0.1048544102930336,7.371798817014217,0.635,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2022-12-30,120,4731,0.05171226801050871,0.2399598865211336,0.23868992038239983,0.12725948736562584,7.445041859733598,0.004415784870231248,0.15630741643685583,8.895374689551831,0.445,True,True
