security_id,stock_code,stock_name,exchange,board,list_date,delist_date,code_count,issue_type,severity,note
A20089,A20089,金源照明,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20105,A20105,金张科技,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20110,A20110,点众科技,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20136,A20136,光祥科技,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20137,A20137,佳奇科技,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20140,A20140,网进科技,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20143,A20143,晶台股份,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20146,A20146,速达股份,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20150,A20150,华奥汽车,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20152,A20152,日发纺机,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20171,A20171,多想互动,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20181,A20181,安凯特,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20190,A20190,天彦通信,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20193,A20193,新视云,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20200,A20200,鸿禧能源,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20202,A20202,柠檬微趣,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20203,A20203,艾能聚,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20204,A20204,红星美羚,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20207,A20207,世宇科技,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20208,A20208,银河电力,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20213,A20213,佛朗斯,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20214,A20214,中星技术,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20216,A20216,族兴新材,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20220,A20220,弘成立业,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20226,A20226,灿星文化,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20228,A20228,大运汽车,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
