window_id,network_date,regime,n_prior_states,centroid_novelty,nearest_state_distance,nearest_prior_window,nearest_prior_regime,nearest_prior_date,max_historical_support_jaccard,support_novelty,same_centroid_novelty,cross_centroid_novelty,same_novelty_energy_share,cross_novelty_energy_share,centroid_novelty_percentile,centroid_novelty_robust_z,is_regime_start,is_first_R4_state,TI_total,transition_type,transition_cross_energy_share,transition_support_energy_share,transition_persistent_energy_share,transition_novelty_class
22,2025-10-16,R3,21,0.2887238612647224,0.14149503673027983,21.0,R3,2025-09-10,0.8947368421052632,0.10526315789473684,0.19255737472107493,0.21513513312366764,0.4447899421730323,0.5552100578269676,0.3,-0.37006262182910615,False,False,0.1414950367302798,Within R3,0.6098398108169051,0.0276954200747442,0.9723045799252557,High transition / Familiar state
23,2025-11-13,R4,22,0.44296933285128504,0.3548483641242367,22.0,R3,2025-10-16,0.8148148148148148,0.18518518518518523,0.3252684559008558,0.30070294551697624,0.5391834766130611,0.46081652338693896,1.0,3.1400650469263884,True,True,0.3548483641242367,R3→R4 Boundary,0.512826280939227,0.1053632198913165,0.8946367801086835,High transition / High novelty
24,2025-12-11,R4,23,0.44958469480083213,0.1445881837589732,23.0,R4,2025-11-13,0.8695652173913043,0.13043478260869568,0.3223528951960929,0.3133927388403473,0.5140911339277647,0.4859088660722353,1.0,2.7117369072878503,False,False,0.1445881837589732,Within R4,0.7170157995926839,0.1278813252773573,0.8721186747226427,High transition / High novelty
25,2026-01-12,R4,24,0.4577675579481813,0.11213039792306327,24.0,R4,2025-12-11,0.9090909090909091,0.09090909090909094,0.3104217052316793,0.33643647547627464,0.4598478271603614,0.5401521728396387,1.0,2.207590026672364,False,False,0.1121303979230632,Within R4,0.7168520365128199,0.0319859777042374,0.9680140222957626,Low transition / High novelty
26,2026-02-09,R4,25,0.4547781826382391,0.10861248232036208,25.0,R4,2026-01-12,0.8636363636363636,0.13636363636363635,0.31650650751008547,0.32656825642965936,0.4843575165767916,0.5156424834232083,0.9583333333333334,1.9627337257589965,False,False,0.108612482320362,Within R4,0.4293436545435483,0.1199270282132443,0.8800729717867556,Low transition / High novelty
27,2026-03-17,R5,26,0.43050855956976747,0.1359585247188289,26.0,R4,2026-02-09,0.8666666666666667,0.1333333333333333,0.3141564665450401,0.2943523983098679,0.5325108067380286,0.46748919326197136,0.84,1.5162741512758457,True,False,0.1359585247188289,R4→R5 Boundary,0.3132869056338225,0.1341748728787186,0.8658251271212811,High transition / High novelty
28,2026-04-15,R5,27,0.4217049605912805,0.1328202608247414,27.0,R5,2026-03-17,0.8936170212765957,0.1063829787234043,0.30959008762358053,0.2863373035992991,0.5389601742422119,0.4610398257577882,0.8076923076923077,1.3269792049873124,False,False,0.1328202608247414,Within R5,0.4883414005569865,0.1164485309155623,0.8835514690844377,High transition / High novelty
29,2026-05-18,R5,28,0.45477252528914125,0.20466660069087125,28.0,R5,2026-04-15,0.8297872340425532,0.17021276595744683,0.3389587801569083,0.30319135065566,0.5555272123490825,0.4444727876509175,0.9259259259259259,1.6114533663772435,False,False,0.2046666006908712,Within R5,0.5228546474627266,0.2231556658070493,0.7768443341929507,High transition / High novelty
30,2026-06-15,R5,29,0.4701903530836421,0.23343438167890457,29.0,R5,2026-05-18,0.8863636363636364,0.11363636363636365,0.3553862212529904,0.30786295957201576,0.5712862119952725,0.4287137880047276,1.0,1.6444469129782036,False,False,0.2334343816789045,Within R5,0.5204216466672013,0.4259410556232632,0.5740589443767367,High transition / High novelty
31,2026-07-14,R5,30,0.4480078370090537,0.14861377590496228,30.0,R5,2026-06-15,0.9285714285714286,0.0714285714285714,0.32520807826034787,0.3081407598091209,0.526928183119128,0.47307181688087213,0.8275862068965517,1.3011345705605768,False,False,0.1486137759049622,Within R5,0.4910649178273139,0.0895388950180756,0.9104611049819242,High transition / High novelty
