window_id,network_date,regime,stock,name,industry,node_novelty_score,node_novelty_share,same_node_novelty_score,cross_node_novelty_score,cross_node_novelty_share,node_novelty_rank
6,2024-06-20,R1,002415,海康威视,电子,0.007349775998354931,0.04860670491703523,0.0028603477998239684,0.004489428198530963,0.6108251733843062,7
6,2024-06-20,R1,002460,赣锋锂业,新能源,0.014741432459208543,0.09749038035438537,0.0,0.014741432459208543,1.0,4
6,2024-06-20,R1,002475,立讯精密,电子,0.0037986303779695757,0.025121705193761022,0.0025676634352987007,0.001230966942670875,0.3240554674152964,11
6,2024-06-20,R1,600030,中信证券,非银金融,0.01751501413934137,0.11583307084178064,2.5321638160176222e-06,0.01751248197552535,0.9998554289596414,3
6,2024-06-20,R1,600036,招商银行,银行,0.029127257900623683,0.19262900394990085,0.001000639502590832,0.02812661839803285,0.9656459421616407,2
6,2024-06-20,R1,600519,贵州茅台,食品饮料,0.0009332724433110023,0.0061720654166020645,0.0008649360555443384,6.83363877666639e-05,0.07322233529603057,13
6,2024-06-20,R1,600887,伊利股份,食品饮料,0.01045988826391933,0.06917499287369906,0.0031358182393341036,0.007324070024585226,0.7002053788518091,5
6,2024-06-20,R1,601288,农业银行,银行,0.00024410401532727713,0.0016143474093267764,8.3034089705202e-05,0.00016106992562207512,0.6598413606843957,15
6,2024-06-20,R1,601318,中国平安,非银金融,0.03488920068116968,0.23073479826873822,2.5321638160176222e-06,0.03488666851735366,0.9999274227048319,1
6,2024-06-20,R1,601398,工商银行,银行,0.0002984944271948976,0.0019740507119250022,7.36182045801134e-05,0.00022487622261478424,0.7533682445198703,14
6,2024-06-20,R1,603501,韦尔股份,电子,0.006131963586081151,0.04055287462602451,0.0027830956698765767,0.0033488679162045746,0.5461330402884514,9
7,2024-07-18,R1,000001,平安银行,银行,0.003291778646866634,0.022460011174384654,0.0004421607038049423,0.0028496179430616917,0.8656772671437599,11
7,2024-07-18,R1,000568,泸州老窖,食品饮料,0.003534639063532483,0.02411706295619958,0.0015401971702596288,0.001994441893272854,0.5642561680059148,10
7,2024-07-18,R1,000725,京东方A,电子,0.009953656703197434,0.06791442097499595,0.006337995337761984,0.0036156613654354506,0.36324955473639997,7
7,2024-07-18,R1,000858,五粮液,食品饮料,0.003122048157562584,0.02130192945159584,0.0014170754987812852,0.0017049726587812987,0.5461070978842264,12
7,2024-07-18,R1,002415,海康威视,电子,0.019948951005547624,0.13611293788795406,0.009498705881066683,0.010450245124480943,0.5238493553658448,3
7,2024-07-18,R1,002460,赣锋锂业,新能源,0.010750680383421878,0.07335256329393038,0.0,0.010750680383421878,1.0,6
7,2024-07-18,R1,002475,立讯精密,电子,0.009168561860356493,0.06255766985810539,0.007042554520814158,0.002126007339542336,0.23188013255763457,8
7,2024-07-18,R1,600030,中信证券,非银金融,0.017379878349117066,0.1185839947963033,0.0001527022744927241,0.01722717607462434,0.9912138467585717,4
7,2024-07-18,R1,600036,招商银行,银行,0.023737683143461533,0.16196369375068392,0.00184216165316861,0.021895521490292922,0.9223950525400779,1
7,2024-07-18,R1,600519,贵州茅台,食品饮料,0.0012688835506887886,0.008657671667744343,0.0010050484213926405,0.00026383512929614787,0.20792698364868087,13
7,2024-07-18,R1,600887,伊利股份,食品饮料,0.014529230109422916,0.09913384392461118,0.0028291109976012335,0.011700119111821682,0.8052814239781076,5
7,2024-07-18,R1,601288,农业银行,银行,0.0008637851136390929,0.005893659746249383,0.000761128278115292,0.00010265683552380096,0.11884534000743742,15
7,2024-07-18,R1,601318,中国平安,非银金融,0.022045764165479372,0.15041962495741784,0.0001527022744927241,0.02189306189098665,0.9930733961705065,2
7,2024-07-18,R1,601398,工商银行,银行,0.0008982226595775829,0.006128629271716449,0.000742058616095094,0.00015616404348248902,0.17385894445808125,14
7,2024-07-18,R1,603501,韦尔股份,电子,0.00606799172433565,0.04140228628810774,0.0052441872597789345,0.0008238044645567154,0.1357622920368945,9
8,2024-08-15,R2,000001,平安银行,银行,0.008119989301408408,0.05683701144912397,0.000284630393174027,0.00783535890823438,0.9649469497300128,8
8,2024-08-15,R2,000568,泸州老窖,食品饮料,0.0017178774077640537,0.012024525435808332,0.00033379105532910274,0.0013840863524349509,0.8056956486996608,13
8,2024-08-15,R2,000725,京东方A,电子,0.011919252306702426,0.08343048921302629,0.008263838938220091,0.003655413368482333,0.30668143222598143,7
8,2024-08-15,R2,000858,五粮液,食品饮料,0.002457795165579219,0.01720368423901714,0.0009366848843893512,0.0015211102811898678,0.618892209771026,11
8,2024-08-15,R2,002415,海康威视,电子,0.016805970074199966,0.11763576010565176,0.00998234673022785,0.0068236233439721156,0.4060237709483693,2
8,2024-08-15,R2,002460,赣锋锂业,新能源,0.015062348823052747,0.10543103700371353,0.0,0.015062348823052747,1.0,4
8,2024-08-15,R2,002475,立讯精密,电子,0.0036435798311651633,0.02550375140812216,0.0024097161176655406,0.0012338637134996226,0.338640504853451,10
8,2024-08-15,R2,600030,中信证券,非银金融,0.029410335820194346,0.2058617975574216,0.0005815721805566063,0.02882876363963774,0.9802255851782122,1
8,2024-08-15,R2,600036,招商银行,银行,0.01659896913913047,0.11618682783741789,0.0015425188639070898,0.015056450275223378,0.9070714060025118,3
8,2024-08-15,R2,600519,贵州茅台,食品饮料,0.0006794807850831895,0.0047561216804232025,0.0002589561879497169,0.00042052459713347263,0.6188910803150782,15
8,2024-08-15,R2,600887,伊利股份,食品饮料,0.01486137645497287,0.10402430254120232,0.0008043393829460172,0.014057037072026853,0.9458771947953132,5
8,2024-08-15,R2,601288,农业银行,银行,0.0018351574643275675,0.012845443748656126,0.0010629530743480587,0.0007722043899795087,0.42078372291745403,12
8,2024-08-15,R2,601318,中国平安,非银金融,0.01340066104969829,0.09379981884648825,0.0005815721805566063,0.012819088869141683,0.9566012319541728,6
8,2024-08-15,R2,601398,工商银行,银行,0.0013135516378573963,0.009194390128933657,0.0007491048967843442,0.0005644467410730521,0.42971035534906804,14
8,2024-08-15,R2,603501,韦尔股份,电子,0.005038120944600026,0.03526503880499392,0.003043674297425052,0.0019944466471749737,0.39587113312805,9
