analysis_date,window,next_analysis_date,is_last_date,expected_rows,actual_rows,expected_trade_days,market_trade_day_count,market_date_coverage,min_market_stock_count,suspension_zero_stock_days,reopen_stock_days,reopen_return_recovered_stock_days,unresolved_open_missing_stock_days,unresolved_reopen_missing_stock_days,mean_return_coverage,return_label_valid_share,risk_label_valid_share,mean_suspended_days_per_stock,mean_unresolved_open_missing_days,row_count_ok,key_unique,security_unique,coverage_range_ok,last_date_policy_ok,forward_direction_ok,market_calendar_ok,market_count_ok,reopen_recovery_ok,return_label_complete,risk_label_complete,vol_nonnegative,drawdown_range_ok,total_return_range_ok,qa_pass,qa_errors
2016-11-30,120,2016-12-30,False,2356,2356,22,22,1.0,2990.0,1422,73,73,0,0,1.0,1.0,1.0,0.6035653650254669,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-12-30,120,2017-01-26,False,2394,2394,18,18,1.0,3035.0,1030,66,66,0,0,1.0,1.0,1.0,0.4302422723475355,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-01-26,120,2017-02-28,False,2428,2428,18,18,1.0,3088.0,1106,41,41,0,0,1.0,1.0,1.0,0.45551894563426687,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-02-28,120,2017-03-31,False,2432,2432,23,23,1.0,3120.0,1195,79,79,0,0,1.0,1.0,1.0,0.49136513157894735,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-03-31,120,2017-04-28,False,2490,2490,18,18,1.0,3168.0,1028,95,95,0,0,1.0,1.0,1.0,0.41285140562248995,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-04-28,120,2017-05-31,False,2519,2519,20,20,1.0,3206.0,1727,76,76,0,0,1.0,1.0,1.0,0.6855895196506551,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-05-31,120,2017-06-30,False,2528,2528,22,22,1.0,3244.0,1285,68,68,0,0,1.0,1.0,1.0,0.5083069620253164,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-06-30,120,2017-07-31,False,2594,2594,21,21,1.0,3280.0,1252,54,54,0,0,1.0,1.0,1.0,0.4826522744795682,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-07-31,120,2017-08-31,False,2639,2639,23,23,1.0,3309.0,1031,65,65,0,0,1.0,1.0,1.0,0.39067828723001136,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-08-31,120,2017-09-29,False,2674,2674,21,21,1.0,3345.0,730,55,55,0,0,1.0,1.0,1.0,0.27299925205684367,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
