window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,is_boundary,edges_prev,edges_curr,persistent,lost,gained,absent,gross_support_change,net_edge_change,rewiring,jaccard,cross_support_change_share,transition_energy,TI_total,TI_same,TI_cross,same_energy_share,cross_energy_share,support_change_energy,persistent_change_energy,support_energy_share,persistent_energy_share
21,22,2025-09-10,2025-10-16,R3,R3,Within R3,False,54,54,51,3,3,48,6,0,6,0.8947368421052632,1.0,0.02002084541930324,0.14149503673027983,0.08838176755644146,0.11049664512057544,0.39016018918309475,0.6098398108169051,0.0005544857241391215,0.019466359695164116,0.027695420074744202,0.9723045799252557
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,True,54,44,44,10,0,51,10,-10,0,0.8148148148148148,0.9,0.12591736152164687,0.3548483641242367,0.24767646094617182,0.2541136206794636,0.487173719060773,0.512826280939227,0.013267058650139678,0.1126503028715072,0.10536321989131653,0.8946367801086835
23,24,2025-11-13,2025-12-11,R4,R4,Within R4,False,44,42,40,4,2,59,6,-2,4,0.8695652173913043,0.8333333333333334,0.020905742882718605,0.1445881837589732,0.07691550515719872,0.12243262616284739,0.28298420040731603,0.7170157995926839,0.002673454105749735,0.01823228877696887,0.1278813252773573,0.8721186747226427
24,25,2025-12-11,2026-01-12,R4,R4,Within R4,False,42,42,40,2,2,61,4,0,4,0.9090909090909091,1.0,0.01257322613838451,0.11213039792306326,0.05966643424528866,0.09493757297738949,0.2831479634871801,0.7168520365128199,0.00040216693093270194,0.012171059207451809,0.03198597770423741,0.9680140222957626
25,26,2026-01-12,2026-02-09,R4,R4,Within R4,False,42,40,38,4,2,61,6,-2,4,0.8636363636363636,0.8333333333333334,0.011796671315790966,0.10861248232036208,0.08204782350324855,0.07116759075710476,0.5706563454564516,0.42934365454354834,0.0014147397337112332,0.010381931582079732,0.11992702821324432,0.8800729717867556
26,27,2026-02-09,2026-03-17,R4,R5,R4→R5 Boundary,True,40,44,39,1,5,60,6,4,2,0.8666666666666667,0.8333333333333334,0.018484720443720414,0.1359585247188289,0.11266631960972624,0.07609875734412112,0.6867130943661772,0.31328690563382255,0.0024801850157348372,0.01600453542798557,0.1341748728787186,0.8658251271212811
27,28,2026-03-17,2026-04-15,R5,R5,Within R5,False,44,45,42,2,3,58,5,1,4,0.8936170212765957,1.0,0.01764122168555234,0.1328202608247414,0.09500675123428562,0.09281669518712089,0.5116585994430137,0.4883414005569865,0.00205429434883833,0.01558692733671401,0.11644853091556233,0.8835514690844377
28,29,2026-04-15,2026-05-18,R5,R5,Within R5,False,45,42,39,6,3,57,9,-3,6,0.8125,1.0,0.04188841743835654,0.20466660069087125,0.14137490479520437,0.14799173535202376,0.4771453525372733,0.5228546474627266,0.009347637683060071,0.03254077975529648,0.22315566580704935,0.7768443341929507
29,30,2026-05-18,2026-06-15,R5,R5,Within R5,False,42,41,39,3,2,61,5,-1,4,0.8863636363636364,1.0,0.05449161054981249,0.23343438167890454,0.1616570346688669,0.16840015941762423,0.47957835333279875,0.5204216466672013,0.02321021412019888,0.031281396429613605,0.42594105562326323,0.5740589443767367
30,31,2026-06-15,2026-07-14,R5,R5,Within R5,False,41,40,39,2,1,63,3,-1,2,0.9285714285714286,0.6666666666666666,0.02208605438873034,0.14861377590496225,0.10602060132445436,0.10414262568003291,0.5089350821726862,0.4910649178273139,0.0019775609052760357,0.020108493483454302,0.08953889501807569,0.9104611049819242
