window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,pair_key,stock_i,name_i,industry_i,stock_j,name_j,industry_j,relation,partial_prev,partial_curr,delta_partial,abs_delta_partial,transition_energy,selected_prev,selected_curr,support_change
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601288|601318,601288,农业银行,银行,601318,中国平安,非银金融,Cross,0.0016962153170404,0.0,-0.0016962153170404,0.0016962153170404,2.8771464017624648e-06,True,False,Lost
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030|601288,601288,农业银行,银行,600030,中信证券,非银金融,Cross,0.0123897497488341,0.0212803175638221,0.008890567814988001,0.008890567814988001,7.904219607290052e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|600519,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,Same,0.2878049850893767,0.2821083587571512,-0.005696626332225507,0.005696626332225507,3.245155156900503e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|600519,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,Same,0.3026034863043405,0.2770313427436757,-0.025572143560664784,0.025572143560664784,0.0006539345262872494,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600519|600887,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,Same,0.0926952878065544,0.0737705290777967,-0.018924758728757693,0.018924758728757693,0.0003581464929416905,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|600519,600519,贵州茅台,食品饮料,002460,赣锋锂业,新能源,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|600519,600519,贵州茅台,食品饮料,002415,海康威视,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|600519,600519,贵州茅台,食品饮料,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600519|603501,600519,贵州茅台,食品饮料,603501,韦尔股份,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475|600519,600519,贵州茅台,食品饮料,002475,立讯精密,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600519|601318,600519,贵州茅台,食品饮料,601318,中国平安,非银金融,Cross,0.0188008887658272,0.0544313833751758,0.0356304946093486,0.0356304946093486,0.0012695321461068194,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030|600519,600519,贵州茅台,食品饮料,600030,中信证券,非银金融,Cross,0.0509378786773158,0.0335830842927377,-0.0173547943845781,0.0173547943845781,0.0003011888881309835,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|000858,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,Same,0.432042799086654,0.4624456249721321,0.030402825885478102,0.030402825885478102,0.0009243318218226974,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|600887,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,Same,0.076772400367927,0.0724822811087731,-0.004290119259153902,0.004290119259153902,1.8405123257763223e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|002460,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,Cross,0.0536475240202424,0.0588629494023151,0.0052154253820727026,0.0052154253820727026,2.7200661915968197e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|002415,000858,五粮液,食品饮料,002415,海康威视,电子,Cross,0.0358975105231118,0.0336416950219047,-0.002255815501207098,0.002255815501207098,5.088703575486231e-06,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|000858,000858,五粮液,食品饮料,000725,京东方A,电子,Cross,0.0,0.0053680719921097,0.0053680719921097,0.0053680719921097,2.8816196912472605e-05,False,True,Gained
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|603501,000858,五粮液,食品饮料,603501,韦尔股份,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|002475,000858,五粮液,食品饮料,002475,立讯精密,电子,Cross,0.0,0.006244710180167,0.006244710180167,0.006244710180167,3.899640523428136e-05,False,True,Gained
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|601318,000858,五粮液,食品饮料,601318,中国平安,非银金融,Cross,0.0303794471107842,0.0305475364744824,0.00016808936369819977,0.00016808936369819977,2.8254034188465678e-08,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858|600030,000858,五粮液,食品饮料,600030,中信证券,非银金融,Cross,0.0,0.0008510970648317,0.0008510970648317,0.0008510970648317,7.24366213765135e-07,False,True,Gained
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|600887,000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,Same,0.1075046645819745,0.0928514975391248,-0.01465316704284969,0.01465316704284969,0.00021471530438565636,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|002460,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|002415,000568,泸州老窖,食品饮料,002415,海康威视,电子,Cross,0.0120908658435051,0.0,-0.0120908658435051,0.0120908658435051,0.0001461890368456383,True,False,Lost
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|000725,000568,泸州老窖,食品饮料,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|603501,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|002475,000568,泸州老窖,食品饮料,002475,立讯精密,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|601318,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,Cross,0.019274698086826,0.0043320514968841,-0.014942646589941901,0.014942646589941901,0.00022328268711190234,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568|600030,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,Cross,0.0048696463990619,0.0,-0.0048696463990619,0.0048696463990619,2.371345605189653e-05,True,False,Lost
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|600887,600887,伊利股份,食品饮料,002460,赣锋锂业,新能源,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|600887,600887,伊利股份,食品饮料,002415,海康威视,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|600887,600887,伊利股份,食品饮料,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600887|603501,600887,伊利股份,食品饮料,603501,韦尔股份,电子,Cross,0.0009054138581179,0.0,-0.0009054138581179,0.0009054138581179,8.197742544719407e-07,True,False,Lost
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475|600887,600887,伊利股份,食品饮料,002475,立讯精密,电子,Cross,0.024921350596135,0.0,-0.024921350596135,0.024921350596135,0.0006210737155354784,True,False,Lost
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600887|601318,600887,伊利股份,食品饮料,601318,中国平安,非银金融,Cross,0.0454793685764849,0.1281847415265966,0.08270537295011168,0.08270537295011168,0.0068401787148170655,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030|600887,600887,伊利股份,食品饮料,600030,中信证券,非银金融,Cross,0.067487378857493,0.0461827479373799,-0.021304630920113095,0.021304630920113095,0.0004538872986422389,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|002460,002460,赣锋锂业,新能源,002415,海康威视,电子,Cross,0.0,0.0025973436751003,0.0025973436751003,0.0025973436751003,6.746194166583533e-06,False,True,Gained
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|002460,002460,赣锋锂业,新能源,000725,京东方A,电子,Cross,0.0595141093329478,0.0949341805544261,0.0354200712214783,0.0354200712214783,0.0012545814453345952,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|603501,002460,赣锋锂业,新能源,603501,韦尔股份,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|002475,002460,赣锋锂业,新能源,002475,立讯精密,电子,Cross,0.0052142912899989,0.00267932330959,-0.0025349679804089003,0.0025349679804089003,6.426062661698379e-06,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|601318,002460,赣锋锂业,新能源,601318,中国平安,非银金融,Cross,0.0789413703851699,0.0747635419451947,-0.004177828439975204,0.004177828439975204,1.7454250473865643e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460|600030,002460,赣锋锂业,新能源,600030,中信证券,非银金融,Cross,0.0157494276496597,0.033703697357249,0.017954269707589298,0.017954269707589298,0.0003223558007328587,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|002415,002415,海康威视,电子,000725,京东方A,电子,Same,0.0831924020610831,0.0806689664944478,-0.0025234355666352987,0.0025234355666352987,6.367727058960011e-06,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|603501,002415,海康威视,电子,603501,韦尔股份,电子,Same,0.0844608633040317,0.0967600942628345,0.012299230958802795,0.012299230958802795,0.00015127108217797313,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|002475,002415,海康威视,电子,002475,立讯精密,电子,Same,0.147280877694567,0.1323167555049997,-0.014964122189567303,0.014964122189567303,0.00022392495290430052,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|601318,002415,海康威视,电子,601318,中国平安,非银金融,Cross,0.0519774694816072,0.088572315471876,0.0365948459902688,0.0365948459902688,0.0013391827530514924,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415|600030,002415,海康威视,电子,600030,中信证券,非银金融,Cross,0.0402097263454923,0.0366187231916634,-0.0035910031538289033,0.0035910031538289033,1.289530365080913e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|603501,000725,京东方A,电子,603501,韦尔股份,电子,Same,0.2216095688012091,0.1928055613322598,-0.028804007468949316,0.028804007468949316,0.000829670846271288,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|002475,000725,京东方A,电子,002475,立讯精密,电子,Same,0.1129989944053211,0.1503736925755595,0.03737469817023839,0.03737469817023839,0.001396868063316421,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|601318,000725,京东方A,电子,601318,中国平安,非银金融,Cross,0.0307692781035238,0.0379884952457129,0.007219217142189097,0.007219217142189097,5.2117096146076915e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725|600030,000725,京东方A,电子,600030,中信证券,非银金融,Cross,0.08654300711458,0.0806965096521417,-0.005846497462438302,0.005846497462438302,3.4181532578297507e-05,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475|603501,603501,韦尔股份,电子,002475,立讯精密,电子,Same,0.1767665078379749,0.2005980513678855,0.023831543529910598,0.023831543529910598,0.0005679424670180237,True,True,Persistent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601318|603501,603501,韦尔股份,电子,601318,中国平安,非银金融,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030|603501,603501,韦尔股份,电子,600030,中信证券,非银金融,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475|601318,002475,立讯精密,电子,601318,中国平安,非银金融,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475|600030,002475,立讯精密,电子,600030,中信证券,非银金融,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030|601318,601318,中国平安,非银金融,600030,中信证券,非银金融,Same,0.2066298751635683,0.2281492855163938,0.021519410352825508,0.021519410352825508,0.00046308502193329363,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|600036,000001,平安银行,银行,600036,招商银行,银行,Same,0.4129427018916406,0.3756617087457994,-0.03728099314584121,0.03728099314584121,0.0013898724499402594,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|601398,000001,平安银行,银行,601398,工商银行,银行,Same,0.0518457405826494,0.0628704070755287,0.011024666492879295,0.011024666492879295,0.00012154327127921547,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|601288,000001,平安银行,银行,601288,农业银行,银行,Same,0.0,0.0,0.0,0.0,0.0,False,False,Absent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|600519,000001,平安银行,银行,600519,贵州茅台,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|000858,000001,平安银行,银行,000858,五粮液,食品饮料,Cross,0.0821289628468928,0.0932823292004825,0.011153366353589697,0.011153366353589697,0.00012439758101738673,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|000568,000001,平安银行,银行,000568,泸州老窖,食品饮料,Cross,0.0193445378523958,0.0191435833034791,-0.0002009545489167,0.0002009545489167,4.038273073031437e-08,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|600887,000001,平安银行,银行,600887,伊利股份,食品饮料,Cross,0.0543180591034649,0.0785137222561541,0.024195663152689208,0.024195663152689208,0.0005854301153984023,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|002460,000001,平安银行,银行,002460,赣锋锂业,新能源,Cross,0.0,0.0043629057515293,0.0043629057515293,0.0043629057515293,1.9034946596727446e-05,False,True,Gained
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|002415,000001,平安银行,银行,002415,海康威视,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|000725,000001,平安银行,银行,000725,京东方A,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|603501,000001,平安银行,银行,603501,韦尔股份,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|002475,000001,平安银行,银行,002475,立讯精密,电子,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|601318,000001,平安银行,银行,601318,中国平安,非银金融,Cross,0.2213753641445772,0.2150409498245964,-0.006334414319980802,0.006334414319980802,4.012480477717785e-05,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001|600030,000001,平安银行,银行,600030,中信证券,非银金融,Cross,0.1687416567733537,0.1613514369302562,-0.007390219843097512,0.007390219843097512,5.461534932931221e-05,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,600036|601398,600036,招商银行,银行,601398,工商银行,银行,Same,0.0601817858395007,0.0626082547916542,0.002426468952153503,0.002426468952153503,5.887751575764918e-06,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,600036|601288,600036,招商银行,银行,601288,农业银行,银行,Same,0.0299736825762913,0.0459175539025717,0.015943871326280397,0.015943871326280397,0.00025420703286898623,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,600036|600519,600036,招商银行,银行,600519,贵州茅台,食品饮料,Cross,0.0514020294536208,0.057813018829158,0.0064109893755371974,0.0064109893755371974,4.110078477325082e-05,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000858|600036,600036,招商银行,银行,000858,五粮液,食品饮料,Cross,0.0449658758077316,0.0617507990663852,0.0167849232586536,0.0167849232586536,0.00028173364879889053,True,True,Persistent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000568|600036,600036,招商银行,银行,000568,泸州老窖,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,False,False,Absent
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,600036|600887,600036,招商银行,银行,600887,伊利股份,食品饮料,Cross,0.1221838111539421,0.098410803039878,-0.023773008114064104,0.023773008114064104,0.0005651559147913577,True,True,Persistent
