window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,stock,name,industry,driver_score,driver_share,same_driver_score,cross_driver_score,same_driver_share,cross_driver_share,support_change_score,persistent_change_score,support_change_share,persistent_change_share,support_turnover,driver_rank
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,600036,招商银行,银行,0.0002673441143021634,0.017140210367785017,0.00025430011631784907,1.3043997984314393e-05,0.9512089577196696,0.048791042280330606,0.0,0.00026734411430216347,0.0,1.0000000000000002,0,12
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,600519,贵州茅台,食品饮料,0.000373387925850594,0.023938988200939437,2.7014953466785928e-05,0.00034637297238380803,0.07235090263094257,0.9276490973690574,0.00020452921447251446,0.00016885871137807944,0.5477660103941175,0.45223398960588224,2,10
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,600887,伊利股份,食品饮料,0.0007941852591561747,0.050917531693049654,0.0001462846380491271,0.0006479006211070476,0.18419460240870644,0.8158053975912936,0.0,0.0007941852591561746,0.0,0.9999999999999999,0,7
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,601288,农业银行,银行,0.00017732618473076115,0.011368898537136629,0.00017732618473076115,0.0,1.0,0.0,0.0,0.00017732618473076115,0.0,1.0,0,13
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,601318,中国平安,非银金融,0.000957907130500146,0.06141421804789264,0.00034885097676658563,0.0006090561537335604,0.36418037371163764,0.6358196262883623,0.0,0.0009579071305001459,0.0,0.9999999999999999,0,6
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,601398,工商银行,银行,0.0001562699114821083,0.010018919488652474,0.0001562699114821083,0.0,1.0,0.0,0.0,0.0001562699114821083,0.0,1.0,0,14
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,603501,韦尔股份,电子,0.0004541614005432926,0.02911761108547028,0.00034390475104635246,0.00011025664949694015,0.7572302503800518,0.2427697496199482,0.0,0.0004541614005432926,0.0,1.0,0,9
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,000001,平安银行,银行,0.0020396816404897934,0.11886734026068764,0.0006628671020709523,0.0013768145384188408,0.3249855707441562,0.6750144292558437,0.0,0.002039681640489793,0.0,0.9999999999999998,0,2
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,000568,泸州老窖,食品饮料,0.0011216246928251812,0.06536536945776722,0.0001811254488287851,0.0009404992439963961,0.1614848977446823,0.8385151022553177,0.0,0.0011216246928251812,0.0,1.0,0,7
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,000725,京东方A,电子,0.0020189459753948156,0.11765891963785725,0.0003774568005147342,0.001641489174880081,0.18695735552850568,0.8130426444714941,0.0,0.002018945975394815,0.0,0.9999999999999998,0,3
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,000858,五粮液,食品饮料,0.000826507036618556,0.048166680132493034,3.235972137689043e-05,0.0007941473152416656,0.039152384605558865,0.9608476153944411,0.0,0.000826507036618556,0.0,1.0,0,10
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,002415,海康威视,电子,0.0007662384724025451,0.0446543849843309,0.0004541777111135046,0.00031206076128904045,0.5927367620806455,0.4072632379193545,0.0,0.0007662384724025451,0.0,1.0,0,11
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,002460,赣锋锂业,新能源,0.0028358965874362005,0.1652686762047602,0.0,0.0028358965874362005,0.0,1.0,0.0,0.0028358965874362005,0.0,1.0,0,1
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,002475,立讯精密,电子,0.0011611486549672756,0.06766872315921384,0.0004271215905402405,0.0007340270644270352,0.3678440212741563,0.6321559787258437,0.0,0.0011611486549672756,0.0,1.0,0,6
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,600030,中信证券,非银金融,0.0011937463975218105,0.06956843480001172,1.083986957711783e-06,0.0011926624105640987,0.0009080546420597496,0.9990919453579402,2.0996467646603964e-05,0.0011727499298752066,0.017588717076082606,0.9824112829239174,1,5
