analysis_date,window,eligible_stock_count,possible_unordered_pairs,density_fraction,density_percent,approximate_edge_count,approximate_mean_degree,is_primary_density,important_note
2018-08-31,60,3263,5321953,0.005,0.5,26609,16.309531106343854,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-08-31,60,3263,5321953,0.01,1.0,53219,32.61967514557156,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-08-31,60,3263,5321953,0.02,2.0,106439,65.23996322402697,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-09-28,60,3334,5556111,0.002,0.2,11112,6.665866826634673,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-09-28,60,3334,5556111,0.005,0.5,27780,16.664667066586684,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-09-28,60,3334,5556111,0.01,1.0,55561,33.32993401319736,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-09-28,60,3334,5556111,0.02,2.0,111122,66.65986802639472,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-10-31,60,3359,5639761,0.002,0.2,11279,6.715689193212266,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-10-31,60,3359,5639761,0.005,0.5,28198,16.78952069068175,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-10-31,60,3359,5639761,0.01,1.0,56397,33.579636796665675,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-10-31,60,3359,5639761,0.02,2.0,112795,67.15986900863352,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-11-30,60,3374,5690251,0.002,0.2,11380,6.745702430349733,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-11-30,60,3374,5690251,0.005,0.5,28451,16.864848844101957,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-11-30,60,3374,5690251,0.01,1.0,56902,33.72969768820391,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-11-30,60,3374,5690251,0.02,2.0,113805,67.45998814463545,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-12-28,60,3426,5867025,0.002,0.2,11734,6.849970811441914,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-12-28,60,3426,5867025,0.005,0.5,29335,17.124927028604787,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-12-28,60,3426,5867025,0.01,1.0,58670,34.249854057209575,True,Approximation only. Step 2 will use the exact common valid pair universe.
