analysis_date,window,density_fraction,degree_spearman_raw_residual,strength_spearman_raw_residual,median_abs_degree_percentile_change,p90_abs_degree_percentile_change,median_abs_strength_percentile_change,p90_abs_strength_percentile_change,top1pct_degree_hub_overlap,top1pct_degree_hub_jaccard,top1pct_strength_hub_overlap,top1pct_strength_hub_jaccard,top5pct_degree_hub_overlap,top5pct_degree_hub_jaccard,top5pct_strength_hub_overlap,top5pct_strength_hub_jaccard
2016-04-29,120,0.01,0.41236325102679644,0.4174212011105597,0.16730862855911255,0.5318246483802795,0.17501205205917358,0.5272026658058167,0.047619047619047616,0.024390243902439025,0.09523809523809523,0.05,0.15384615384615385,0.08333333333333333,0.1346153846153846,0.07216494845360824
2016-05-31,120,0.01,0.30139936905658593,0.31020928832852496,0.2149246633052826,0.5720809102058411,0.2149246633052826,0.5656307935714722,0.0,0.0,0.0,0.0,0.14018691588785046,0.07537688442211055,0.14953271028037382,0.08080808080808081
2016-06-30,120,0.01,0.2822064094705407,0.2865433028387255,0.21602946519851685,0.5824505090713501,0.21879315376281738,0.5831414461135864,0.0,0.0,0.0,0.0,0.14678899082568808,0.07920792079207921,0.13761467889908258,0.07389162561576355
2016-07-29,120,0.01,0.324589746481594,0.329968655587709,0.20973610877990723,0.5714285969734192,0.21087351441383362,0.562147319316864,0.0,0.0,0.0,0.0,0.09090909090909091,0.047619047619047616,0.06363636363636363,0.03286384976525822
2016-08-31,120,0.01,0.3433300392142134,0.3530612096655949,0.2028343677520752,0.5531443953514099,0.20239147543907166,0.5550042986869812,0.0,0.0,0.0,0.0,0.02654867256637168,0.013452914798206279,0.008849557522123894,0.0044444444444444444
2016-09-30,120,0.01,0.3590384192334191,0.37090418608240405,0.19812554121017456,0.5538360476493835,0.19638186693191528,0.5504359006881714,0.0,0.0,0.0,0.0,0.06956521739130435,0.036036036036036036,0.043478260869565216,0.022222222222222223
2016-10-31,120,0.01,0.3777045091763817,0.38904507825779006,0.19460046291351318,0.5519652366638184,0.19503238797187805,0.547429621219635,0.0,0.0,0.0,0.0,0.0603448275862069,0.03111111111111111,0.08620689655172414,0.04504504504504504
2016-11-30,120,0.01,0.5186822345905996,0.5297192944265434,0.16712647676467896,0.46943971514701843,0.16606539487838745,0.4620118737220764,0.0,0.0,0.0,0.0,0.0423728813559322,0.021645021645021644,0.0423728813559322,0.021645021645021644
2016-12-30,120,0.01,0.47188883186988906,0.4828527448023408,0.1799289584159851,0.5102339386940002,0.17585629224777222,0.49617791175842285,0.0,0.0,0.0,0.0,0.025,0.012658227848101266,0.025,0.012658227848101266
2017-01-26,120,0.01,0.42106375105355603,0.4335318171494762,0.18883855640888214,0.5253294706344604,0.1892504096031189,0.5179572105407715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
