analysis_date,window,density_fraction,network_id,n_nodes,n_edges,realized_density,isolated_node_count,isolated_node_share,n_connected_components,giant_component_size,giant_component_share,second_largest_component_size,second_largest_component_share,degree_mean,degree_median,degree_std,degree_cv,degree_p90,degree_p95,degree_p99,degree_max,degree_gini,degree_hhi,top1pct_degree_share,top5pct_degree_share,strength_mean,strength_median,strength_std,strength_cv,strength_p95,strength_p99,strength_max,strength_gini,strength_hhi,top1pct_strength_share,top5pct_strength_share,degree_assortativity,triangle_count,transitivity,mean_local_clustering,mean_local_clustering_degree_ge2
2019-05-31,120,0.01,M1_RESIDUAL_POSITIVE,3532,62204,0.009975390274074666,8,0.0022650056625141564,9,3524,0.9977349943374858,1,0.00028312570781426955,35.22310305775765,23.0,34.895995751323035,0.9907132740151192,80.90000000000009,112.0,164.0,213,0.4840512799991088,0.0005610172115826039,0.051885730821169054,0.20669088804578484,13.304479191503736,8.145048975944519,14.279943434682597,1.0733184838833671,44.67340314686298,68.52867513358595,90.56683912873268,0.5095923002584226,0.0006092900814965148,0.058186808248969955,0.22474003011799484,0.4766911750577631,502758.0,0.3524559708701791,0.24414323334037855,0.24574348821835768
2019-06-28,120,0.01,M1_RESIDUAL_POSITIVE,3546,62665,0.00997011273156269,10,0.0028200789622109417,11,3536,0.9971799210377891,1,0.0002820078962210942,35.34404963338974,23.0,35.738988694042376,1.0111741315652618,82.0,117.0,176.0,216,0.4863237083428569,0.0005703533909607337,0.054536024894279105,0.2126146971993936,13.302132462083588,8.21094922721386,14.620292222435507,1.0990938681530351,45.9631240516901,72.96095815002923,96.93199160695076,0.512290182326421,0.0006226755022593349,0.06105901301459821,0.2324243573734363,0.5028811601455982,523654.0,0.35568046307048645,0.2387232367979897,0.2413091783596555
2019-07-31,120,0.01,M1_RESIDUAL_POSITIVE,3561,63192,0.00996942532870138,7,0.001965739960685201,8,3554,0.9980342600393148,1,0.0002808199943836001,35.49115417017692,24.0,33.723506856950614,0.9501947075389379,80.0,111.0,158.4000000000001,215,0.46774112755111497,0.0005343639377239561,0.04908849221420433,0.20002531966071654,13.293045380047888,8.642426699399948,13.744932851069326,1.0339942773158433,43.95067250728607,67.13225739598275,88.51063188910484,0.49337016324970917,0.0005810570529407226,0.05562965315150175,0.21929280597450773,0.4891591852797277,473781.0,0.338054167420822,0.23316174612838103,0.2349431177032158
2019-08-30,120,0.01,M1_RESIDUAL_POSITIVE,3570,63526,0.009971643462652642,6,0.0016806722689075631,7,3564,0.9983193277310924,1,0.00028011204481792715,35.588795518207284,27.0,30.195610417164776,0.8484583413820974,73.0,97.0,147.0,219,0.42785739110680643,0.000481759539792958,0.0469414098164531,0.1806268299593867,12.843593175254282,9.360735520720482,11.745781405262077,0.9145245606107054,36.9706048429012,57.85134516090153,85.93810403347015,0.45124275116542867,0.000514385202229749,0.05167112263049588,0.19407450745459395,0.455574793654233,384499.0,0.30158313911868995,0.22204602453766795,0.2232341052096521
2019-09-30,120,0.01,M1_RESIDUAL_POSITIVE,3580,63938,0.009980316589166163,4,0.0011173184357541898,5,3576,0.9988826815642458,1,0.00027932960893854746,35.7195530726257,28.0,29.047958953312513,0.8132229116711407,73.0,93.0,146.0,246,0.4109301984411924,0.00046405907934829276,0.045856923895023306,0.1733710782320373,12.595362442964948,9.407872930169106,10.991014804365156,0.8726239402903495,34.00367156118151,54.79512741208077,92.7150211930275,0.433551760041623,0.0004920314360804066,0.05035541668725363,0.18441092795776004,0.43459466382575246,348174.0,0.28001228864812006,0.21479784948987082,0.21521866811467602
2019-10-31,120,0.01,M1_RESIDUAL_POSITIVE,3594,64474,0.009985718536057793,0,0.0,1,3594,1.0,0,0.0,35.878686700055646,28.0,29.628215222734955,0.8257887327489332,71.0,93.0,156.0,237,0.4017788295779403,0.00046798192296468804,0.0504311815615597,0.18162360021093774,12.325778380940209,9.007179632782936,11.022221074012657,0.8942413804110506,33.35589432418346,58.31481167554856,85.35182166099548,0.4280342695255843,0.0005007422499831557,0.05503893032570589,0.19408773033208745,0.47262483879891953,369552.0,0.2897514551526032,0.20337984663708808,0.20349308708621783
2019-11-29,120,0.01,M1_RESIDUAL_POSITIVE,3600,64704,0.009987959618412522,0,0.0,1,3600,1.0,0,0.0,35.946666666666665,24.0,37.892053403201984,1.0541186963056932,70.0,116.09999999999945,205.00999999999976,332,0.4606153663864161,0.0005864350627503373,0.06681194362017805,0.23415090257171117,12.46459742916955,8.00088357925415,14.12116788084264,1.1329020420504234,40.21541574001312,76.50847781389949,129.42624920606613,0.4866323885093726,0.0006342963991338942,0.07248704223758168,0.2489327185998909,0.5147325674610064,535950.0,0.33181354879011926,0.20573049944988345,0.20595934316451067
2019-12-31,120,0.01,M1_RESIDUAL_POSITIVE,3635,65954,0.009985775485840212,1,0.0002751031636863824,2,3634,0.9997248968363136,1,0.0002751031636863824,36.28830811554333,23.0,41.25280817616551,1.1368071513506506,73.0,119.0,222.63999999999942,339,0.48756769285950163,0.0006306273725892658,0.07261879491766988,0.25204688115959606,12.76809234030473,7.709349572658539,15.529683724644011,1.2162884877971811,42.46489434540266,85.47515172183509,134.97060623764992,0.5124609413660288,0.000682079143204389,0.07872566770811056,0.2665822986702421,0.5081611340488751,625842.0,0.3463804254138428,0.2134718624412632,0.2138837431019823
2020-01-23,120,0.01,M1_RESIDUAL_POSITIVE,3647,66413,0.009989199036591968,5,0.0013709898546750755,6,3642,0.9986290101453249,1,0.00027419797093501506,36.420619687414316,22.0,42.169753601808786,1.1578538191754373,88.0,128.69999999999982,207.6199999999999,304,0.523602950851241,0.000641794753654825,0.06756960233689187,0.24413894869980274,13.390729708036789,7.405805379152298,16.55224838345629,1.2360975648341281,49.44946531653403,81.44475674271584,122.49610435962677,0.548708482834765,0.00069315524809127,0.07198574020798028,0.2598071764287588,0.4719752051413485,719758.0,0.38592246284158027,0.24721263228660723,0.24898770227817082
2020-02-28,120,0.01,M1_RESIDUAL_POSITIVE,3657,66794,0.009991629015185648,192,0.052502050861361775,200,3451,0.943669674596664,2,0.0005468963631391851,36.52939567951873,14.0,57.632459905619925,1.5777008853703334,106.0,162.39999999999964,280.32000000000016,386,0.6669036422631298,0.0009540990111288852,0.08901248615145073,0.3227909692487349,16.23567551296201,5.724350661039352,26.73001580023182,1.6463753404588237,75.6257451832294,132.58064419388774,181.09498658776283,0.6814420178995702,0.0010146436318487577,0.09524591566221113,0.3379862002732316,0.4217070334932188,1348795.0,0.4790597635900444,0.32894038587036967,0.37013384342398215
2020-03-31,120,0.01,M1_RESIDUAL_POSITIVE,3668,67189,0.009990516377166862,127,0.03462377317339149,133,3530,0.9623773173391494,3,0.0008178844056706652,36.63522355507088,19.0,48.79587690940573,1.331938833021032,97.0,143.64999999999964,239.65999999999985,340,0.6049767560260235,0.0007562870923962453,0.07610620786140589,0.27089255681733615,16.074533885330645,7.7818543910980225,22.477505737420053,1.3983301722939945,65.82845350056884,109.04698132485152,164.5665124952793,0.6208562730497047,0.0008057053627992781,0.0814442383687036,0.28561980910993673,0.44297469765232284,1006177.0,0.4464544177457042,0.32788343852736546,0.3582592947626977
2020-04-30,120,0.01,M1_RESIDUAL_POSITIVE,3700,68349,0.00998794414852809,135,0.03648648648648649,137,3563,0.962972972972973,2,0.0005405405405405405,36.9454054054054,19.0,47.63354192927016,1.289295418647673,98.0,141.04999999999973,228.00999999999976,320,0.5965681025800411,0.0007195358585259129,0.07003028573936707,0.26124742132291623,16.191890156462385,7.810019314289093,21.959284958163614,1.356190336395,64.69005465656515,107.50674195945257,152.83727794885635,0.6130485356848048,0.0007673654671705902,0.07531045663741298,0.2769345359345821,0.4579489093264485,1002999.0,0.45218169998247776,0.33110655332703337,0.35905458596425077
2020-05-29,120,0.01,M1_RESIDUAL_POSITIVE,3715,68897,0.009986874443287231,100,0.026917900403768506,105,3607,0.97092866756393,2,0.0005383580080753701,37.09125168236878,20.0,46.02824361348777,1.2409460863615762,98.0,139.0,214.0,300,0.5851835119860491,0.0006837004547122781,0.06728159426390119,0.24964076810311045,15.976906639104897,7.976766377687454,20.93055620316517,1.3100506046605904,61.881130605935994,100.36980180919176,139.08611449599266,0.6028342314210715,0.0007311527824418785,0.07264448289416281,0.26619018158664637,0.4533236843931717,956777.0,0.4469613790485243,0.3235724787272306,0.3463185705766816
2020-06-30,120,0.01,M1_RESIDUAL_POSITIVE,3729,69405,0.009985101115603603,101,0.02708500938589434,103,3626,0.972378653794583,2,0.0005363368195226602,37.22445695897024,19.0,45.716685360314145,1.2281357229926622,98.0,138.0,215.7199999999998,284,0.5826019537906864,0.0006726514760232525,0.06450543908940277,0.24652402564656725,15.80082602339796,7.520664393901825,20.531611050195348,1.2994011211687295,61.484247237443874,98.73853564381598,130.46199959516525,0.6015484740209067,0.0007209555574402122,0.06980195138235046,0.2637467767217064,0.45215472256138356,975367.0,0.45641938096319573,0.32463969465134374,0.34538699610695023
