analysis_date,universe_n,adv20_n,adv20_mean,adv20_p01,adv20_p05,adv20_p10,adv20_p25,adv20_p50,adv20_p75,adv20_p90,adv20_p95,adv20_p99,adv60_n,adv60_mean,adv60_p01,adv60_p05,adv60_p10,adv60_p25,adv60_p50,adv60_p75,adv60_p90,adv60_p95,adv60_p99
2020-03-31,3748,3748,220572339.30337712,10160618.711930092,18363893.745824356,25201336.13054985,46016256.412499994,98435809.17749901,218099754.79899997,480056816.6563507,799364458.6962253,1944167990.8704991,3744,223813018.0848905,10340820.96524495,18902658.01941666,26298898.00468353,48251883.765165776,104848898.8107493,225615532.11399993,487664821.01803476,806294470.2366651,1935169196.3503387
2020-04-30,3770,3770,164275077.62830532,8121545.730085113,13068102.052150803,17519085.012400284,32638520.966624834,71825870.2090004,165606451.6482498,361651625.9076998,623787568.194998,1494825943.3970597,3762,217104641.0831613,9922158.351354597,18311274.63169195,25698843.271400034,46943299.199166745,102544332.43333334,219708521.06816638,469896539.9497011,803748369.4816033,1879124924.3226988
2020-05-29,3782,3782,159353428.71735257,6146198.964349876,10632197.637149392,14399887.36,27589615.759500124,65787387.987248994,160859725.8125,359216737.87000006,609119181.8971971,1538027363.431145,3780,184536582.31334123,9430276.55524011,16452784.625416705,22343909.67604996,40340305.75254163,85093382.37408385,185072034.58895785,400115948.86205006,678649061.6891818,1653595856.673201
2020-06-30,3788,3788,183891828.18895602,6947311.189020012,12383829.127274742,17215309.89199894,31982565.34800019,77798649.82499999,187261465.2106243,406445918.3124525,680813161.7716218,1675698877.6373224,3785,169312407.85318324,8131205.336666667,14160381.637133129,18841667.84853312,34344117.53033345,77185340.61666666,175580330.36883292,372514560.27333325,632294778.7733327,1510514250.4505327
2020-07-31,3808,3808,343389625.3965725,12333459.1965,27388367.521874752,37835818.769999996,69360134.1125,146857891.12399942,340617533.5797439,750871436.7356485,1246864628.2318995,3305847835.695929,3805,235800567.7893878,9858408.87,19562410.610000003,26065967.87486679,47439440.49216639,102937985.5973343,238004674.98716533,528130101.96650183,839399709.7780346,2043184681.3507578
2020-08-31,3829,3829,262710736.8679091,9720086.92,22144109.57400055,31787949.427399904,56527785.754499815,122387301.0,268430366.35500795,565577648.3417,899722928.9099998,2389976632.411325,3822,271322845.6581059,11399985.121467924,24327428.616666663,32551642.67661775,59527890.2375,124649998.30000001,276749721.9556244,576100097.4148496,928995282.5704417,2570405201.250413
2020-09-30,3867,3867,186437112.6120405,6782112.527290436,14721327.700649872,20712782.96,37678202.44225025,84222241.95,200878498.52125016,415972291.51551026,657346681.9729518,1589015247.1297224,3856,256616518.8412171,10652174.898041472,24015908.58441693,34650805.59050013,61234196.47254066,124341070.35133336,271495671.19433284,536766388.7013331,848790584.2430822,2212702524.3649955
2020-10-30,3903,3903,171004654.3943974,5023013.451759994,10123656.940000001,14445967.348699646,28532399.525,71266494.29800263,178742297.89725,387108377.1760013,610463223.6129493,1483497312.5814338,3894,216362875.06595898,8454328.933666667,19144731.370833334,26810925.044999998,48442200.10854117,106797330.07074979,234671670.91870973,460534497.44095033,698101708.7717162,1858088181.0423346
2020-11-30,3968,3968,200750802.46547368,6448226.049,11775070.962497864,17261987.119900513,34959690.6192503,84212232.6342495,195185711.6096243,439120707.04579806,718629628.7299991,2108956664.3037705,3955,192904730.0216221,6928924.232593328,14293820.278599726,20297925.444199983,39483208.20816625,89424366.72549935,208507100.20975,410727531.37449974,664169050.5886352,1740326972.814913
2020-12-31,4029,4029,195485916.45053747,5913883.035039154,10659841.62090042,15352111.786801148,30188303.359999847,69289273.40850067,177052366.8800003,426808652.76960135,757725670.579195,2122597631.1859958,4022,194421757.48693883,6567428.5545,12644650.875149995,17946901.67513326,36695826.06629174,85167546.31649983,193689945.2357928,424232211.57230145,716990421.9586157,1904276132.2459998
