analysis_date,universe_n,current_record_n,current_record_share,current_open_known_n,current_open_share,current_suspended_n,full_coverage_20_n,full_coverage_20_share,coverage_20_ge_80pct_share,adv20_nonmissing_share,full_coverage_60_n,full_coverage_60_share,coverage_60_ge_80pct_share,adv60_nonmissing_share
2023-05-31,4922,4922,1.0,4922,0.9945144250304754,27,4922,1.0,1.0,1.0,4916,0.9987809833401057,1.0,0.9987809833401057
2023-06-30,4928,4928,1.0,4928,0.9969561688311688,15,4928,1.0,1.0,1.0,4912,0.9967532467532467,1.0,0.9967532467532467
2023-07-31,4938,4938,1.0,4938,0.9997974888618874,1,4938,1.0,1.0,1.0,4933,0.998987444309437,1.0,0.998987444309437
2023-08-31,4968,4968,1.0,4968,0.999597423510467,2,4968,1.0,1.0,1.0,4962,0.998792270531401,1.0,0.998792270531401
2023-09-28,5004,5004,1.0,5004,0.9988009592326139,6,5004,1.0,1.0,1.0,4996,0.9984012789768185,1.0,0.9984012789768185
2023-10-31,5028,5028,1.0,5028,0.9998011137629276,1,5028,1.0,1.0,1.0,5023,0.999005568814638,1.0,0.999005568814638
2023-11-30,5051,5051,1.0,5051,0.9998020194020986,1,5051,1.0,1.0,1.0,5048,0.9994060582062958,1.0,0.9994060582062958
2023-12-29,5065,5065,1.0,5065,0.9986179664363277,7,5065,1.0,1.0,1.0,5063,0.9996051332675222,1.0,0.9996051332675222
2024-01-31,5073,5073,1.0,5073,0.9994086339444116,3,5073,1.0,1.0,1.0,5071,0.9996057559629411,1.0,0.9996057559629411
2024-02-29,5079,5079,1.0,5079,0.9990155542429612,5,5079,1.0,1.0,1.0,5076,0.9994093325457767,1.0,0.9994093325457767
2024-03-29,5088,5088,1.0,5088,0.9992138364779874,4,5088,1.0,1.0,1.0,5086,0.9996069182389937,1.0,0.9996069182389937
2024-04-30,5097,5097,1.0,5097,0.9880321757896802,61,5097,1.0,1.0,1.0,5095,0.9996076123209732,1.0,0.9996076123209732
2024-05-31,5099,5099,1.0,5099,0.995881545401059,21,5099,1.0,1.0,1.0,5099,1.0,1.0,1.0
2024-06-28,5088,5088,1.0,5088,0.9974449685534591,13,5088,1.0,1.0,1.0,5086,0.9996069182389937,1.0,0.9996069182389937
2024-07-31,5079,5079,1.0,5079,0.997637330183107,12,5079,1.0,1.0,1.0,5077,0.9996062216971845,1.0,0.9996062216971845
2024-08-30,5073,5073,1.0,5073,0.9990143899073527,5,5073,1.0,1.0,1.0,5072,0.9998028779814705,1.0,0.9998028779814705
2024-09-30,5080,5080,1.0,5080,0.9984251968503937,8,5080,1.0,1.0,1.0,5079,0.9998031496062992,1.0,0.9998031496062992
2024-10-31,5084,5084,1.0,5084,0.9972462627852084,14,5084,1.0,1.0,1.0,5082,0.9996066089693155,1.0,0.9996066089693155
2024-11-29,5092,5092,1.0,5092,0.9984289080911233,8,5092,1.0,1.0,1.0,5089,0.9994108405341713,1.0,0.9994108405341713
2024-12-31,5094,5094,1.0,5094,0.9978405967805261,11,5094,1.0,1.0,1.0,5092,0.9996073812328229,1.0,0.9996073812328229
2025-01-27,5102,5102,1.0,5102,0.9976479811838495,12,5102,1.0,1.0,1.0,5100,0.999607996863975,1.0,0.999607996863975
2025-02-28,5105,5105,1.0,5105,0.9984329089128305,8,5105,1.0,1.0,1.0,5102,0.9994123408423115,1.0,0.9994123408423115
2025-03-31,5112,5112,1.0,5112,0.9976525821596244,12,5112,1.0,1.0,1.0,5109,0.9994131455399061,1.0,0.9994131455399061
2025-04-30,5119,5119,1.0,5119,0.9908185192420395,47,5119,1.0,1.0,1.0,5119,1.0,1.0,1.0
2025-05-30,5123,5123,1.0,5123,0.9947296505953542,27,5123,1.0,1.0,1.0,5121,0.999609603747804,1.0,0.999609603747804
2025-06-30,5121,5121,1.0,5121,0.9980472563952353,10,5121,1.0,1.0,1.0,5118,0.9994141769185706,1.0,0.9994141769185706
2025-07-31,5126,5126,1.0,5126,0.998439328911432,8,5126,1.0,1.0,1.0,5126,1.0,1.0,1.0
2025-08-29,5135,5135,1.0,5135,0.9980525803310614,10,5135,1.0,1.0,1.0,5133,0.9996105160662123,1.0,0.9996105160662123
2025-09-30,5142,5142,1.0,5142,0.9976662777129521,12,5142,1.0,1.0,1.0,5140,0.999611046285492,1.0,0.999611046285492
2025-10-31,5145,5145,1.0,5145,0.9980563654033042,10,5145,1.0,1.0,1.0,5143,0.9996112730806609,1.0,0.9996112730806609
2025-11-28,5148,5148,1.0,5148,0.9965034965034965,18,5148,1.0,1.0,1.0,5147,0.9998057498057498,1.0,0.9998057498057498
2025-12-31,5152,5152,1.0,5152,0.9980590062111802,10,5152,1.0,1.0,1.0,5152,1.0,1.0,1.0
2026-01-30,5161,5161,1.0,5161,0.997287347413292,14,5161,1.0,1.0,1.0,5160,0.9998062391009495,1.0,0.9998062391009495
2026-02-27,5165,5165,1.0,5165,0.9974830590513069,13,5165,1.0,1.0,1.0,5164,0.9998063891577929,1.0,0.9998063891577929
2026-03-31,5175,5175,1.0,5175,0.9974879227053141,13,5175,1.0,1.0,1.0,5170,0.9990338164251208,1.0,0.9990338164251208
2026-04-30,5180,5180,1.0,5180,0.9903474903474904,50,5180,1.0,1.0,1.0,5178,0.9996138996138996,1.0,0.9996138996138996
2026-05-29,5184,5184,1.0,5184,0.9967206790123457,17,5184,1.0,1.0,1.0,5183,0.9998070987654321,1.0,0.9998070987654321
2026-06-30,5175,5175,1.0,5175,0.9972946859903382,14,5175,1.0,1.0,1.0,5174,0.9998067632850242,1.0,0.9998067632850242
2026-07-31,5188,5188,1.0,5188,0.9988434849653045,6,5188,1.0,1.0,1.0,5185,0.9994217424826523,1.0,0.9994217424826523
2026-08-31,5193,5193,1.0,5193,0.998844598497978,6,5193,1.0,1.0,1.0,5192,0.9998074330829964,1.0,0.9998074330829964
2026-09-03,5193,5193,1.0,5193,0.9990371654149817,5,5193,1.0,1.0,1.0,5193,1.0,1.0,1.0
