analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,strategy_nav_cny,leg_gross_notional_cny,strategy_gross_exposure,turnover,total_abs_trade_weight,trade_notional_cny
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,10000000000.0,10000000000.0,2.0,0.844360029314729,1.688720058629458,16887200586.29458
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,100000000.0,100000000.0,2.0,0.8368520072800322,1.6737040145600643,167370401.45600644
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,500000000.0,500000000.0,2.0,0.8368520072800322,1.6737040145600643,836852007.2800322
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,1000000000.0,1000000000.0,2.0,0.8368520072800322,1.6737040145600643,1673704014.5600643
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,2000000000.0,2000000000.0,2.0,0.8368520072800322,1.6737040145600643,3347408029.1201286
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,5000000000.0,5000000000.0,2.0,0.8368520072800322,1.6737040145600643,8368520072.800322
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,10000000000.0,10000000000.0,2.0,0.8368520072800322,1.6737040145600643,16737040145.600643
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,100000000.0,100000000.0,2.0,0.7129150404289463,1.4258300808578925,142583008.08578926
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,500000000.0,500000000.0,2.0,0.7129150404289463,1.4258300808578925,712915040.4289463
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,1000000000.0,1000000000.0,2.0,0.7129150404289463,1.4258300808578925,1425830080.8578925
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,2000000000.0,2000000000.0,2.0,0.7129150404289463,1.4258300808578925,2851660161.715785
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,5000000000.0,5000000000.0,2.0,0.7129150404289463,1.4258300808578925,7129150404.289463
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,10000000000.0,10000000000.0,2.0,0.7129150404289463,1.4258300808578925,14258300808.578926
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,100000000.0,100000000.0,2.0,0.6963633182205984,1.3927266364411968,139272663.64411968
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,500000000.0,500000000.0,2.0,0.6963633182205984,1.3927266364411968,696363318.2205983
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,1000000000.0,1000000000.0,2.0,0.6963633182205984,1.3927266364411968,1392726636.4411967
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,2000000000.0,2000000000.0,2.0,0.6963633182205984,1.3927266364411968,2785453272.8823934
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,5000000000.0,5000000000.0,2.0,0.6963633182205984,1.3927266364411968,6963633182.205984
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,10000000000.0,10000000000.0,2.0,0.6963633182205984,1.3927266364411968,13927266364.411968
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,100000000.0,100000000.0,2.0,0.7826730202908697,1.5653460405817394,156534604.05817395
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,500000000.0,500000000.0,2.0,0.7826730202908697,1.5653460405817394,782673020.2908697
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,1000000000.0,1000000000.0,2.0,0.7826730202908697,1.5653460405817394,1565346040.5817394
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,2000000000.0,2000000000.0,2.0,0.7826730202908697,1.5653460405817394,3130692081.163479
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,5000000000.0,5000000000.0,2.0,0.7826730202908697,1.5653460405817394,7826730202.908697
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,10000000000.0,10000000000.0,2.0,0.7826730202908697,1.5653460405817394,15653460405.817394
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,100000000.0,100000000.0,2.0,0.7566483622250333,1.5132967244500666,151329672.44500667
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,500000000.0,500000000.0,2.0,0.7566483622250333,1.5132967244500666,756648362.2250333
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,1000000000.0,1000000000.0,2.0,0.7566483622250333,1.5132967244500666,1513296724.4500666
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,2000000000.0,2000000000.0,2.0,0.7566483622250333,1.5132967244500666,3026593448.900133
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,5000000000.0,5000000000.0,2.0,0.7566483622250333,1.5132967244500666,7566483622.250333
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,10000000000.0,10000000000.0,2.0,0.7566483622250333,1.5132967244500666,15132967244.500666
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,100000000.0,100000000.0,2.0,0.5898459302473855,1.179691860494771,117969186.0494771
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,500000000.0,500000000.0,2.0,0.5898459302473855,1.179691860494771,589845930.2473855
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,1000000000.0,1000000000.0,2.0,0.5898459302473855,1.179691860494771,1179691860.494771
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,2000000000.0,2000000000.0,2.0,0.5898459302473855,1.179691860494771,2359383720.989542
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,5000000000.0,5000000000.0,2.0,0.5898459302473855,1.179691860494771,5898459302.473855
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,10000000000.0,10000000000.0,2.0,0.5898459302473855,1.179691860494771,11796918604.94771
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,100000000.0,100000000.0,2.0,0.5403493571389684,1.0806987142779367,108069871.42779367
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,500000000.0,500000000.0,2.0,0.5403493571389684,1.0806987142779367,540349357.1389683
