block_length,resample,valid,converged,n_iter,dual_gap,n_edges,reason
20,170,True,True,4,4.5095708886222496e-05,46,
20,171,True,True,6,3.87309249409995e-05,48,
20,172,True,True,5,5.393881671267309e-05,50,
20,173,True,True,5,2.5686589109064073e-05,56,
20,174,True,True,5,7.329213458717732e-05,54,
20,175,True,True,6,4.16308013058142e-05,51,
20,176,True,True,5,3.271460210507726e-05,46,
20,177,True,True,5,4.767402269667542e-05,44,
20,178,True,True,4,6.366293692483538e-05,48,
20,179,True,True,5,3.696001348973965e-05,49,
20,180,True,True,5,5.808934809969912e-05,49,
20,181,True,True,5,4.08254678272435e-05,47,
20,182,True,True,4,3.470225351254186e-05,47,
20,183,True,True,5,3.643838769828989e-05,52,
20,184,True,True,5,6.913928859786367e-05,57,
20,185,True,True,5,-2.6716218412214943e-05,44,
20,186,True,True,5,7.462565048887981e-05,48,
20,187,True,True,5,5.093715256210274e-05,44,
20,188,True,True,6,-1.8102564496302875e-05,53,
20,189,True,True,6,4.226738532953078e-05,51,
20,190,True,True,5,2.6426279183588974e-05,51,
20,191,True,True,5,-3.918840171479587e-05,49,
20,192,True,True,6,3.630915727725892e-05,48,
20,193,True,True,5,8.592896863923727e-05,50,
20,194,True,True,5,7.67063208635399e-05,44,
20,195,True,True,4,3.8330606538128364e-05,48,
20,196,True,True,6,5.873114330467999e-05,50,
20,197,True,True,6,1.9471421084382712e-05,56,
20,198,True,True,6,4.210315704833434e-05,53,
20,199,True,True,5,8.389311889134277e-05,46,
20,200,True,True,5,-2.7978037314024817e-05,45,
40,1,True,True,4,-3.471887065575885e-05,48,
40,2,True,True,5,3.0909268287082625e-05,55,
40,3,True,True,5,3.081421543216223e-05,50,
40,4,True,True,5,3.2354766325681794e-05,52,
40,5,True,True,5,4.6332070229304634e-05,46,
40,6,True,True,5,3.570876238301324e-05,48,
40,7,True,True,5,2.381796063621877e-05,43,
40,8,True,True,5,7.909581147691469e-05,52,
40,9,True,True,5,5.971885541544708e-05,51,
40,10,True,True,5,7.818281510640901e-05,50,
40,11,True,True,5,3.719889845754665e-05,44,
40,12,True,True,6,2.208680172444133e-05,49,
40,13,True,True,6,5.6842245810706515e-05,61,
40,14,True,True,5,-4.5676282474538255e-05,51,
40,15,True,True,5,7.631675331065679e-05,59,
40,16,True,True,6,2.7048708372667818e-05,51,
40,17,True,True,5,9.49000215246798e-05,52,
40,18,True,True,5,2.8039051922057467e-05,43,
40,19,True,True,5,6.0968519379756e-05,54,
40,20,True,True,5,-5.2610491494853306e-05,48,
40,21,True,True,6,2.4526873359409507e-05,50,
40,22,True,True,4,-6.618685240544764e-05,49,
40,23,True,True,4,9.916330612158575e-05,43,
40,24,True,True,4,-9.190776525613842e-05,39,
40,25,True,True,5,8.437520289517053e-05,45,
40,26,True,True,6,-1.013960909812539e-05,51,
40,27,True,True,5,-2.6857739752195187e-06,53,
40,28,True,True,4,1.82412138833854e-05,48,
40,29,True,True,5,4.5420218974800974e-05,52,
40,30,True,True,4,4.234540939718201e-05,53,
40,31,True,True,6,4.3395886151209595e-05,49,
40,32,True,True,5,4.5591577468862e-05,47,
40,33,True,True,6,6.739257900001405e-05,52,
40,34,True,True,5,7.376620037335968e-05,48,
40,35,True,True,3,2.5408545295757534e-05,49,
40,36,True,True,4,-7.367841146432852e-05,60,
40,37,True,True,4,6.93421322743859e-05,57,
40,38,True,True,5,2.3596016316407287e-05,46,
40,39,True,True,5,3.191299373295209e-05,48,
40,40,True,True,6,4.031709759289015e-05,54,
40,41,True,True,5,8.43167269719558e-05,49,
40,42,True,True,5,4.0262986635397624e-05,56,
40,43,True,True,4,6.784419856620261e-05,51,
40,44,True,True,5,7.086236721054462e-05,48,
40,45,True,True,4,3.4476898176816206e-05,51,
40,46,True,True,5,6.062610890422704e-05,52,
40,47,True,True,5,7.876256157324235e-05,42,
40,48,True,True,4,-1.5593796934165738e-05,51,
40,49,True,True,5,-2.2199457857752236e-05,52,
40,50,True,True,5,2.743909657354493e-05,56,
40,51,True,True,6,6.375560182458884e-06,52,
40,52,True,True,5,-3.647681617824361e-05,57,
40,53,True,True,5,8.636449034149507e-05,47,
40,54,True,True,5,2.8141269182491158e-05,49,
40,55,True,True,3,-4.72615298452439e-06,45,
40,56,True,True,3,5.663048765525147e-05,43,
40,57,True,True,5,5.601523195952751e-05,49,
40,58,True,True,5,6.476616334971652e-05,54,
40,59,True,True,5,6.450677083513767e-05,51,
40,60,True,True,5,-2.3137622119584478e-05,51,
40,61,True,True,5,-4.306967445932841e-05,48,
40,62,True,True,6,1.3105236063015724e-05,46,
40,63,True,True,5,4.206785712046468e-05,52,
40,64,True,True,5,-4.632900310586052e-05,47,
40,65,True,True,6,3.67887923866661e-05,48,
40,66,True,True,6,3.041263512848502e-05,45,
40,67,True,True,5,6.320046151397918e-05,54,
40,68,True,True,6,6.005066033765161e-05,58,
40,69,True,True,5,1.9871244266500554e-05,50,
40,70,True,True,5,9.58981104561829e-05,53,
40,71,True,True,6,2.3509023399981288e-05,54,
40,72,True,True,4,5.960000110505348e-05,47,
40,73,True,True,4,-7.057133306487273e-05,47,
40,74,True,True,5,1.3331201274446869e-05,48,
40,75,True,True,5,4.756456078247595e-05,54,
40,76,True,True,5,9.707517776291752e-07,50,
40,77,True,True,5,4.094209383476155e-05,45,
40,78,True,True,5,3.486708917810333e-05,42,
40,79,True,True,4,6.392592986559364e-05,51,
40,80,True,True,6,2.0990278555288455e-05,46,
40,81,True,True,5,8.88026034897571e-05,49,
40,82,True,True,6,5.746285797947337e-05,56,
40,83,True,True,5,9.335536842725034e-05,51,
40,84,True,True,4,5.078934738067531e-05,48,
40,85,True,True,6,6.248052250423797e-05,53,
40,86,True,True,4,7.51057616930062e-05,47,
40,87,True,True,6,5.8515985302598494e-05,54,
40,88,True,True,5,9.608061293597814e-05,48,
40,89,True,True,6,-1.764404633064487e-05,60,
40,90,True,True,5,8.521093084334908e-05,49,
40,91,True,True,6,3.008609246091254e-05,54,
40,92,True,True,3,-5.5976977086924506e-05,49,
40,93,True,True,5,6.563197823972189e-05,57,
40,94,True,True,6,-2.2896575620379167e-05,45,
40,95,True,True,6,9.294687329219897e-05,59,
40,96,True,True,6,4.388285638601275e-05,50,
40,97,True,True,5,-4.6773459153826025e-05,49,
40,98,True,True,5,-1.6522189176360058e-05,49,
40,99,True,True,5,-2.4577663275238137e-05,47,
40,100,True,True,6,-8.450650518110336e-05,60,
40,101,True,True,5,-2.564786644532191e-05,55,
40,102,True,True,6,-4.4384316077561436e-05,54,
40,103,True,True,4,-1.4606677328998785e-05,51,
40,104,True,True,5,-7.206981018414993e-05,48,
40,105,True,True,6,1.3311623989764598e-06,51,
40,106,True,True,5,6.4547728530151e-05,57,
40,107,True,True,5,3.504070733972853e-05,46,
40,108,True,True,5,5.0584700633127255e-05,52,
40,109,True,True,5,9.454781684592461e-05,50,
40,110,True,True,6,4.151461698942427e-05,56,
40,111,True,True,3,-9.242955619814808e-05,51,
40,112,True,True,5,9.800698982598277e-05,59,
40,113,True,True,5,7.1811385452758e-05,45,
40,114,True,True,5,7.784332262694704e-05,50,
40,115,True,True,5,8.956391571590672e-05,53,
40,116,True,True,6,1.6215054493340375e-05,46,
40,117,True,True,5,7.802756022190493e-05,55,
40,118,True,True,5,6.850065229491165e-05,53,
40,119,True,True,4,-5.7676638604675645e-05,50,
40,120,True,True,5,5.8922834823782466e-05,59,
40,121,True,True,4,-3.484419067945055e-05,45,
40,122,True,True,3,6.647161258666046e-05,48,
40,123,True,True,5,7.978320719592702e-05,51,
40,124,True,True,5,5.2352765860685935e-05,50,
40,125,True,True,5,9.708336809577389e-05,53,
40,126,True,True,5,6.453348590440555e-05,57,
40,127,True,True,3,9.995193335221586e-06,53,
40,128,True,True,6,6.019280716351716e-05,55,
40,129,True,True,6,4.593072968095413e-05,49,
40,130,True,True,5,5.464252612163989e-05,57,
40,131,True,True,5,5.834132375870382e-05,50,
40,132,True,True,4,9.177858781583836e-05,48,
40,133,True,True,3,5.128919184826941e-05,49,
40,134,True,True,6,2.262300843725029e-05,48,
40,135,True,True,6,6.564287219745779e-05,56,
40,136,True,True,4,4.260676541889552e-05,54,
40,137,True,True,6,-9.716491019773343e-06,61,
40,138,True,True,5,-4.139978670725242e-05,51,
40,139,True,True,5,2.876950550678714e-05,49,
40,140,True,True,3,3.3561823964411985e-06,51,
40,141,True,True,5,3.794325586170544e-05,53,
40,142,True,True,5,6.923406657133313e-05,53,
40,143,True,True,6,2.4978122998842167e-05,50,
40,144,True,True,5,8.66905884464586e-05,49,
40,145,True,True,5,4.689179823769152e-05,48,
40,146,True,True,4,8.452563271843516e-05,46,
40,147,True,True,5,7.884688769088655e-05,44,
40,148,True,True,6,4.7514793166225644e-05,51,
40,149,True,True,4,-5.2521318436582476e-05,46,
40,150,True,True,6,5.231997682919598e-05,54,
40,151,True,True,7,3.54123063477374e-05,55,
40,152,True,True,4,7.795054187020867e-05,52,
40,153,True,True,4,3.866730265933427e-05,49,
40,154,True,True,5,9.543967718617097e-05,55,
40,155,True,True,5,5.557629945762699e-05,49,
40,156,True,True,5,1.986962974376283e-05,52,
40,157,True,True,6,6.432561812541593e-05,56,
40,158,True,True,3,6.714460042900328e-05,48,
40,159,True,True,5,4.7173676428702294e-05,44,
40,160,True,True,3,-5.9605397363604595e-05,49,
40,161,True,True,5,3.78259147360005e-05,52,
40,162,True,True,5,3.5208244977713576e-05,46,
40,163,True,True,6,3.638949328177432e-05,54,
40,164,True,True,4,-4.383218303427583e-05,39,
40,165,True,True,5,6.14370190055169e-05,48,
