window_id,window_start,window_end,network_date,code,name,industry,degree,strength
11,2023-11-03,2024-11-18,2024-11-18,000568,泸州老窖,食品饮料,10,1.016741904062043
11,2023-11-03,2024-11-18,2024-11-18,600887,伊利股份,食品饮料,9,0.759625666972996
11,2023-11-03,2024-11-18,2024-11-18,002460,赣锋锂业,新能源,9,0.7380479278845641
11,2023-11-03,2024-11-18,2024-11-18,002415,海康威视,电子,8,0.935986371078163
11,2023-11-03,2024-11-18,2024-11-18,000725,京东方A,电子,10,0.694283248140021
11,2023-11-03,2024-11-18,2024-11-18,603501,韦尔股份,电子,7,0.8084301538648524
11,2023-11-03,2024-11-18,2024-11-18,002475,立讯精密,电子,6,0.4956468308449061
11,2023-11-03,2024-11-18,2024-11-18,601318,中国平安,非银金融,9,1.066562699308193
11,2023-11-03,2024-11-18,2024-11-18,600030,中信证券,非银金融,9,0.6582333405851343
12,2023-12-01,2024-12-16,2024-12-16,000001,平安银行,银行,7,0.8851503788209706
12,2023-12-01,2024-12-16,2024-12-16,600036,招商银行,银行,4,0.8494227167174616
12,2023-12-01,2024-12-16,2024-12-16,601398,工商银行,银行,3,0.8417182406002608
12,2023-12-01,2024-12-16,2024-12-16,601288,农业银行,银行,2,0.7206782686932794
12,2023-12-01,2024-12-16,2024-12-16,600519,贵州茅台,食品饮料,7,0.9232075280222066
12,2023-12-01,2024-12-16,2024-12-16,000858,五粮液,食品饮料,10,1.1896215871632498
12,2023-12-01,2024-12-16,2024-12-16,000568,泸州老窖,食品饮料,9,1.0267390534791174
12,2023-12-01,2024-12-16,2024-12-16,600887,伊利股份,食品饮料,9,0.7671833905589369
12,2023-12-01,2024-12-16,2024-12-16,002460,赣锋锂业,新能源,9,0.6811013378367317
12,2023-12-01,2024-12-16,2024-12-16,002415,海康威视,电子,8,0.9344637885923965
12,2023-12-01,2024-12-16,2024-12-16,000725,京东方A,电子,10,0.6940159251270054
12,2023-12-01,2024-12-16,2024-12-16,603501,韦尔股份,电子,6,0.8588856096423497
12,2023-12-01,2024-12-16,2024-12-16,002475,立讯精密,电子,6,0.4923477521582698
12,2023-12-01,2024-12-16,2024-12-16,601318,中国平安,非银金融,9,1.0885219355561766
12,2023-12-01,2024-12-16,2024-12-16,600030,中信证券,非银金融,9,0.6703027020945224
13,2023-12-29,2025-01-14,2025-01-14,000001,平安银行,银行,8,0.894746823100022
13,2023-12-29,2025-01-14,2025-01-14,600036,招商银行,银行,5,0.84978733815677
13,2023-12-29,2025-01-14,2025-01-14,601398,工商银行,银行,3,0.848181070697625
13,2023-12-29,2025-01-14,2025-01-14,601288,农业银行,银行,4,0.7089234498045407
13,2023-12-29,2025-01-14,2025-01-14,600519,贵州茅台,食品饮料,6,0.9049160866153199
13,2023-12-29,2025-01-14,2025-01-14,000858,五粮液,食品饮料,10,1.1847038811542911
13,2023-12-29,2025-01-14,2025-01-14,000568,泸州老窖,食品饮料,10,1.025053193920589
13,2023-12-29,2025-01-14,2025-01-14,600887,伊利股份,食品饮料,9,0.7401845425064734
