security_id,EXPLICIT_SUSPENSION,OPEN_BUT_RETURN_MISSING,RETURN_OBSERVED,NO_RAW_RECORD,OTHER,expected_trade_days,diagnostic_raw_coverage,suspension_adjusted_coverage,missing_day_count,suspension_share_of_missing,analysis_date,next_analysis_date,window,future_return_coverage,future_valid_return_days
300082.XSHE,10,1,9,0,0,20,0.45,0.95,11,0.9090909090909091,2015-04-30,2015-05-29,60,0.45,9
300093.XSHE,15,1,4,0,0,20,0.2,0.95,16,0.9375,2015-04-30,2015-05-29,60,0.2,4
300112.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
300113.XSHE,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
300119.XSHE,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
300123.XSHE,11,0,9,0,0,20,0.45,1.0,11,1.0,2015-04-30,2015-05-29,60,0.45,9
300133.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
300158.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300161.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
300173.XSHE,9,1,10,0,0,20,0.5,0.95,10,0.9,2015-04-30,2015-05-29,60,0.5,10
300180.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
300185.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300188.XSHE,12,0,8,0,0,20,0.4,1.0,12,1.0,2015-04-30,2015-05-29,60,0.4,8
300190.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
300197.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
300199.XSHE,9,1,10,0,0,20,0.5,0.95,10,0.9,2015-04-30,2015-05-29,60,0.5,10
300205.XSHE,13,0,7,0,0,20,0.35,1.0,13,1.0,2015-04-30,2015-05-29,60,0.35,7
300214.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
300240.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300256.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
300257.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300259.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
300281.XSHE,14,0,6,0,0,20,0.3,1.0,14,1.0,2015-04-30,2015-05-29,60,0.3,6
300282.XSHE,7,0,13,0,0,20,0.65,1.0,7,1.0,2015-04-30,2015-05-29,60,0.65,13
300285.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300292.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
300294.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300296.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
300297.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300301.XSHE,9,1,10,0,0,20,0.5,0.95,10,0.9,2015-04-30,2015-05-29,60,0.5,10
300319.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
300323.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300327.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
300341.XSHE,7,1,12,0,0,20,0.6,0.95,8,0.875,2015-04-30,2015-05-29,60,0.6,12
300350.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
300365.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
300377.XSHE,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
300382.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
300397.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300402.XSHE,13,0,7,0,0,20,0.35,1.0,13,1.0,2015-04-30,2015-05-29,60,0.35,7
300418.XSHE,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
300419.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600006.XSHG,3,2,15,0,0,20,0.75,0.9,5,0.6,2015-04-30,2015-05-29,60,0.75,15
600055.XSHG,12,0,8,0,0,20,0.4,1.0,12,1.0,2015-04-30,2015-05-29,60,0.4,8
600105.XSHG,7,1,12,0,0,20,0.6,0.95,8,0.875,2015-04-30,2015-05-29,60,0.6,12
600130.XSHG,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
600137.XSHG,11,1,8,0,0,20,0.4,0.95,12,0.9166666666666666,2015-04-30,2015-05-29,60,0.4,8
600151.XSHG,16,0,4,0,0,20,0.2,1.0,16,1.0,2015-04-30,2015-05-29,60,0.2,4
600169.XSHG,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
600186.XSHG,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
600211.XSHG,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
600225.XSHG,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
