analysis_date,window,factor_order,factor_name,factor_orientation,target_name,model_spec,nobs,network_beta,network_beta_bps,partial_r2,status,industry_count,singleton_industry_count,control_count,control_rank,factor_residual_sd
2017-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2551,-0.003040786592486298,-30.407865924862982,0.0007031788344828982,PASS,28.0,0.0,5.0,5.0,0.9327691739241166
2017-04-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2557,0.003393784092809905,33.93784092809905,0.0014593053551803514,PASS,28.0,0.0,0.0,0.0,1.0
2017-04-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2557,0.0006178974300487319,6.17897430048732,4.741472074110131e-05,PASS,28.0,0.0,1.0,1.0,0.9415275173387627
2017-04-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2557,0.002509254830683816,25.092548306838157,0.0007478401155450731,PASS,28.0,0.0,5.0,5.0,0.9093002610121605
2017-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2562,-0.005206313805789892,-52.06313805789892,0.0050002636257668875,PASS,28.0,0.0,0.0,0.0,1.0
2017-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2562,-0.005102107038145235,-51.021070381452354,0.004596134792326789,PASS,28.0,0.0,1.0,1.0,0.9553087251759494
2017-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2562,-0.003549410302933427,-35.49410302933427,0.0023305631221263168,PASS,28.0,0.0,5.0,5.0,0.9305360174019711
2017-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2608,0.003598492800167395,35.98492800167395,0.0009296720176972251,PASS,28.0,0.0,0.0,0.0,1.0
2017-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2608,-0.0009237193582688384,-9.237193582688384,7.32617386277612e-05,PASS,28.0,0.0,1.0,1.0,0.9710664415196073
2017-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2608,0.005851884684250828,58.518846842508275,0.0030266709879126497,PASS,28.0,0.0,5.0,5.0,0.9435999692327863
2017-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2654,0.003929224565990876,39.29224565990876,0.0026041559503182654,PASS,28.0,0.0,0.0,0.0,1.0
2017-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2654,0.004254972618651425,42.549726186514256,0.0029504091829053447,PASS,28.0,0.0,1.0,1.0,0.9342157691539982
2017-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2654,0.006992890117145241,69.92890117145241,0.008308564526007589,PASS,28.0,0.0,5.0,5.0,0.9109061112068831
2017-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2705,-0.006038636865926656,-60.38636865926656,0.004996160603586208,PASS,28.0,0.0,0.0,0.0,1.0
2017-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2705,-0.004257514967184037,-42.57514967184037,0.0023099674101019207,PASS,28.0,0.0,1.0,1.0,0.9076397926318999
2017-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2705,-0.003702936080425922,-37.02936080425922,0.0016941868829168927,PASS,28.0,0.0,5.0,5.0,0.8852146623060029
2017-09-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2784,-0.014205217559338588,-142.0521755933859,0.02889430736447529,PASS,28.0,0.0,0.0,0.0,1.0
2017-09-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2784,-0.007991478467026561,-79.91478467026562,0.009125646559503764,PASS,28.0,0.0,1.0,1.0,0.9142998016022709
2017-09-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2784,-0.005425380558804205,-54.25380558804205,0.004100126479999133,PASS,28.0,0.0,5.0,5.0,0.8809960454965378
2017-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2833,-0.0009060682881379245,-9.060682881379245,0.00011068958432403075,PASS,28.0,0.0,0.0,0.0,1.0
2017-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2833,-0.00687606256499929,-68.7606256499929,0.006066639541258079,PASS,28.0,0.0,1.0,1.0,0.9207065692536968
2017-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2833,-0.0026834827399880383,-26.834827399880382,0.0009174281889923197,PASS,28.0,0.0,5.0,5.0,0.8911944121601693
2017-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2865,-0.0015514677380797095,-15.514677380797094,0.0004525771016022917,PASS,28.0,0.0,0.0,0.0,1.0
2017-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2865,-0.001988180437189884,-19.88180437189884,0.0007002100312009096,PASS,28.0,0.0,1.0,1.0,0.9383472570299358
2017-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2865,-0.0008629077765001997,-8.629077765001998,0.00012922008744753466,PASS,28.0,0.0,5.0,5.0,0.9217006945376613
2017-12-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2894,0.005200353534245907,52.00353534245907,0.002804316610633295,PASS,28.0,0.0,0.0,0.0,0.9999999999999999
2017-12-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2894,0.0014491674247280645,14.491674247280645,0.00024274558419434822,PASS,28.0,0.0,1.0,1.0,0.9480802049584568
2017-12-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2894,0.0031625380826052476,31.625380826052478,0.001151503546910848,PASS,28.0,0.0,5.0,5.0,0.9288798311429527
2018-01-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2921,-0.002282351771911076,-22.82351771911076,0.0007623939754967113,PASS,28.0,0.0,0.0,0.0,0.9999999999999999
2018-01-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2921,-0.0021814151760252156,-21.814151760252155,0.0006957016682931361,PASS,28.0,0.0,1.0,1.0,0.947205207348273
2018-01-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2921,-0.002131981882526124,-21.31981882526124,0.000638405942173792,PASS,28.0,0.0,5.0,5.0,0.9192913727756289
2018-02-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2858,-0.006848891204742264,-68.48891204742264,0.0035601399352872543,PASS,28.0,0.0,0.0,0.0,0.9999999999999999
2018-02-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2858,0.0012904245602413061,12.904245602413061,0.0001532235833671125,PASS,28.0,0.0,1.0,1.0,0.9459015300934556
2018-02-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2858,-0.0021128097971866,-21.128097971865998,0.0004096474133850059,PASS,28.0,0.0,5.0,5.0,0.9244921867633106
2018-03-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2916,-0.0011081615089020783,-11.081615089020783,0.00017341507785373356,PASS,28.0,0.0,0.0,0.0,1.0
2018-03-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2916,-0.002530302149701666,-25.30302149701666,0.0008427821529919388,PASS,28.0,0.0,1.0,1.0,0.9369965483146262
2018-03-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2916,0.00015677837797551804,1.5677837797551804,3.258620885571162e-06,PASS,28.0,0.0,5.0,5.0,0.9236864873319035
2018-04-27,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2950,-0.008404685267755972,-84.04685267755973,0.005768559917590066,PASS,28.0,0.0,0.0,0.0,1.0
2018-04-27,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2950,-0.0038725323813366664,-38.725323813366664,0.0012721783656789443,PASS,28.0,0.0,1.0,1.0,0.9256772694599876
2018-04-27,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2950,-0.004902938782679691,-49.029387826796906,0.002015059924863727,PASS,28.0,0.0,5.0,5.0,0.9166711281071336
2018-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,3042,0.012582147377632759,125.82147377632758,0.017034878666197684,PASS,28.0,0.0,0.0,0.0,1.0
2018-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,3042,0.009772349453207624,97.72349453207624,0.009254779168335503,PASS,28.0,0.0,1.0,1.0,0.923202493360473
2018-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,3042,0.009286378510352859,92.86378510352858,0.008519250505876874,PASS,28.0,0.0,5.0,5.0,0.9159622633438846
2018-06-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,3039,0.006225656313188744,62.25656313188743,0.004445708224357858,PASS,28.0,0.0,0.0,0.0,1.0
2018-06-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,3039,0.008394473031059725,83.94473031059725,0.007153394770840427,PASS,28.0,0.0,1.0,1.0,0.9058303812929409
2018-06-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,3039,0.006400567659243222,64.00567659243222,0.004580622042267279,PASS,28.0,0.0,5.0,5.0,0.9021592978454946
2018-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,3133,0.006530643514712839,65.3064351471284,0.006298993596436375,PASS,28.0,0.0,0.0,0.0,0.9999999999999998
2018-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,3133,0.0043236108645730836,43.23610864573084,0.0024984550987533494,PASS,28.0,0.0,1.0,1.0,0.9223234822886355
2018-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,3133,0.0031734463530492317,31.734463530492317,0.001429197593698528,PASS,28.0,0.0,5.0,5.0,0.9039528483935321
2018-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,3236,0.004627831557425152,46.278315574251515,0.003844407492291535,PASS,28.0,0.0,0.0,0.0,0.9999999999999998
2018-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,3236,0.0025495162606842306,25.495162606842307,0.0010946205118469443,PASS,28.0,0.0,1.0,1.0,0.93310556920771
2018-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,3236,0.002643558457628257,26.435584576282572,0.0012000847098316836,PASS,28.0,0.0,5.0,5.0,0.9312767787933138
2018-09-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,3304,0.002475937901563541,24.75937901563541,0.0007793186630804527,PASS,28.0,0.0,0.0,0.0,1.0
2018-09-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,3304,0.0014186994132249036,14.186994132249035,0.00024152070626426436,PASS,28.0,0.0,1.0,1.0,0.9355690575730113
