analysis_date,window,factor_name,n,nonmissing_count,missing_share,mean,std,p01,p05,median,p95,p99
2018-06-29,60,neighbor_jaccard_1m,3080,3007,0.023701298701298702,0.21757308524404198,0.17035494453214603,0.0,0.0,0.18181818181818182,0.5281446540880502,0.6383356643356644
2018-07-31,60,neighbor_jaccard_1m,3166,3071,0.030006317119393555,0.18191135045445483,0.15431045900416648,0.0,0.0,0.14285714285714285,0.4868329868329868,0.6
2018-08-31,60,neighbor_jaccard_1m,3263,3159,0.03187250996015936,0.21834646420174778,0.1707761385361775,0.0,0.0,0.18840579710144928,0.5378084179970972,0.6515606262491672
2018-09-28,60,neighbor_jaccard_1m,3334,3243,0.027294541091781643,0.2236441423250771,0.16496300178038914,0.0,0.0,0.2,0.5308390022675736,0.6148178137651821
2018-10-31,60,neighbor_jaccard_1m,3359,3310,0.014587674903245014,0.17013497238677094,0.15060886949626348,0.0,0.0,0.12698412698412698,0.4782608695652174,0.5845222154595247
2018-11-30,60,neighbor_jaccard_1m,3374,3330,0.013040901007705987,0.19276028070576556,0.16493108342100968,0.0,0.0,0.15,0.5170994539328451,0.6263246268656717
2018-12-28,60,neighbor_jaccard_1m,3426,3368,0.016929363689433742,0.3108240443766176,0.19055857171018467,0.0,0.024828017510944368,0.3,0.631578947368421,0.7558376068376067
2019-01-31,60,neighbor_jaccard_1m,3492,3416,0.021764032073310423,0.1635441533084591,0.14615799763511875,0.0,0.0,0.11904761904761904,0.4578036723163842,0.576050980915521
2019-02-28,60,neighbor_jaccard_1m,3522,3484,0.010789324247586598,0.23549053348921117,0.17180407280331042,0.0,0.0,0.20705187946567255,0.5484774951076321,0.6666666666666666
2019-03-29,60,neighbor_jaccard_1m,3517,3501,0.004549331816889394,0.1546508351406978,0.14428888539290644,0.0,0.0,0.1111111111111111,0.45454545454545453,0.5641025641025641
2019-04-30,60,neighbor_jaccard_1m,3515,3489,0.007396870554765292,0.22677208340584215,0.17392242707039618,0.0,0.0,0.19444444444444445,0.549084568439407,0.6576545272302037
2019-05-31,60,neighbor_jaccard_1m,3512,3490,0.006264236902050114,0.29265369313553496,0.17743519076516986,0.0,0.02244949494949496,0.2831023543162464,0.5962508821453775,0.6771043956043958
2019-06-28,60,neighbor_jaccard_1m,3528,3494,0.00963718820861678,0.22220591076518212,0.16059433446232751,0.0,0.0,0.2,0.5083018867924527,0.6155429864253398
2019-07-31,60,neighbor_jaccard_1m,3548,3514,0.009582863585118376,0.1512807062645153,0.14494528908285137,0.0,0.0,0.1038961038961039,0.4428185543964232,0.6
2019-08-30,60,neighbor_jaccard_1m,3566,3537,0.008132361189007292,0.1603266703359021,0.14617589096137523,0.0,0.0,0.11627906976744186,0.46153846153846156,0.5650332480818413
2019-09-30,60,neighbor_jaccard_1m,3588,3556,0.008918617614269788,0.1854342239420845,0.1492469759487511,0.0,0.0,0.15,0.4751024590163934,0.5730357142857136
2019-10-31,60,neighbor_jaccard_1m,3628,3581,0.012954796030871003,0.24246926945520342,0.1744382116207813,0.0,0.0,0.21739130434782608,0.5625,0.6666666666666666
2019-11-29,60,neighbor_jaccard_1m,3638,3617,0.00577240241891149,0.21422773030255302,0.16303229793607696,0.0,0.0,0.18181818181818182,0.5314516129032256,0.6283389830508477
2019-12-31,60,neighbor_jaccard_1m,3641,3622,0.005218346608074705,0.1932158698057375,0.1606561725365371,0.0,0.0,0.156544545529055,0.5017272727272724,0.6
2020-01-23,60,neighbor_jaccard_1m,3663,3630,0.009009009009009009,0.18699937049018694,0.16674389780718724,0.0,0.0,0.14285714285714285,0.5168199984918181,0.6219219959309521
2020-02-28,60,neighbor_jaccard_1m,3697,3660,0.010008114687584528,0.11525897143419468,0.13055989511448685,0.0,0.0,0.0706923477355544,0.3936557539682539,0.5047806776556776
