analysis_date,window,factor_order,factor_name,factor_orientation,target_name,target_role,portfolio,portfolio_weighting,sort_portfolio_n,return_observation_n,return_coverage_within_portfolio,portfolio_mean_return,portfolio_median_return
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,371,371,1.0,-0.028961979180938003,-0.051558773423827184
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,362,362,1.0,-0.023515748661760687,-0.05063068318792394
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,362,362,1.0,0.007517677136469097,-0.0200464818633524
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,360,360,1.0,-0.01737070164486036,-0.04827463824090633
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,364,364,1.0,-0.029688906818151572,-0.04884440381855096
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,371,371,1.0,-0.1092079665553106,-0.13180076628352513
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,362,362,1.0,-0.10376320614402897,-0.13087111378823824
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,362,362,1.0,-0.07274021721568695,-0.1003025359202072
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,360,360,1.0,-0.09761951689880782,-0.12851648351648332
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,364,364,1.0,-0.10993295103348774,-0.1290885897538578
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,365,365,1.0,-0.05674555501471386,-0.08412987412291076
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,381,381,1.0,-0.036089328744754234,-0.05847412567330845
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,346,346,1.0,-0.025945367764686315,-0.04754930974366772
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,364,364,1.0,-0.020254695493455467,-0.043462161437342384
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,360,360,1.0,0.04883932878524142,0.020458173679070605
