factor_order,factor_name,target_name,target_role,window,year,month_count,mean_q5_minus_q1,median_q5_minus_q1,positive_spread_share,mean_portfolio_return_spearman,mean_q5_minus_q1_bps
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2022,12,-0.013451470387047299,-0.004936565453208276,0.4166666666666667,-0.041666666666666664,-134.514703870473
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2023,12,-0.019945718569264127,-0.02678004948436203,0.16666666666666666,-0.575,-199.45718569264127
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2024,12,-0.01412608075309976,-0.011023767417848974,0.3333333333333333,-0.27499999999999997,-141.2608075309976
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2025,12,-0.023918362354074966,-0.018810534520993728,0.08333333333333333,-0.6749999999999998,-239.18362354074966
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2026,7,-0.016519312855664724,-0.024361140013809582,0.14285714285714285,-0.3142857142857142,-165.19312855664725
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2015,9,-0.044125173304063556,-0.05455215791576304,0.1111111111111111,-0.6555555555555554,-441.25173304063554
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2016,12,-0.01408022878015053,-0.010663827565063282,0.16666666666666666,-0.4333333333333333,-140.8022878015053
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2017,12,0.0043178199488459615,0.006537741537954524,0.5833333333333334,-0.02499999999999998,43.17819948845962
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2018,12,-0.009281452133959102,-0.003913019609407795,0.3333333333333333,-0.19999999999999996,-92.81452133959101
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2019,12,-0.009262228422643308,-0.009001729667979304,0.08333333333333333,-0.4416666666666666,-92.62228422643308
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2020,12,0.006001994997282485,0.005812365149615617,0.75,0.24166666666666667,60.01994997282485
