security_id,stock_code,stock_name,exchange,list_date,delist_date,list_status,security_type,board,is_standard_a_share_code,_source_file,exclude_reason
A20110,A20110,点众科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20136,A20136,光祥科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20137,A20137,佳奇科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20140,A20140,网进科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20143,A20143,晶台股份,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20146,A20146,速达股份,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20150,A20150,华奥汽车,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20152,A20152,日发纺机,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20171,A20171,多想互动,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20181,A20181,安凯特,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20190,A20190,天彦通信,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20193,A20193,新视云,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20200,A20200,鸿禧能源,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20202,A20202,柠檬微趣,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20203,A20203,艾能聚,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20204,A20204,红星美羚,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20207,A20207,世宇科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20208,A20208,银河电力,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20213,A20213,佛朗斯,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20214,A20214,中星技术,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20216,A20216,族兴新材,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20220,A20220,弘成立业,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20226,A20226,灿星文化,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20228,A20228,大运汽车,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20230,A20230,三江电子,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20234,A20234,立功科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20240,A20240,钵施然,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20243,A20243,养天和,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
