analysis_date,window,expected_node_count,actual_node_count,expected_edge_count,expected_degree_sum,raw_degree_sum,residual_degree_sum,node_count_ok,key_unique,raw_degree_sum_ok,residual_degree_sum_ok,degree_nonnegative,strength_nonnegative,percentile_valid,degree_percentile_match,percentile_source_copy_ok,max_raw_degree_percentile_diff,max_residual_degree_percentile_diff,raw_strength_float32_rank_diff,residual_strength_float32_rank_diff,raw_degree_source_copy_diff,raw_strength_source_copy_diff,residual_degree_source_copy_diff,residual_strength_source_copy_diff,raw_isolated_share,residual_isolated_share,mean_delta_degree_percentile,mean_delta_strength_percentile,median_abs_delta_degree_percentile,median_abs_delta_strength_percentile,qa_pass,qa_errors
2024-07-31,120,5061,5061,128032,256064,256064,256064,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9772879273082253e-08,2.97964337647727e-08,0.0,0.0,0.0,0.0,0.46986761509583086,0.10333926101560956,-1.214528550180233e-10,2.3031877778872416e-09,0.19590985774993896,0.19581109285354614,True,
2024-08-30,120,5061,5061,128032,256064,256064,256064,True,True,True,True,True,True,True,True,True,0.0,0.0,2.97964337647727e-08,2.97964337647727e-08,0.0,0.0,0.0,0.0,0.369097016399921,0.024896265560165973,1.137240369714218e-10,5.310802114879018e-10,0.17210037913173437,0.17210037913173437,True,
2024-09-30,120,5064,5064,128176,256352,256352,256352,True,True,True,True,True,True,True,True,True,0.0,0.0,9.875708093387559e-05,2.9755241270912336e-08,0.0,0.0,0.0,0.0,0.3671011058451817,0.034360189573459717,2.2378224897158653e-09,9.350007838359187e-10,0.1663704551756382,0.16676541417837143,True,
2024-10-31,120,5066,5066,128278,256556,256556,256556,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790556799191847e-08,2.9790556799191847e-08,0.0,0.0,0.0,0.0,0.3693249111725227,0.031385708645874456,5.260336389665871e-09,4.4378458253489243e-10,0.16896959953010082,0.16896959953010082,True,
2024-11-29,120,5066,5066,128264,256528,256528,256528,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790556799191847e-08,2.9790556799191847e-08,0.0,0.0,0.0,0.0,0.36320568495854716,0.029609159099881564,-6.360789791096636e-10,-4.423138796930204e-10,0.16916699707508087,0.17049941420555115,True,
2024-12-31,120,5073,5073,128609,257218,257218,257218,True,True,True,True,True,True,True,True,True,0.0,0.0,9.855770768674166e-05,9.85655504031624e-05,0.0,0.0,0.0,0.0,0.37965700768775873,0.022077666075300612,-2.7493567666945408e-09,-2.480956687039932e-09,0.17878967709839344,0.17878967709839344,True,
2025-01-27,120,5078,5078,128845,257690,257690,257690,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790584554767463e-08,2.9790584554767463e-08,0.0,0.0,0.0,0.0,0.4015360378101615,0.03190232374950768,9.426935867513903e-10,2.881634559345884e-09,0.17753052711486816,0.17684126645326614,True,
2025-02-28,120,5082,5082,129040,258080,258080,258080,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790593769618567e-08,2.9790593769618567e-08,0.0,0.0,0.0,0.0,0.4132231404958678,0.03581267217630854,3.4313427562180675e-09,2.2804758202508884e-09,0.18073591589927673,0.17709565162658691,True,
2025-03-31,120,5089,5089,129374,258748,258748,258748,True,True,True,True,True,True,True,True,True,0.0,0.0,2.979646618328502e-08,9.82351306848539e-05,0.0,0.0,0.0,0.0,0.40518765965808606,0.04264099037138927,1.841050324352862e-09,1.823481653265598e-09,0.17419922351837158,0.1762624979019165,True,
2025-04-30,120,5089,5089,129336,258672,258672,258672,True,True,True,True,True,True,True,True,True,0.0,0.0,2.979646618328502e-08,2.979646618328502e-08,0.0,0.0,0.0,0.0,0.38337590882295147,0.020436235016702692,5.695177544121378e-10,2.196449899888971e-09,0.1696797013282776,0.17036747932434082,True,
2025-05-30,120,5083,5083,129019,258038,258038,258038,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9796459299902267e-08,2.9796459299902267e-08,0.0,0.0,0.0,0.0,0.3936651583710407,0.01613220539051741,-4.027241823735632e-10,5.478368085973403e-10,0.1764705777168274,0.1762738823890686,True,
2025-06-30,120,5091,5091,129417,258834,258834,258834,True,True,True,True,True,True,True,True,True,0.0,0.0,2.979646851475337e-08,9.820759120804379e-05,0.0,0.0,0.0,0.0,0.39795717933608327,0.013946179532508348,9.499819544250991e-10,2.4513302887148717e-10,0.17530936934053898,0.17530936934053898,True,
