analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny,rebalance_type
2015-08-31,2015-07-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,463,1.185272179511303,0.09926634195416048,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9007336580458394,0.9007336580458394,0.0,0,1970000204.921323,5660107874.193625,116859849918.87697,0.0,PORTFOLIO_LEG
2016-01-29,2015-12-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,670,1.15328974653203,0.05924144957472729,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9407585504252727,0.9407585504252727,0.0,0,1421625289.621322,4038235766.020027,52375486146.740654,0.0,PORTFOLIO_LEG
2016-02-29,2016-01-29,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,647,0.9540405748871101,0.05239247297661263,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9476075270233872,0.9476075270233872,0.0,0,1177390691.68,4776594770.208538,141725540391.66867,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,670,1.0133662613432675,0.06497304928833027,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9350269507116697,0.9350269507116697,0.0,0,1523977964.4268422,5895448166.879511,131771065228.52376,0.0,PORTFOLIO_LEG
2016-04-29,2016-03-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,703,1.1774726256442556,0.05058018706731555,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9494198129326845,0.9494198129326845,0.0,0,1702652810.709858,4598443702.400897,70985310847.23808,0.0,PORTFOLIO_LEG
2017-04-28,2017-03-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,803,1.173609287929719,0.05675125990741174,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9432487400925883,0.9432487400925883,0.0,0,1025487602.8650453,3357099477.76,58349186938.8996,0.0,PORTFOLIO_LEG
2018-02-28,2018-01-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,884,1.0852696855427963,0.06012502537406465,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9398749746259354,0.9398749746259354,0.0,0,472010511.602624,2251388904.3985195,59043525038.27938,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,414,0.8524473090485507,0.05647196346933237,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9435280365306675,0.9435280365306675,0.0,0,1986119434.698339,9868954690.819752,236788265371.85156,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,633,0.8558702258147708,0.05858029993706414,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.941419700062936,0.941419700062936,0.0,0,1543647660.1775167,8412314189.030001,138750084384.987,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,441,1.0166216493724465,0.09786572088780397,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9021342791121961,0.9021342791121961,0.0,0,2158338937.833011,7457212080.781181,109523679485.04973,0.0,PORTFOLIO_LEG
