scope,portfolio_scope,factor_name,method,window,liquidity_basis,participation_cap,target_executable_share,execution_days,rebalance_n,no_trade_rebalance_n,capacity_status,mean_coverage_capacity_cny,mean_coverage_capacity_yi_cny,baseline_mean_executable_share,mean_executable_share_at_capacity,root_upper_bracket_cny,root_iterations,rebalance_capacity_zero_share,rebalance_capacity_infinite_share,rebalance_capacity_mean_cny_finite,rebalance_capacity_p10_cny_finite,rebalance_capacity_p25_cny_finite,rebalance_capacity_p50_cny_finite,rebalance_capacity_p75_cny_finite,rebalance_capacity_p90_cny_finite,share_rebalances_meeting_95pct_at_aggregate_capacity,gross_notional_at_capacity_cny,step3_grid_lower_pass_cny,step3_grid_upper_fail_cny,capacity_within_step3_grid_bracket
PORTFOLIO_LEG,Q1,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,919497947.7411989,9.194979477411989,0.9897780533116209,0.9500000000001287,919497947.7500846,40,0.014925373134328358,0.0,1337890558.9870496,544729622.8036637,795000118.8656754,1092837708.3651912,1509302922.018766,2682073142.6266785,0.6268656716417911,919497947.7411989,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,847574417.3294175,8.475744173294174,0.9923374471069717,0.9500000000004027,847574417.3348032,41,0.0,0.0,1307668149.6677284,497894006.6186702,722453376.1538868,1027838501.5575446,1558678678.441112,2574548629.4908547,0.6417910447761194,847574417.3294175,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,870569358.2172503,8.705693582172504,0.9899999121014733,0.9500000000003681,870569358.2252083,40,0.014925373134328358,0.0,1281688570.750632,526127927.5192453,751813248.2765653,1063930829.316045,1453532354.1584754,2616847709.763755,0.6268656716417911,870569358.2172503,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,824329927.2266123,8.243299272266123,0.9923729623376357,0.9500000000003993,824329927.2313719,41,0.0,0.0,1253039670.3867016,486496944.4268083,688706312.5255692,1009279363.7322806,1421398281.4445534,2464123128.7892165,0.664179104477612,824329927.2266123,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,869020102.609828,8.69020102609828,0.988885422059432,0.9500000000004001,869020102.6149491,41,0.014925373134328358,0.0,1306803959.153506,519776084.50317866,715391729.5581787,1013749238.0595438,1508485446.8193123,2538437881.9916267,0.6268656716417911,869020102.609828,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,918536188.7685361,9.18536188768536,0.9915167089692503,0.9500000000001761,918536188.7746019,41,0.0,0.0,1390506322.376171,547622255.0048976,809846826.4490848,1125143610.2617753,1681005866.128073,2813123401.721954,0.6343283582089553,918536188.7685361,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,832400863.9256196,8.324008639256196,0.9864009707591903,0.9500000000004056,832400863.9308848,41,0.05223880597014925,0.0,1229666204.18022,410425199.4856166,646392474.0293717,946634882.2320225,1430465146.5384548,2610623944.326802,0.6119402985074627,832400863.9256196,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,906830614.1658376,9.068306141658377,0.9909854848088154,0.9500000000000504,906830614.1733739,41,0.014925373134328358,0.0,1374554433.3781464,502286358.41319364,751289177.3412418,1092310258.4746194,1755728615.1839132,2657199697.185587,0.6268656716417911,906830614.1658376,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,821306797.1012782,8.213067971012782,0.9848173359262671,0.9500000000002747,821306797.1075685,41,0.08208955223880597,0.0,1246548114.0525768,332766992.97132385,628656318.4970285,1002164656.8636338,1488026527.7531207,2836210434.4739637,0.5970149253731343,821306797.1012782,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,887837119.2892492,8.878371192892493,0.9879890419993136,0.9500000000002211,887837119.2940986,42,0.05223880597014925,0.0,1330200910.42585,412504001.48260814,702062773.2840883,1060248037.6930327,1641293504.776477,2859319693.77991,0.5746268656716418,887837119.2892492,500000000.0,1000000000.0,True
