regime_type,sample_scope,factor_name,window,regime,alpha_ic,alpha_ic_t,idio_ic,idio_ic_t,mean_capacity_yi,median_capacity_yi,p10_capacity_yi,zero_capacity_share
NETWORK,NATIVE,cross_industry_degree_percentile,120,MEDIUM,0.0162552313110513,1.4756650039182142,-0.063678846748976,-6.853180833381688,16.05373204068067,13.18963117049753,5.563817081232655,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,252,HIGH,0.0080999696898121,1.2459425595259088,-0.0493371504912113,-7.711447135750575,18.802819928627603,16.15714297634865,8.520111010441992,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,252,LOW,0.0209741563191475,1.3273018804911954,-0.0387565263777428,-2.860332757064471,9.690971637640004,8.69568460396593,6.21689524409565,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,252,MEDIUM,-0.0015312384261252,-0.1346447757236908,-0.0510391970486444,-5.661584850400292,18.83248230120777,13.94353984126882,7.120947588852798,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,60,HIGH,0.000937728347382,0.1903147290307669,0.0057539048622457,0.962558826755259,17.611338723807684,15.753381464007004,5.718801734709143,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,60,LOW,0.0021313103506744,0.422102538628714,0.0163823026044326,1.9399309782800496,13.24323738467863,11.426931205543324,7.618465812557825,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,60,MEDIUM,-0.0084635820378376,-1.4378612531282362,0.0014841714597142,0.2001027668594244,17.232735224382658,13.955507962517068,5.400675709597636,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,120,HIGH,0.0006315503546353,0.1117742250314767,-0.0017022166173231,-0.2595614190619196,16.616823315436207,14.309356282870374,6.722332012399182,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,120,LOW,0.0013298089494415,0.2686454582444705,0.0152191149079122,2.114492507923454,10.957442579213302,11.347302487715965,7.243810082655741,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,120,MEDIUM,0.0009253195304251,0.1903108547526234,-0.0043162219831883,-0.660190547262715,16.36547242491606,11.977016930384336,6.16621488958722,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,252,HIGH,-0.003894203861078,-0.6997132836808889,-0.0133047828661609,-2.5580513577329693,16.68838437837953,14.188856067905956,7.452595269568594,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,252,LOW,0.0004349029161758,0.0827825031352119,0.0116435124983567,2.5031874173567896,9.25474934962572,8.868690123441187,5.913668129194635,0.0
NETWORK,NATIVE,cross_industry_degree_ratio,252,MEDIUM,0.0060310653980616,1.101550160138887,-0.0122001151083919,-1.5274862941855705,17.125772182171694,11.78172206905082,5.890028614272292,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,HIGH,0.0002256234832277,0.0394756371822325,-0.0093801092872321,-1.499913094090375,16.444579126317265,15.4587202178686,5.141795960023873,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,LOW,0.0114466191496036,3.0003994266549507,-0.0081808293219382,-1.2566166219309045,11.654962920519957,9.51594803042344,6.660702309836766,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,MEDIUM,0.004172386226353,0.8980925928221732,-0.0156270047530073,-2.598445753655876,15.661362944773629,13.032854519944069,4.739277956366942,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,120,HIGH,-0.0009213702322932,-0.3341277886793924,0.0006561943889712,0.1100404425007674,16.116595843135052,14.229042637778626,5.25620745487021,0.0
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,120,LOW,0.0093872740499645,1.4568449212548906,-0.0023363044583605,-0.3882405256227538,9.677218913052954,9.036454262953372,6.6244381122076295,0.0
