regime_type,sample_scope,factor_name,window,alpha_hl,alpha_hl_t,idio_hl,idio_hl_t,idio_hl_q,capacity_mean_hl_yi,capacity_median_hl_yi,capacity_hl_t,capacity_hl_q,risk_capacity_pattern
NETWORK,NATIVE,cross_industry_degree_percentile,120,-0.0004379734183927,-0.0297735235431237,1.993723415753823e-05,0.0017931453295464,0.998569277792996,6.305556395399352,5.2591315281689095,2.762535308136139,0.0091092215669911,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,cross_industry_degree_percentile,252,-0.0128741866293353,-0.7513935407915072,-0.0105806241134685,-0.6976497754313812,0.728094367220545,9.111848290987602,7.461458372382719,3.63081729734256,0.0009535223343666,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,cross_industry_degree_ratio,60,-0.0011935820032924,-0.1722944504259107,-0.0106283977421869,-1.0353517948667037,0.5071015956296944,4.368101339129051,4.326450258463678,1.489399505843936,0.1363821986285899,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,cross_industry_degree_ratio,120,-0.0006982585948061,-0.0925718263094514,-0.0169213315252353,-1.7314395126801316,0.3132599338010259,5.659380736222904,2.962053795154409,2.3802188030721525,0.0259535413915973,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,cross_industry_degree_ratio,252,-0.0043291067772538,-0.5658807045747583,-0.0249482953645176,-3.5032762830463064,0.0124084579893984,7.433635028753812,5.320165944464769,3.337540008100473,0.0025357065681849,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,60,-0.0112209956663758,-1.6426719367862188,-0.0011992799652938,-0.1367847855580344,0.9254778680405168,4.789616205797309,5.94277218744516,1.726721636798099,0.0974028930239849,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,120,-0.0103086442822578,-1.4680633356667123,0.0029924988473317,0.3553736323085001,0.8435287323023715,6.439376930082098,5.192588374825254,2.938976008211748,0.0075226639947781,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,252,-0.0072757828251126,-1.2307218580425798,0.0105973799341467,1.6889700396667724,0.3132599338010259,8.882902405674608,7.095149215810632,3.851091504100042,0.000925975954819,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,delta_degree_percentile,60,-0.013998305265836,-1.5826731527432074,0.0160904275484995,1.5357621176181593,0.3187278795485644,5.740397468647245,6.163525022786551,2.0296230578158623,0.0602453405733496,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,delta_degree_percentile,120,0.0058941262326254,0.6957211217718016,0.0280445524591353,2.846164439237715,0.0597366065860302,7.376584309655771,6.211816936436895,2.984219014123328,0.0075226639947781,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,delta_degree_percentile,252,-0.0073273956580407,-0.8413586202825951,0.0182861984456639,1.524805454381026,0.3187278795485644,9.536919080988568,7.702653763068856,3.873476782468178,0.000925975954819,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,delta_residual_degree_percentile_1m,60,-0.013556324996222,-1.746838886573578,-0.0045910270305429,-0.5437784860879871,0.7919017854748327,4.835795039299391,6.160671773838985,1.771307628241403,0.0963723806041184,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,delta_residual_degree_percentile_1m,120,-0.0169608855352923,-1.852727782646269,0.0027502987367031,0.3420184497974735,0.8435287323023715,6.293359081878714,5.239944609918886,2.934263144173098,0.0075226639947781,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,delta_residual_degree_percentile_1m,252,-0.0097416358318699,-1.4061089329338814,0.0119094150922709,1.720153165677597,0.3132599338010259,8.707133643048815,6.346423313139772,3.8532048254805904,0.000925975954819,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,neighbor_jaccard_1m,60,-0.0040096401260703,-0.4567394416898678,0.0110403228335914,1.0619204097734622,0.5071015956296944,4.64340946949023,5.735298506507942,1.7593054379844082,0.0963723806041184,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,neighbor_jaccard_1m,120,0.0012765850544276,0.1252599511234803,0.0140902922332733,1.6807177141861434,0.3132599338010259,5.906145637113541,4.381914578555783,2.8356702739057424,0.0088192859768538,RISK_UP_CAPACITY_UP
