factor_order,factor_name,control_name,window,month_count,mean_spearman_exposure,median_spearman_exposure
8,neighbor_retention_1m,log_turnover_20,120,134,-0.09208379527261629,-0.09959618360435274
8,neighbor_retention_1m,log_turnover_20,252,128,-0.08222936591658302,-0.08632752192894477
8,neighbor_retention_1m,momentum_120_20,60,135,0.039089389996555916,0.04645023231764135
8,neighbor_retention_1m,momentum_120_20,120,134,0.0951279482421618,0.09567587598696559
8,neighbor_retention_1m,momentum_120_20,252,128,-0.023320886261828783,-0.029355952472736542
8,neighbor_retention_1m,reversal_20,60,135,-0.15021962675486375,-0.1376475611126207
8,neighbor_retention_1m,reversal_20,120,134,-0.12958607784517207,-0.13594591200594183
8,neighbor_retention_1m,reversal_20,252,128,-0.09151071196840228,-0.0882928522325267
8,neighbor_retention_1m,volatility_60,60,135,0.05150456509824828,0.0689049168790275
8,neighbor_retention_1m,volatility_60,120,134,-0.02836578078275821,-0.025903183846668752
8,neighbor_retention_1m,volatility_60,252,128,-0.06349980081768974,-0.06271991237690822
9,outside_community_degree_percentile,log_market_value,60,135,0.04184609486809931,0.034651430153075785
9,outside_community_degree_percentile,log_market_value,120,135,0.14072047448791852,0.10944218733510779
9,outside_community_degree_percentile,log_market_value,252,129,0.26113820648723013,0.2538672157311537
9,outside_community_degree_percentile,log_turnover_20,60,135,-0.17739517940788604,-0.17760010824447867
9,outside_community_degree_percentile,log_turnover_20,120,135,-0.18662587843389414,-0.1813929529966684
9,outside_community_degree_percentile,log_turnover_20,252,129,-0.1845440752646815,-0.1792164551717099
9,outside_community_degree_percentile,momentum_120_20,60,135,-0.17826309939236154,-0.18516582938568596
9,outside_community_degree_percentile,momentum_120_20,120,135,-0.120336217546621,-0.1218471650915474
9,outside_community_degree_percentile,momentum_120_20,252,129,-0.03417133751337534,-0.03386254292975723
9,outside_community_degree_percentile,reversal_20,60,135,0.0069825497653250935,-0.005257306780357863
9,outside_community_degree_percentile,reversal_20,120,135,0.00918908199172732,0.001973704232747111
9,outside_community_degree_percentile,reversal_20,252,129,0.011753597995160618,0.004641212819387363
9,outside_community_degree_percentile,volatility_60,60,135,-0.24583857395911976,-0.2367524308186687
9,outside_community_degree_percentile,volatility_60,120,135,-0.2643712481767757,-0.26782534036261124
9,outside_community_degree_percentile,volatility_60,252,129,-0.22358927055464417,-0.23935728427862027
