factor_order,factor_name,method,window,target_name,month_count,mean_value,median_value,std_value,positive_share,negative_share,hac_lag,hac_se,hac_t_stat,mean_q5_minus_q1_bps
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,0.0021640861165498804,0.0028436944338871596,0.020487039797461654,0.5714285714285714,0.42857142857142855,4,0.00166513750721437,1.2996440877547752,21.640861165498805
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,5.895878291556815e-05,0.0008589854140193375,0.014614378608367664,0.518796992481203,0.48120300751879697,4,0.001332138310570064,0.04425875485131707,0.5895878291556815
5,delta_residual_degree_percentile_1m,RAW_COMMON,120,future_excess_return,132,0.000992400595117354,0.0033520269319347365,0.015171605365003307,0.5606060606060606,0.4393939393939394,4,0.001433162848804674,0.692454870669487,9.924005951173541
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.0006434444967444998,0.0013175669330146326,0.010696919966087069,0.5454545454545454,0.45454545454545453,4,0.0009138433524965488,0.7041080891890931,6.434444967444998
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,0.00024556421769600075,0.0006472855787086828,0.008817220444091984,0.5378787878787878,0.4621212121212121,4,0.0007264490609370772,0.3380336363560538,2.4556421769600076
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,120,future_excess_return,131,0.0013375657631178063,0.0022778853065176475,0.013397303264072968,0.5877862595419847,0.4122137404580153,4,0.001107737077723488,1.207475844237912,13.375657631178063
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.0013772155378747525,0.0016913369329714964,0.009341504000522386,0.5757575757575758,0.42424242424242425,4,0.0007806535750499453,1.764182707786408,13.772155378747525
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,0.0006904692567831132,0.00038915957010562106,0.008385930016195512,0.5378787878787878,0.4621212121212121,4,0.0006751815564862027,1.0226423547119254,6.904692567831132
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.0022263548605079043,0.0016275186183131677,0.018695699613228325,0.5681818181818182,0.4318181818181818,4,0.0013720163298921763,1.622688310628831,22.263548605079045
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,-1.998375388928382e-05,-0.0002401061309817913,0.013207686305380726,0.49242424242424243,0.5075757575757576,4,0.0011191330842037026,-0.01785645887102236,-0.1998375388928382
8,neighbor_retention_1m,RAW_COMMON,120,future_excess_return,127,0.00034766517167401245,-0.0001876828887371635,0.024922674769738404,0.49606299212598426,0.5039370078740157,4,0.0016859211026336361,0.20621675067173226,3.4766517167401245
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.0030532330532541505,0.0033378958966326284,0.01694461424340881,0.6136363636363636,0.38636363636363635,4,0.0012012805870762926,2.5416485424818087,30.532330532541504
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,0.0004903871992692255,0.0007985956680357535,0.012143612127135727,0.5378787878787878,0.4621212121212121,4,0.0009747382807724241,0.5030962761415524,4.903871992692255
7,neighbor_jaccard_1m,RAW_COMMON,120,future_excess_return,121,0.0005639728283654218,0.0007909717365016911,0.027733218022667133,0.5206611570247934,0.4793388429752066,4,0.0019071548449078731,0.2957142310029184,5.639728283654217
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,0.0034277076723160586,0.0035833744874098176,0.01962796028546546,0.6299212598425197,0.3700787401574803,4,0.0016068189411491335,2.133225831819419,34.27707672316058
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,0.0038759319312441755,0.003981897135820684,0.01655646736292378,0.5984251968503937,0.4015748031496063,4,0.0016418710534490037,2.360679861614091,38.759319312441754
2,delta_degree_percentile,RAW_COMMON,252,future_excess_return,127,-0.00960487904215973,-0.00916856390875596,0.031869374732047075,0.3464566929133858,0.6535433070866141,4,0.0028112103798106436,-3.416634738950662,-96.0487904215973
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,-0.006506284942692589,-0.0051003658556313695,0.013959275061458566,0.3228346456692913,0.6771653543307087,4,0.001272593361520187,-5.112618955453651,-65.0628494269259
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,-0.002562273780292225,-0.002208196790590342,0.013097599991646844,0.4409448818897638,0.5590551181102362,4,0.0012090035102113588,-2.119326998351135,-25.62273780292225
