analysis_date,window,factor_order,factor_name,method,target_name,common_sample_n,spread_status,q1_return,q2_return,q3_return,q4_return,q5_return,q5_minus_q1,q5_minus_q1_bps,portfolio_spearman
2015-07-31,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,PASS,0.0032080376989421316,-0.01626224036823717,0.02802107416570723,0.00680367439511231,0.004682070860176428,0.0014740331612342968,14.740331612342969,0.49999999999999994
2015-07-31,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,PASS,0.013303484221917591,-0.003540941222956807,0.0013576675983976165,0.02091081597084086,-0.005486531594851046,-0.01879001581676864,-187.90015816768639,-0.3
2015-07-31,120,1,residual_degree_percentile,RAW_COMMON,future_excess_return,1522,PASS,-0.005448104109220504,0.009630198643806384,0.01317441304136477,-0.014018378143308037,0.0072027229669016255,0.01265082707612213,126.5082707612213,-0.09999999999999999
2015-07-31,120,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,PASS,-0.013512111523662006,-0.001360386157727932,0.013914496134528805,0.005940192384939999,0.0028742436225672953,0.0163863551462293,163.863551462293,0.6
2015-07-31,120,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,PASS,-0.003067392748994274,-0.0020368459432368925,0.005184859266035196,0.011398511892583115,-0.003635641537368394,-0.0005682487883741198,-5.6824878837411985,0.0
2015-07-31,120,2,delta_degree_percentile,RAW_COMMON,future_excess_return,1522,PASS,0.03800970113747485,-0.0024367461418785086,-0.007858838932300332,-0.006219503957028369,-0.013874267117343662,-0.051883968254818516,-518.8396825481851,-0.8999999999999998
2015-07-31,120,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,PASS,0.03117841140580296,0.0047690600659073155,-0.008811228732372436,-0.008115580597789999,-0.011264726210822975,-0.04244313761662594,-424.4313761662594,-0.8999999999999998
2015-07-31,120,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,PASS,0.01703737316763483,0.00604609177288335,-0.003723667188664935,-0.004710121945305392,-0.006861706918763427,-0.02389908008639826,-238.9908008639826,-0.9999999999999999
2015-07-31,120,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,1522,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
2015-07-31,120,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,PASS,-0.012426119587340734,-0.007269809706287778,0.023972454777276827,-0.0027722686751688714,0.006337213960475177,0.01876333354781591,187.6333354781591,0.7
