factor_order,factor_name,method,window,target_name,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,hac_lag,hac_se,hac_t_stat
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,0.011903750358981233,0.0070825072059394565,0.05625217623369574,0.5511811023622047,0.44881889763779526,4,0.00540361003407575,2.202925504230486
2,delta_degree_percentile,RAW_COMMON,252,future_excess_return,127,-0.03893824295874862,-0.03456785051195494,0.11775012312094722,0.3858267716535433,0.6141732283464567,4,0.009948768398785952,-3.913875707821307
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,-0.031713892054131214,-0.03186766139494017,0.04957170331601043,0.28346456692913385,0.7165354330708661,4,0.004402634000415292,-7.203390527384221
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,-0.006144332348849575,-0.007585297494641228,0.04317775261162354,0.4409448818897638,0.5590551181102362,4,0.004008114550708792,-1.5329732399397158
3,cross_industry_degree_percentile,RAW_COMMON,252,future_excess_return,127,0.003833424221134586,0.009646586631096327,0.10091046568298867,0.5433070866141733,0.4566929133858268,4,0.007774370299974264,0.4930848510196737
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,0.01402234442465314,0.013011040146020348,0.05805786996237068,0.5905511811023622,0.4094488188976378,4,0.0055288652939558015,2.5362065594150893
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,0.01134461404682922,0.006826433839580578,0.0504705400464269,0.5590551181102362,0.4409448818897638,4,0.005032094326960673,2.2544517868132328
4,cross_industry_degree_ratio,RAW_COMMON,252,future_excess_return,127,0.0016210473300158736,1.6932501386339568e-05,0.06926558399298295,0.5039370078740157,0.49606299212598426,4,0.006281233063088344,0.25807788275553023
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,0.00048063733299482563,0.0013848284449097714,0.03714160965301361,0.5354330708661418,0.4645669291338583,4,0.0036674696432211773,0.13105420896481554
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,-0.0007619702471824064,-0.0024345991619057626,0.03316370325258121,0.4645669291338583,0.5354330708661418,4,0.0033222650208378506,-0.22935263815595397
